Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Продавец-кассир в бутик Lacoste,LACOSTE,70.0,,,,,Нет опыта,ТК,5/2,Ежемесячно,"форма, бонус, бонусы, скидки",Выполнение личного плана продаж и показателей эффективности. Поддержание высокого уровня клиентского сервиса и выстраивание долгосрочных отношений с клиентами. ,https://hh.ru/vacancy/122186463
"Продавец-кассир (""Dreame"", ТРЦ Афимолл Сити, г. Москва)",VVP Group,80.0,,,,,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,"ДМС, скидки, обучение","Консультирование клиентов, продажи умной техники, аксессуаров и дополнительных услуг; Вместе с командой отвечать за соблюдение стандартов и выполнение ключевых показателей; Поддерживать высокий уровень клиентского сервиса и визуальный имидж магазина;",https://hh.ru/vacancy/122718919
Мобильный кассир в Золотое Яблоко,Бьюти-ретейлер Золотое Яблоко,100.0,,,,,Нет опыта,ТК,5/2,,"ДМС, премии, скидки",Формировать финальное впечатление клиентов о магазине. Рассчитывать покупателей на кассе (наличный/безналичный расчет). Работать с подарочными сертификатами и дисконтными картами.,https://hh.ru/vacancy/124698352
Кассир-раздатчик в студенческую столовую консерватории,ТАГАНКА-ЦЕНТР,70.0,80.0,,,,От 1 года до 3 лет,ТК,"5/2, 17/30",,чай,"Выкладка в зоне раздачи утром (овощи, салаты, хлеб, напитки и пр.) Выкладка в зоне раздачи в обеденное время (раздатчица) Работа с кассой Эвотор и банковским терминалом Работа в зоне раздачи Ставка в день 3 000-3 500 руб.",https://hh.ru/vacancy/124846635
Кассир,ОККИ,6.0,6.5,,,,От 1 года до 3 лет,ТК,"2/2, 3/3",2 раза в месяц,"питание, премии",Обслуживание покупателей на кассе. Ведение расчетов и оформление документов. Активные продажи и консультирование клиентов. Поддержание порядка на рабочем месте. ,https://hh.ru/vacancy/124713420
Кассир в ресторан,Лаки,70.0,,,,,От 1 года до 3 лет,ТК,"2/2, 3/3",,питание,"Осуществление кассовых операций; Открытие и закрытие смены, заполнение отчета; Работа с доставкой; Мы ждем от вас: Опыт работы на должности кассир а от 6 месяцев; Ответственность и пунктуальность Внимательность к деталям Знание программы R-keeper желательно.",https://hh.ru/vacancy/125453956
Кассир в ресторан Grace bistro,Гудфуд,80.0,,,,,От 1 года до 3 лет,ТК,2/2,,"питание, бесплатное питание","Работа на кассе Знание R-keeper 7 Безналичный и наличный расчет Обеспечение бесперебойной работы кассы Кассовые операции, принятие денежных средств",https://hh.ru/vacancy/125007192
Кассир в офис Lucky Group,Lucky Group,100.0,,,,,От 1 года до 3 лет,ТК,5/2,,,"1. Проверка отчётов кассиров за смену на корректность и полноту, контроль за документами, подтверждающими расходы наличными, запрос недостающих документов, контроль расчетов по эквайрингу и системе НетМонет. 2. Подготовка полного пакета кассовых и первичных документов для своевременной передачи в бухгалтерию. 3. Контроль кассовой дисциплины путём проверки отчётов. 4. Своевременное формирование документации для бухгалтерского учёта. 5. Содействие старшему кассиру в поддержании правильного документооборота. Что мы ждем от кандидата: Знание программ MC Office. Базовые знания 1С. Опыт работы с контрольно-кассовой техникой. Высокий темп работы, исполнительность ответственность, самоорганизованность, надежность. Внимательность. Умение и желание работать в команде, грамотная речь. Готовность работать в режиме многозадачности.",https://hh.ru/vacancy/125526962
Кассир в корпоративную столовую,Никс,84.5,109.5,,,,Нет опыта,ТК,5/2,,"питание, бесплатное питание, форма, униформа, обучение, общежитие","Образование c\c. Опыт работы желателен. Знание компьютера на уровне пользователя. Вежливость, аккуратность, опрятность, желание работать и зарабатывать.",https://hh.ru/vacancy/123665780
Кассир ледового катка,Айскор,70.0,75.0,4860.0,405.0,12.0,От 1 года до 3 лет,ТК,2/2,,"премии, бонус, бонусы",Открытие и закрытие рабочего дня на кассе - Осуществление кассовых операций; - Прием и выдача денежных средств; - Работа с банковскими картами; - Ведение кассовой документации; - Ежедневная сверка наличных денежных средств с кассовой документацией.,https://hh.ru/vacancy/125301016
Продавец-кассир бренда Women'secret,РУСМАРКЕТЦЕНТР,75.0,,,,,Нет опыта,ТК,5/2,Ежемесячно,"бонус, обучение","Консультация покупателей в торговом зале и в зоне примерочной; Обслуживание покупателей на кассе и ведение кассовой отчетности; Приём и разбор поставок, контроль наличия товара в торговом зале, регулярное пополнение; Поддержание порядка в торговом зале и стандартов визуального мерчандайзинг. МЫ ХОТИМ ВИДЕТЬ в ВАС: коммуникабельность, грамотная речь, активность; ответственность, внимательность, доброжелательность; клиентоориентированность, нацеленность на результат;",https://hh.ru/vacancy/124623479
"Продавец-кассир в кафе ""БРУСНИКА"" - 4500р смена",Брусника,4.5,,,,,Нет опыта,ТК,5/2,,"питание, бесплатное питание, форма, бонус",Выкладка продукции и пополнение ассортимента в течение дня - Общение с гостями и помощь в выборе блюд - Расчет на кассе - Поддержание чистоты и порядка Что важно для нас: - Желание работать - Ответственность и внимательность - Готовность к активной работе на ногах - Наличие мед.книжки (помогаем оформить) Не упусти свой шанс получить ценный первый опыт в дружной компании! Стартуй с нами!,https://hh.ru/vacancy/124882627
Кассир-операционист в офис Банка,МБ БАНК,110.0,,,,,От 1 года до 3 лет,ТК,17/30,,ДМС,"Работа с клиентами: физические и юридические лица (резиденты/нерезиденты); Проведение идентификации клиентов; Прием и проверка пакета документов физических и юридических лиц; Открытие/закрытие текущих счетов, депозиты; Расчётно-кассовое обслуживание ФЛ и ЮЛ (оформление приходных/расходных ордеров, переводы БОС, трансграничные переводы и т.д.) Работа с банковскими картами (фронт-офис). Замещение заведующего кассой при отсутствии: Оформление кассовых документов; Загрузка/выгрузка АТМ; Работа с POS-терминалами; Инкассация; Чеки, объявление на взнос наличными; Оформление кассовых документов в конце дня (сшивы)",https://hh.ru/vacancy/125477548
Кассир (комбинат питания),Национальный исследовательский ядерный университет МИФИ,,,,,,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,,"Осуществлять операции по приему, учету, выдаче и хранению денежных средств; Открытие и закрытие кассового дня; Прием наличной и безналичной оплаты; Ведение отчетной документации - заполнение кассового журнала, составление текущего отчета за смену; Выставление товара на прилавок; Исполнительность, ответственность, внимательность. Что мы ждем от нашего будущего коллеги: действующая медицинская книжка (или готовность сделать); опыт работы приветствуется; Аккуратность, не конфликтность, само-организованность, ответственность; Внимательность к деталям и соблюдение стандартов качества.",https://hh.ru/vacancy/125470071
"Продавец-кассир в бутик Les Benjamins (ТЦ Европолис, Ростокино)",LACOSTE,70.0,,,,,Нет опыта,ТК,2/2,Ежемесячно,"форма, бонус, бонусы, скидки",Выполнение личного плана продаж и показателей эффективности. Поддержание высокого уровня клиентского сервиса и выстраивание долгосрочных отношений с клиентами. ,https://hh.ru/vacancy/125371570
Кассир в итальянский ресторан,Oishii Food,100.0,112.0,,,,Нет опыта,ТК,4/2,,"питание, бесплатное питание, форма, униформа",Принимать заказы и рассчитывать гостей на кассе. Дружелюбно и оперативно обслуживать посетителей. Консультировать по меню. Поддерживать чистоту и порядок на...,https://hh.ru/vacancy/125120413
Продавец-кассир JUSTSPORT ЦДМ,А СПОРТ,78.0,,,,,Нет опыта,ТК,2/2,,"бонус, бонусы, скидки, обучение",Обеспечивать высокий сервис обслуживания клиентов. ⁠ ⁠Выполнять личный план продаж. ⁠ ⁠Консультировать клиентов по текущему ассортименту и основам «сникер-культуры». ⁠ ⁠,https://hh.ru/vacancy/124168761
Кассир Peak,Траектория,80.0,,,,'1-2,От 1 года до 3 лет,ТК,"1/2, 2/2",,обучение,Правильно и уверенно работать на кассовом аппарате. Соблюдать правила использования контрольно-кассового. Аппарата. Вежливо и профессионально общаться с покупателями. ,https://hh.ru/vacancy/125383860
Кассир в ресторан «Дымзавод» (м. Фрунзенская),Дымзавод,80.0,,,,12.0,От 1 года до 3 лет,ТК,2/2,2 раза в месяц,"питание, бесплатное питание","Расчёт гостевых столов, контроль чеков официантов; Открытие и закрытие кассового дня; Принятие наличной и безналичной оплаты; Принятие и оформление оплаты ; Ведение отчетной документации - минимуму бюрократии. Работа с депозитами; Произведение смешанной оплаты; Задачи: Расчёт гостевых столов, контроль чеков официантов; Открытие и закрытие кассового дня; Принятие наличной и безналичной оплаты; Принятие и оформление оплаты ; Ведение отчетной документации - минимуму бюрократии. Работа с депозитами; Произведение смешанной оплаты; Нам важно: Опыт работы на должности кассира в ресторанной сфере; Опыт работы с двумя фискальными регистрами; Исполнительность, ответственность, внимательность. Опыт работы с системой iiko Что предлагаем: Смена 4500 р/смена, 12 часов(375р/час); Гоафик работы 2/2, рабочее время с вс-чт 15:00-3:00, с пт по сб 17:00-5:00 Своевременные выплаты зработной платы, 2 раза в месяц, без задержек.; Бесплатное питание (вкусное!) + возможность питания по меню; Компенсация такси домой после смены; Оплачиваемый отпуск сотрудникам; Экологичный топ-менеджмент, который на одной волне, готов слышать, слушать и всегда открыт к предложениям!",https://hh.ru/vacancy/125337611
Кассир,ФГБУ НМХЦ им. Н. И. Пирогова Минздрава России,70.0,,,,,От 1 года до 3 лет,ТК,2/2,,,"Расчет с пациентами, подготовка и передача средств инкассаторам. Документационное обеспечение работы с пациентами, обратившимися с целью получения медицинских услуг в...",https://hh.ru/vacancy/125523334
Буфетчик/Продавец-кассир в чайную гр 2/2,ВОЕНТОРГ-МОСКВА,76.1,,,,,От 1 года до 3 лет,ТК,2/2,2 раза в месяц,чай,"Реализация буфетной продукции; Выкладка товара, оформление ценниками; Оформление сопроводительной документации, товарных отчетов; Соблюдение кассовой дисциплины, кассовая отчетность; Обслуживание и консультирование покупателей; Уборка рабочего места; Выполнение требований санитарных норм и правил.",https://hh.ru/vacancy/125204211
"Продавец-консультант, продавец-кассир",Полет,90.0,,,,,От 1 года до 3 лет,ТК,2/2,,"форма, бонус, бонусы, чай","Консультирование клиентов по ассортименту товаров, их свойствам и характеристикам. Помощь клиентам в выборе товаров с учетом их потребностей и пожеланий. Предоставление информации о текущих акциях и скидках. Проведение консультаций по дополнительным услугам (гарантии, покупки в онлайн-магазине, система лояльности и т.д.). Оформление покупки и проведение кассовых операций. Ведение отчетности о продажах и соблюдение дисциплины в кассовом учете Соблюдение правил кассового обслуживания. Участие в инвентаризации товаров на складе и в торговом зале. Поддержание чистоты и порядка на кассе и в торговом зале. Прием и выкладка товара на полки. Соблюдение стандартов обслуживания клиентов и корпоративных политик компании. Выполнение поручений руководителя Участие в тренингах и обучениях по продукции и продажам.",https://hh.ru/vacancy/124757670
Кассир в корпоративную столовую,Брусника,85.0,85.0,,,,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,питание,Организация и обеспечение высокого уровня обслуживания гостей; Реализация товаров и обслуживание гостей на кассе (наличный и безналичный расчет); Выкладка штучного товара на витрину; Контроль чистоты и порядка на рабочем месте; Участие в проведении инвентаризации;,https://hh.ru/vacancy/124961900
Продавец-кассир в магазин одежды SELA (ТЦ Вегас Кунцево),Мэлон Фэшн Груп,,,,,,Нет опыта,ТК,5/2,,,Создавать уют в примерочной и за кассой. Следить за чистотой и порядком в зале. Помогать оформлять витрины и образы. ,https://hh.ru/vacancy/122887737
Мобильный кассир в ресторан,Таксим,,,,,,От 1 года до 3 лет,ТК,4/3,,"питание, бесплатное питание",Четкий контроль за денежными средствами. Ведение кассовых книг. Производить расчет гостей. Заключение договора о материальной ответственности.,https://hh.ru/vacancy/125501578
Продавец-кассир VILET (ТЦ Вегас Кунцево),RMixed,,,,,,Нет опыта,ТК,5/2,,кофе,"Поддерживать высокий уровень обслуживания. - Оформлять покупки на кассе, вести кассовую отчетность. - Поддерживать визуальный мерчандайзинг магазина и пополнять зал продукцией. - ",https://hh.ru/vacancy/118254772
Кассир-операционист,Голд Бизнес,90.0,,,,,От 3 до 6 лет,ТК,5/2,,ДМС,Прием или выдача денежных средств из кассы через систему. - Фиксация выдачи комиссии. - Направление запросов клиентов ответственному менеджеру. - Выдача (поиск) документов...,https://hh.ru/vacancy/125165155
Кассир в шоурум мебели, DANTONE HOME,75.0,75.0,,,,От 1 года до 3 лет,ТК,2/2,,"бонус, скидки, обучение","Работа с наличными денежными средствами: прием, выдача, инкассация, проведение оплат по эквайрингу. Формирование приходных и расходных ордеров. Работа с онлайн...",https://hh.ru/vacancy/124535701
"Продавец-консультант / кассир в магазин одежды GANT (ТЦ Капитолий, м. Университет)",S.F. Group,75.0,,,,,Нет опыта,ТК,2/2,,форма,Консультирование покупателей по ассортименту в торговом зале. Соблюдение стандартов презентации бренда. Индивидуальный подход к каждому покупателю. Поддержание порядка и развеска...,https://hh.ru/vacancy/125276531
