Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Оператор кассир на АЗС,Сервис Плюс,13.0,,,,,От 1 года до 3 лет,ТК,1/2,2 раза в месяц,,"встречать и обслуживать клиентов АЗС (ГСМ, товары из магазина); принимать оплату на кассе (наличный расчет, расчет по картам); выполнять приемку бензовозов; следить за выкладкой и сроками годности товаров в магазине; ведение документации по приему и реализации топлива; поддерживать чистоту рабочего места за кассой.",https://hh.ru/vacancy/123949482
Оператор-кассир на АЗС,StaffandBoys,7.7,8.5,,,,Нет опыта,ТК,"1/3, 1/2",,"спецодежда, обучение, кофе","Прием наличной и безналичной оплаты; ☕ Соблюдение протокола активных продаж: предложение сопутствующих товаров, приготовление кофе и ход-догов (всему обучим!), поддержание частоты рабочего места. Пригодится, если у Вас был опыт работы на вакансиях: работа без опыта, работа с обучением, продавец, продавец-кассир, продавец-консультант, оператор, мерчандайзер, кассир, администратор, работник торгового зала, работа кассиром, вакансии кассиром",https://hh.ru/vacancy/125334026
"Старший Оператор на АЗС ""Газпромнефть""",Подольская нефтяная компания,85.0,95.0,,,,Нет опыта,ТК,1/3,Ежемесячно,премии,Работа на кассе Работа с готовой выпечкой Работа с документацией и отчетами Соблюдение стандартов обслуживания клиентов,https://hh.ru/vacancy/124710119
Оператор-кассир АЗС,Лукхаус,75.0,,,,,Нет опыта,ТК,"1/2, 1/3",,"форма, униформа, обучение",<highlighttext>АЗС</highlighttext> ASCO.,https://hh.ru/vacancy/125262710
Оператор-кассир АЗС,Jobers,80.0,,,,,Нет опыта,ТК,64/27,,обучение,Ведение учета и контроль наличности. Поддержание чистоты и порядка на рабочем месте. Консультирование клиентов по вопросам услуг <highlighttext>АЗС</highlighttext>.,https://hh.ru/vacancy/125294268
Оператор-кассир АЗС MR024 Лихоборы,РН-Москва,70.0,,,,,Нет опыта,ТК,1/3,Ежемесячно,"премии, бонус, подарки","продажа топлива и сопутствующих товаров; — работа с кассой, ведение расчетов с покупателями;",https://hh.ru/vacancy/125389989
Оператор - кассир в магазин на АЗС (м. Теплый стан),Стопэкспресс,65.7,76.7,,,,Нет опыта,ТК,1/3,,"форма, подарки, проезд, кофе","Предоставлять качественный сервис для наших клиентов в зале и на кассе: обслуживание и консультирование клиентов по топливу и сопутствующим товарам, предоставление информации о проводимых Компанией акциях на АЗС; поддержание чистоты и порядка в магазине. Обеспечение продаж топлива и сопутствующих товаров: приемка топлива (только по документам); выкладка товара на места продаж в соответствии со стандартами Компании; контроль сроков годности и качества продукции, актуализация ценников; приготовление продукции собственного производства. ГРАФИК РАБОТЫ: сменный ЗАРАБОТНАЯ ПЛАТА: Часовая тарифная ставка + премия по результатам работы магазина. Возможность получать пассивный доход до 15 000 руб. за трудоустроенных знакомых. Если Вы – доброжелательный и позитивный человек, любите людей, хотите работать в стабильной Компании, получать достойный доход и гордиться Компанией, в которой работаете - мы ждем Вашего отклика. Наша вакансия также подойдет Вам, если Вы искали: кассир, продавец, администратор, продавец-кассир, продавец-консультант, начинающий специалист, работник торгового зала, любая работа, без опыта, без опыта работы, оператор, оператор-кассир, АЗС, Лукойл, Газпромнефть, Роснефть, РН, Ирбис, Радуга, ТРАССА, Транс АЗС, BP, Shell, Teboil, Тебойл, Пятёрочка, Лента, Магнит, Перекрёсток, Ашан, Метро, METRO, Дикси, Глобус.",https://hh.ru/vacancy/119961508
Оператор-кассир АЗС 97 ( Москва),Шайхутдинов Денис Амирович,55.0,,,,,Нет опыта,ТК,"1/2, 1/3",2 раза в месяц,"подарки, обучение",Продажа топлива и товаров магазина; - Консультирование клиентов по действующим акциям на АЗС; - Поддержание чистоты и порядка в минимаркете АЗС; - Составление отчётности за смену; ✅,https://hh.ru/vacancy/121990399
Оператор-кассир АЗС (Химки),Retail Personal,70.0,90.0,,,,Нет опыта,ТК,2/2,2 раза в месяц,"спецодежда, премии, обучение, кофе, чай","Обслуживать клиентов и работать на кассе. Предлагать продукцию кафе (выпечка, чай, кофе). Заниматься выкладкой товаров. Поддержание чистоты на <highlighttext>АЗС</highlighttext>: торговое...",https://hh.ru/vacancy/121967285
Оператор кассир на АЗС,ГК «ТРАССА»,80.0,95.0,,,,Нет опыта,ТК,64/27,2 раза в месяц,"премии, скидки, обучение, кофе","отпуск топлива и продукции магазина; - приготовление кофе и хот-догов - выкладка и отслеживание сроков годности товара; - поддержание чистоты в здании АЗС. От Вас мы ждём: В первую очередь желание работать и развиваться вместе с нами. Предлагать нашим клиентам сервис высокого качества, а для этого нам понадобится ваше хорошее настроение, доброжелательность, энергичность и грамотная речь! Опыт работы не обязателен, у нас проходит профессиональное обучение на базе собственного Тренинг центра. Приходи и мы всему научим! Место работы по адресам: АЗС &quot;ТРАССА&quot; № 7 Россия, Московская область, Раменский район, вблизи с. Кривцы, 51-й км а/д &quot;Москва-Челябинск&quot; (левая сторона) АЗС &quot;ТРАССА&quot; № 9 Россия, Московская область, Раменский район, сельское поселение Кузнецовское, д.Петровское, ул. Центральная, д.80 АЗС &quot;ТРАССА&quot; № 54 Россия, Московская область, Раменский район, городское поселение Кратово, с. Игумново, ул. Раменская, д.1А АЗС &quot;ТРАССА&quot; № 53 Россия, Московская область, Раменский район, сельское поселение Вялковское, дер. Шмеленки АЗС &quot;ТРАССА&quot; № 21 Россия, Московская область, Раменский район, сельское поселение Ганусовское, 9-й км ММК (Рязанско-Каширское шоссе) (правая сторона), вблизи дер. Нестерово, стр. 350 АЗС &quot;ТРАССА&quot; № 15 Россия, Московская область, Раменский район, сельское поселение Софьинское, дер. Ивановка, стр. 83 АЗС &quot;ТРАССА&quot; № 14 Россия, Московская область, городское поселение Люберцы, г. Люберцы, ул. Московская, д.3Б АЗС &quot;ТРАССА&quot; № 4 Россия, Московская область, Люберецкий район, Октябрьский район, ул. Ленина, д.58 АЗС &quot;ТРАССА&quot; № 44 Россия, Московская область, Раменский район, сельское поселение Чулковское, дер. Редькино, ул. Крылатая, д.1 Мы ждём тебя в нашей команде!",https://hh.ru/vacancy/117932519
Оператор АЗС (Преображенская площадь),Retail Personal,70.0,90.0,,,,Нет опыта,ТК,"2/2, 1/3",Ежемесячно,"премии, кофе, чай","Обслуживание клиентов на кассе; Предлагать продукцию кафе (выпечка, чай, кофе); Заниматься выкладкой товаров; Поддержание чистоты и порядка на АЗС: торговое и подсобное помещения, санузел;",https://hh.ru/vacancy/124823117
Оператор - кассир в магазин на АЗС (м. Марьино),Стопэкспресс,72.5,84.2,,,,Нет опыта,ТК,1/3,,"форма, подарки, проезд, кофе","Предоставлять качественный сервис для наших клиентов в зале и на кассе: обслуживание и консультирование клиентов по топливу и сопутствующим товарам, предоставление информации о проводимых Компанией акциях на АЗС; поддержание чистоты и порядка в магазине. Обеспечение продаж топлива и сопутствующих товаров: приемка топлива (только по документам); выкладка товара на места продаж в соответствии со стандартами Компании; контроль сроков годности и качества продукции, актуализация ценников; приготовление продукции собственного производства. ГРАФИК РАБОТЫ: Сменный. ЗАРАБОТНАЯ ПЛАТА: Часовая тарифная ставка + премия по результатам работы магазина. ​​​​​​​Возможность получать пассивный доход до 15 000 руб. за трудоустроенных знакомых. Если Вы – доброжелательный и позитивный человек, любите людей, хотите работать в стабильной Компании, получать достойный доход и гордиться Компанией, в которой работаете - мы ждем Вашего отклика!",https://hh.ru/vacancy/122721214
