Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Специалист по работе с клиентами,НПФ Газфонд пенсионные накопления,70.0,,,,,От 1 года до 3 лет,ТК,5/2,,форма,"Личный приём и операционное обслуживание клиентов на входящем потоке (консультация клиентов по предварительной записи); Предложение клиентам пенсионных и партнерских продуктов (мы входим в ТОП 3 по уровню доходности среди НПФ); Оформление документов в информационной системе. Будем рады видеть Вас в команде, если Вы: Можете найти индивидуальный подход к клиенту; Имеете опыт продаж; Уверенный пользователь ПК. Со своей стороны,",https://hh.ru/vacancy/125448993
Менеджер по продажам,Дельта системы безопасности,100.0,,,,,Нет опыта,ТК,5/2,Ежемесячно,"кофе, чай",Поиск клиентов В2В на закрепленной за сотрудником территории. Проведение личных встреч/телефонных переговоров. Консультирование существующих клиентов и поиск...,https://hh.ru/vacancy/123812782
Менеджер по оптовым продажам автозапчастей (начинающий специалист),ББС,,,,,,Нет опыта,ТК,5/2,Ежемесячно,премии,"Поддержание действующей клиентской базы. Выстраивание долгосрочных отношений с контрагентами. Анализ продаж и выработка предложений по их росту. Контроль отгрузок и дебиторской задолженности, работа в 1С (научим). Ключевые качества, навыки: Опытный пользователь ПК. Отличные коммуникативные навыки, активная жизненная позиция, ориентация на результат. Грамотная устная и письменная речь. Опыт работы в продажах автозапчастей в секторе B2B будет являться преимуществом.",https://hh.ru/vacancy/124259885
Менеджер объектных продаж (строительные материалы),Строительный Двор,80.0,130.0,,,,Нет опыта,ГПХ,5/2,,"форма, транспорт",Вести и пополнять клиентскую базу. Выстраивать долгосрочные партнерские отношения с клиентами. Профессионально консультировать клиентов по строительным материалам. Проводить переговоры и...,https://hh.ru/vacancy/125304661
Менеджер по продажам,Ингосстрах,60.0,,,,'9-18,Нет опыта,ТК,5/2,,"ДМС, страхование, форма, обучение","Активный поиск и привлечение новых клиентов, формирование собственной клиентской базы; Обработка входящих лидов и контактов клиентов; Поддержание и развитие отношений с текущими клиентами; Продвижение страховых продуктов компании среди друзей и знакомых; Ответы на вопросы клиентов по продуктам, оформление страховой документации; Сопровождение процесса заключения договора страхования; Продвижение бренда компании «Ингосстрах» на рынке страхования.",https://hh.ru/vacancy/124592155
Менеджер по продажам БПЛА,Frobotics,100.0,300.0,,,'9-18,От 1 года до 3 лет,ТК,5/2,,"кофе, чай","Активные продажи БПЛА (входящий трафик); Изучение модельного ряда БПЛА, их особенностей и технических характеристик; Развитие долгосрочных партнерских отношений с текущими клиентами и ведение клиентской базы; Проведение презентаций продукции и услуг компании. Общение с клиентами и поддержание связи с ними на всех стадиях реализации проекта; Осуществление полного цикла подготовки сделок, заключение договоров; Консультирование клиентов по продукции и услугам компании; Организация и проведение встреч с действующими и потенциальными заказчиками Обеспечение высокого уровня сервиса и удовлетворенности заказчиков; Согласование условий и порядка оплаты, контроль за дебиторской задолженностью, составление и предоставление коммерческих предложений; Взаимодействие со смежными подразделениями Компании. Что мы от тебя ожидаем: Опыт продаж БПЛА и авиационных услуг (желательно, но необязательно), рассматриваем также кандидатов из области машиностроения и автомобильного рынка; Желание развиваться в сфере, которая помогает людям; Высокий уровень коммуникации и навыки проведения переговоров; Навыки работы с ПК и CRM-системами (Битрикс 24); Высшее образование; Желание погружаться в новые задачи и быть инициативным в их достижении; Уверенность в себе, амбициозность, не бояться совершать звонки и расширять клиентскую базу, ответственного и стрессоустойчивого. Будет преимуществом: Понимание разрешительной документации, связанной с БПЛА; Опыт работы с грантами; Опыт работы на зарубежных рынках. Приходи к нам, мы ждем именно тебя :) Отклики с сопроводительным письмом рассматриваются в первую очередь!",https://hh.ru/vacancy/125418588
Менеджер по работе с клиентами,ГК Бафра,70.0,,,,,От 1 года до 3 лет,ТК,5/2,Ежемесячно,обучение,"Взаимодействовать с клиентами и руководителями по бухгалтерским, налоговым и бизнес-вопросам. Принимать входящие запросы от клиентов и распределять их между...",https://hh.ru/vacancy/125100810
Менеджер по продаже эксклюзивных проектов,Whitewill,,,,,,От 1 года до 3 лет,ТК,"5/2, 2/2",Еженедельно,"бонус, бонусы","оперативная обработка входящих обращений клиентов по стандартам компании; подбор объектов и назначение показов и встреч с клиентами; проведение показов в офисах продаж застройщиков или в офисе Whitewill; координация и курирование сделки до момента оплаты клиентом; отражение данных о своей работе в crm-системе компании; проведение брокер-туров на объектах и участие в еженедельных координациях команды. Работа менеджером отдела эксклюзивных проектов в Whitewill подойдёт вам, если: у вас есть опыт продажи жилых комплексов бизнес и премиум-класса и гордитесь крутыми результатами; понимаете, что такое клиентский сервис и умеете найти индивидуальный подход к каждому клиенту; вы готовы постоянно учиться и работать над своими ошибками; вы круто общаетесь, быстро находите общий язык с людьми, уверенно продаёте, отрабатываете возражения, закрываете сделки; вы можете продуктивно работать над несколькими задачами одновременно, при этом умеете сосредоточиться, внимательно прочитали текст вакансии и начнете сопроводительное письмо со слов: «Отличное начало».",https://hh.ru/vacancy/124952041
Региональный менеджер по продажам,Венера,110.0,,,,'9-18,От 1 года до 3 лет,ТК,5/2,Ежемесячно,"форма, бонус, обучение","Привлечение новых потенциальных клиентов, развитие активной клиентской базы; - Ведение переговоров с клиентами, подготовка коммерческих предложений, заключение договоров, контроль исполнения условий действующих договоров с клиентами; - Контроль дебиторской задолженности; - Ежемесячное выполнение плана по объёму продаж; - Анализ рынка, сбор информации о потенциальных клиентах; - Ведение отчетности.",https://hh.ru/vacancy/125432678
Оператор 1С (помощник менеджера по продажам),АвтоОпт,50.0,,,,,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,,"Заполнение данных в 1С. Отработка территории согласно установленного графика совместно с ТП и МП клиентов Подбор товаров в заказ согласно потребности клиента и целей компании, продажа аналогов Контроль взаиморасчетов с клиентами, дебиторской задолженности. Работа с документацией (договоры, акты сверки взаиморасчётов, УПД) Составление и редактирование прайс-листов и иных документов связанных с ведением продаж. Опыт в продажах автозапчастей, технических жидкостей и расходных материалов будет преимуществом Ожидаемый результат: Своевременный возврат подписанных документов, своевременная отработка заказов для доставки по графику.",https://hh.ru/vacancy/125469795
