Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Начинающий бариста в кофейню (м. Войковская/МЦК Коптево),FAVORIT MOTORS,70.0,,,,,Нет опыта,ТК,2/2,Ежемесячно,кофе,Прием и выкладка товаров. Поддержание чистоты в кофейне. Помощь гостю при выборе в меню. Приготовление самых вкусных напитков.,https://hh.ru/vacancy/118276046
Бариста OnePriceCoffee в ТЦ Ривьера,Академия Максимус,59.0,,,,,Нет опыта,ТК,"2/2, 3/2, 4/2",,"форма, кофе","ONE PRICE COFFEE - самая быстро развивающаяся сеть кофеен формата &quot;Coffee to Go&quot;. Работая у нас, Вы сможете получить бесценный опыт приготовления напитков, который пригодится не только в работе, но и в повседневной жизни ✅Мы предлагаем: Официальное трудоустройство Обучения мастерству бариста (оплачиваемое с нашей стороны) График 2/2; 3/2; 4/2 на ваш выбор по 6,8,9 часов Полностью &quot;белая&quot; заработная плата Реальная возможность роста до старшего бариста и управляющего! Подбираем ближайшую к месту жительства кофейню Дружный коллектив ✅Что нужно делать? Готовить самые вкусные напитки Консультировать наших гостей по ассортименту Соблюдать стандарты обслуживания Работать с кассой Поддерживать чистоту в кофейне",https://hh.ru/vacancy/121502242
Бариста в Cream Soda,Эрфольг,75.0,95.0,4560.0,380.0,12.0,От 1 года до 3 лет,ТК,2/2,2 раза в месяц,"питание, бесплатное питание, форма, кофе","Приготовление напитков (фреши, авторские напитки, кофейные напитки и тд.); Расчет гостей, работа с кассой за баром (обучаем); Соблюдение правил внутреннего порядка; Соблюдение норм СанПин; Подготовка бара к открытию и закрытию смены; Консультировать гостей по меню при необходимости и поддерживать атмосферу заведения.",https://hh.ru/vacancy/125328380
Бариста в кофейню,Elmix Coffee,0.4,0.4,,,,Нет опыта,ТК,5/2,,"кофе, чай","Соблюдение стандартов обслуживания и сервиса Приготовление кофейных и чайных напитков по тех. карте Работа с продукцией витрины (выпечка, готовые полуфабрикаты, десерты) Работа с кассой Соблюдение чистоты и правил безопасности питания",https://hh.ru/vacancy/125043502
Бариста,Артисан Рус,90.0,120.0,,,,Нет опыта,ТК,"2/2, 3/3, 5/2",,"питание, бесплатное питание, форма, униформа, кофе","Приготовление напитков по стандартам specialty coffee; Общение с гостями, создание тёплой и дружелюбной атмосферы; Работа с кассой, открытие и закрытие смены; Поддержание чистоты и порядка на рабочем месте; Соблюдение стандартов кофейни.",https://hh.ru/vacancy/124971465
Бариста в кофейню (м. Парк Культуры),rockets.coffee,85.0,,,,,Нет опыта,ТК,5/2,2 раза в месяц,"питание, бесплатное питание, форма, обучение, кофе","Консультировать гостей в выборе кофейного зерна или другой продукции. Вакансия подходит для <highlighttext>бариста</highlighttext>, <highlighttext>бариста</highlighttext> в сеть кофеен, сотрудник бара, сотрудник...",https://hh.ru/vacancy/124812160
"Бариста Surf Coffee, Москва",Surf Coffee,60.0,80.0,,,,Нет опыта,ТК,5/2,,"питание, форма, униформа, премии, бонус, обучение, кофе","Приготовление напитков по стандартам компании Общение с гостями в формате дружеской беседы Работа с кассой и соблюдение чек-листов Участие в жизни кофейни, командных встречах и предложениях по улучшению Surf Coffee® — это больше, чем работа. Это сообщество, стиль жизни и возможности. Если хочешь расти, развиваться и быть частью команды, которая двигается вперёд — мы ждём именно тебя. We Are Greater Than I",https://hh.ru/vacancy/125050680
Бариста-Продавец в табачный магазин,Ашкуди.рф,4.2,6.3,,,,Нет опыта,ТК,"30/20, 18/30, 5/2, 4/3",Еженедельно,"бонус, бонусы, кофе","Продажа электронок, сигарет и других табачных изделий Приготовление и продажа кофе Выкладка товара из запасников Поддержание чистоты (протирать полки, витрины, кофемашину перед сменой, во время и при закрытии смены) Контроль заканчивающихся товаров Большинство сотрудников после нескольких месяцев работы получают возможность поработать в других магазинах сети. У нас остаются работать на несколько лет, если нет косяков. Если вам подходят условия и требования - сразу откликайтесь , познакомимся лично и предложим взять тестовую смену с полной оплатой.",https://hh.ru/vacancy/124585854
Бариста,Кофейня termos,95.0,110.0,4800.0,400.0,'16-17,От 1 года до 3 лет,ТК,"5/2, 16/17",,"питание, бонус, кофе","Приготовление напитков. Общение с гостями, контроль чистоты в зале. Работа с залом. Контроль соблюдения стандартов сервиса (friendly-сервис).",https://hh.ru/vacancy/124669631
Бариста/ти-мейкер,TAPIERA TEA,70.0,,,,,Нет опыта,ТК,2/2,Ежемесячно,"форма, скидки",Создание уникальных напитков. Эксперименты и воплощение идей. Участие в событиях и тематических мероприятиях. Движение вперёд и развитие в любимом деле. ,https://hh.ru/vacancy/124860324
