Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Персональный водитель,ГБУ Центр экспертиз и новых технологических решений,120.0,180.0,,,,От 3 до 6 лет,ТК,64/27,,,"Своевременная подача автомобиля руководителю к месту работы, проживания, встреч и мероприятий. Перевозка руководителя по Москве и Московской области, обеспечение комфорта и безопасности во время поездок. Встреча и сопровождение руководителя в аэропортах, на вокзалах, официальных и деловых мероприятиях. Выбор оптимальных маршрутов движения, знание города и умение быстро ориентироваться в дорожной ситуации. Поддержание автомобиля в исправном техническом состоянии: ежедневный осмотр, контроль технических жидкостей, шин, приборов, своевременное прохождение ТО. Заправка автомобиля топливом, контроль расхода ГСМ, ведение путевых листов и необходимой документации. Поддержание автомобиля в чистоте и опрятном внешнем виде (салон, кузов). Обеспечение сохранности автомобиля, документов и перевозимого имущества. Выполнение поручений руководителя, связанных с поездками (доставка документов, корреспонденции, мелких грузов). Соблюдение полной конфиденциальности , корректное поведение, уважение субординации. Деловой дресс-кода, поддержание презентабельного внешнего вида.",https://hh.ru/vacancy/125441475
Водитель в семью,Компания-производитель электроники,150.0,150.0,,,'7-10,Более 6 лет,ТК,"7/10, 30/20",,форма,"Старт работы метро Коломенская. Ежедневные детские маршруты: школа/сад, кружки, секции, дополнительные занятия, медицинские визиты. Перевозка родителей по делам: встречи, аэропорт/вокзал, деловые поручения. Уход за автомобилем: мойка, шиномонтаж/сезонная резина, ТО, планирование сервисных визитов. Хозяйственные поручения: закупки, доставка вещей в химчистку/мастерские, экспресс-доставки. Обеспечение безопасности детей: проверка кресел/бустеров, фиксация ремней, соблюдение маршрутов, высадка/посадка у безопасных зон. Обязательные",https://hh.ru/vacancy/125425903
Личный водитель,Экострой СП,150.0,,,,'9-10,Более 6 лет,ТК,"5/2, 9/10, 19/20",,,"Знание города. - Ответственность, внимательность, аккуратность. - Опыт работы персональным <highlighttext>водителем</highlighttext> на премиальном автомобиле будет преимуществом. - Хорошие манеры общения, пунктуальность и вежливость. - ",https://hh.ru/vacancy/125431536
Персональный водитель на своем автомобиле бизнес класса,Nuvella,100.0,,,,,От 3 до 6 лет,ТК,5/2,,"проезд, транспорт","Безопасность : обеспечение безопасной езды и соблюдение всех правил дорожного движения. - Комфорт : поддержание чистоты автомобиля, создание комфортной атмосферы внутри салона. - Дискретность : сохранение конфиденциальности поездок и разговоров пассажиров. - График : готовность к гибкому графику работы, включая ранние утренние часы и поздние вечера. - Общение : вежливое общение с пассажирами, умение поддержать беседу при необходимости. - Знание местности : отличное знание города и прилегающих регионов, способность быстро ориентироваться даже в незнакомых районах. - Забота о транспортном средстве : регулярное обслуживание автомобиля, своевременная замена расходников, контроль технического состояния машины.",https://hh.ru/vacancy/125433318
Корпоративный водитель,АльфаСтрахование,,,,,,От 3 до 6 лет,ТК,5/2,,"ДМС, страхование, скидки","Работа с сотрудниками офиса и перевозки ТМЦ компании. Только поездки по Москве ​​​​​​​. Умели пользоваться навигатором, могли заранее спланировать время на...",https://hh.ru/vacancy/125420669
Водитель на производство,Ряховская Инна Валерьевна,100.0,100.0,,,,От 3 до 6 лет,ТК,5/2,,,выполнение функций офисного водителя закупка и забор материалов доставка продукции (редко),https://hh.ru/vacancy/125413919
Персональный водитель (Москва и Московская область),Евразия,180.0,180.0,,,,От 3 до 6 лет,ТК,2/2,,,Своевременная подача автомобиля в назначенное время и место; Планирование оптимального маршрута передвижения по Москве и Московской области; Заправка‚ мойка и содержание в чистоте автомобилей; Обеспечение комфортного вождения.,https://hh.ru/vacancy/123052239
Водитель в офис,СТАН,,,,,,От 3 до 6 лет,ТК,5/2,,"ДМС, транспорт","Управление автотранспортным средством; Перевозка пассажиров в Москве и МО на легковом автомобиле компании; Контроль за техническим состоянием автотранспортного средства, обеспечение своевременного технического обслуживание в сервисном центре (в установленные сроки); Поддержание чистоты салона автотранспортного средства; Ведение путевых листов, отмечая маршруты следования, пройденный километраж, расход топлива; Выезд в служебные командировки с целью выполнения служебных заданий; Планирование оптимального маршрута движения с целью доставки пассажиров в назначенное место и время.",https://hh.ru/vacancy/125426430
Личный водитель акционера компании,Завод Нефтяного Оборудования,120.0,120.0,,,,От 3 до 6 лет,ТК,3/2,,,"Персональное сопровождение акционера компании и членов его семьи Подача автомобиля точно в согласованное время Безопасное и комфортное вождение в городе и при междугородних поездках Доставка в аэропорты, сопровождение на деловых и личных мероприятиях Выполнение личных поручений, связанных с поездками Контроль технического состояния и внешнего вида автомобиля, своевременное ТО, в том числе других ТС акционера компании",https://hh.ru/vacancy/125421485
Персональный водитель руководителя,Каскад-Авто,150.0,150.0,,,,Более 6 лет,ТК,5/2,2 раза в месяц,,"Обеспечивать безопасное и комфортное передвижение директора компании и членов его семьи; Выполнять поручения директора личного характера; Контролировать техническое состояние, внешний вид и чистоту автомобиля, Хорошее знание Москвы и Московской области , умение составлять оптимальный маршрут движения с учетом дорожной обстановки.",https://hh.ru/vacancy/125365313
Семейный водитель,Агентство Мэри Бонн,170.0,170.0,,,,Более 6 лет,ТК,5/2,,,сопровождение детей (4 и 7 лет) своевременная подача заправка и уход за авто (Мерседес V-класс с перегородкой) выполнение мелких поручений финансовый отчет,https://hh.ru/vacancy/125377141
Водитель,Посольство Федеративной Демократической Республики Эфиопия,,,,,,От 3 до 6 лет,ТК,5/2,,транспорт,"сопровождение дипломатов и членов их семей, а также осуществление курьерской доставки, проверки технического состояния и ремонта транспортного средства. Встреча официального персонала и делегаций в аэропорту; Транспортировка пассажиров по назначенному маршруту; Получение / доставка почтовых и иных посылок на автомобиле; Базовая очистка и техническое обслуживание вверенных транспортных средств; Прочие задания.",https://hh.ru/vacancy/125322813
Водитель/персональный водитель,Флат,,,,,,От 3 до 6 лет,ТК,5/2,2 раза в месяц,,"Сопровождение руководителя по заданному маршруту; Сопровождение членов семьи руководителя; Составление оптимальных маршрутов движения; Обеспечение комфортного, безопасного и быстрого передвижения; Контроль за техническим состоянием автомобиля, ТО, мойка; Поездки по личным поручения руководителя; Ведение отчётности по выделенным средствам.",https://hh.ru/vacancy/125429067
"Водитель категории ""В""",АНО Федеральный Центр Беспилотных Авиационных Систем,,,,,,От 3 до 6 лет,ТК,"5/2, 16/45",2 раза в месяц,транспорт,"Управление служебным транспортным средством; Доставка персонала по адресам на автомобилях Газель, Нива Бронто или Ларгус. Работа пределах г.Москвы и Центрального Федерального округа; Проверка технического состояния и приём aвтомoбиля перед выездом; Поддержания чистоты и порядка в транспортном средстве; Содержание автомобиля в исправном рабочем состоянии.",https://hh.ru/vacancy/125392484
Водитель - телохранитель,EPAM,180.0,210.0,,,,Более 6 лет,ТК,3/3,,"страхование, бонус, бонусы","Обеспечение безопасности охраняемого лица (членов семьи); Сопровождение в командировках, заграничных поездках. Посещение обязательных занятий (тир, бокс, медицина, тактика);",https://hh.ru/vacancy/125393602
Семейный водитель/Помощник (Одинцовский район),Евразия,300.0,300.0,,,,Более 6 лет,ТК,2/2,,,"Безопасная и своевременная перевозка членов семьи (в том числе детей — в школу, кружки, мероприятия и т.д.); Выполнение личных поручений семьи; Поддержание автомобиля в чистоте и технически исправном состоянии (мойка, заправка); Планирование оптимального маршрута передвижения по Москве и Московской области (Одинцовский район);",https://hh.ru/vacancy/125289077
Семейный водитель,Агентство домашнего персонала Золотое Сечение,230.0,230.0,,,'21-22,Более 6 лет,ТК,"5/2, 21/22",,,Опытный семейный персональный водитель; Стандартные обязанности.,https://hh.ru/vacancy/125409647
