Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Менеджер по продажам,Дельта системы безопасности,100.0,,,,,Нет опыта,ТК,5/2,Ежемесячно,"кофе, чай",Поиск клиентов В2В на закрепленной за сотрудником территории. Проведение личных встреч/телефонных переговоров. Консультирование существующих клиентов и поиск...,https://hh.ru/vacancy/123812782
Менеджер по продажам,ГК ЦЭР,100.0,200.0,,,,От 1 года до 3 лет,ТК,5/2,,обучение,Полный цикл работы с клиентами — от поиска до закрытия сделки. Продажа услуг экспертизы проектной документации. Ведение клиентской базы в CRM...,https://hh.ru/vacancy/121283264
Менеджер по продажам B2B,Качество Исполнения,150.0,,,,,От 1 года до 3 лет,ТК,5/2,Ежемесячно,"бонус, бонусы","Продавать услуги компании: Продвижение сайтов, поисковая оптимизация (SEO);Контекстная и Таргетированная реклама; Ведение и продвижение соц. сетей (SMM);Разработка сайтов...",https://hh.ru/vacancy/124421099
Менеджер по продаже эксклюзивных проектов,Whitewill,,,,,,От 1 года до 3 лет,ТК,"5/2, 2/2",Еженедельно,"бонус, бонусы","оперативная обработка входящих обращений клиентов по стандартам компании; подбор объектов и назначение показов и встреч с клиентами; проведение показов в офисах продаж застройщиков или в офисе Whitewill; координация и курирование сделки до момента оплаты клиентом; отражение данных о своей работе в crm-системе компании; проведение брокер-туров на объектах и участие в еженедельных координациях команды. Работа менеджером отдела эксклюзивных проектов в Whitewill подойдёт вам, если: у вас есть опыт продажи жилых комплексов бизнес и премиум-класса и гордитесь крутыми результатами; понимаете, что такое клиентский сервис и умеете найти индивидуальный подход к каждому клиенту; вы готовы постоянно учиться и работать над своими ошибками; вы круто общаетесь, быстро находите общий язык с людьми, уверенно продаёте, отрабатываете возражения, закрываете сделки; вы можете продуктивно работать над несколькими задачами одновременно, при этом умеете сосредоточиться, внимательно прочитали текст вакансии и начнете сопроводительное письмо со слов: «Отличное начало».",https://hh.ru/vacancy/124952041
Менеджер объектных продаж (строительные материалы),Строительный Двор,80.0,130.0,,,,Нет опыта,ГПХ,5/2,,"форма, транспорт",Вести и пополнять клиентскую базу. Выстраивать долгосрочные партнерские отношения с клиентами. Профессионально консультировать клиентов по строительным материалам. Проводить переговоры и...,https://hh.ru/vacancy/125304661
Менеджер по продажам,SIBERIA,140.0,250.0,,,,От 1 года до 3 лет,ТК,2/2,,форма,"Активные продажи в сегменте B2C с входящим потоком лидов. Предоставление нашим гостям информации о spa-комплексе. Продажа основных и дополнительных услуг, перевод неактивных лидов в активные. Работа в CRM системе. Ведение клиентской базы. Общение с гостями и членами клуба. Что мы ждем от тебя: Результат — потому что, если его нет, остальное для нас не имеет смысла. Храбрость — потому, что высоких результатов достигают только смелые. Успешный опыт работы в телефонных продажах услуг от 1 года. Знаешь технику продаж и применяешь её на практике.",https://hh.ru/vacancy/125391965
Менеджер по работе с клиентами B2B (без холодного поиска),ДОМ ВАШЕГО БИЗНЕСА,90.0,,,,'6-12,От 1 года до 3 лет,ТК,6/12,,"бонус, бонусы, обучение, кофе, чай","Продажи B2B — работа только с &quot;теплой&quot; базой клиентов (аренда офисов, складов, юридические адреса). Консультирование — клиентов по вопросам услуг компании Работа в CRM — ведение сделок в Bitrix24, отчетность. Переговоры — общение с партнерами, решение вопросов. Контроль платежей — отслеживание дебиторской задолженности. На период ввода в должность и полной адаптации Вы работаете в статусе Менеджера по продажам (junior). Важно, что вы работаете под наставничеством Вашего руководителя - мы Вас всему научим! Вам стоит откликнуться, если есть: Опыт в продажах (недвижимость, B2B, B2C — будет плюсом) Навыки ведения переговоров и работы с возражениями Знание основ документооборота (составление договоров, владение MS Office) Опыт работы с CRM (Bitrix24 — преимущество) Желание развиваться в B2B направлении Тебе точно понравится в компании, у тебя есть возможность хорошо зарабатывать на рынке В2В в надежной и стабильной компании! Откликайтесь прямо сейчас! Мы ценим своих сотрудников и создаем комфортные условия для профессионального роста. P.S. Готовы рассмотреть кандидатов со смежным опытом в продажах или риэлторских услугах. Для нас главное - ответственность кандидата.",https://hh.ru/vacancy/124642320
Менеджер по продажам Дом Моды,Модный Дом Mastersuit,185.0,350.0,,,,От 1 года до 3 лет,ГПХ,5/2,,бонус,"Консультировать клиентов по услугам, наличию товаров, размеров. Формировать и оформлять заказы. Обрабатывать теплые и горячие заявки. Согласовывать встречи между нашим...",https://hh.ru/vacancy/123150193
Менеджер по продажам (без поиска клиентов),Городская Транспортная Компания,250.0,,,,,От 1 года до 3 лет,ТК,5/2,,,Совершать продажи теплой базе клиентов. Оперативно решать все возникающие вопросы с клиентами. Выполнять планы и нормативы по продажам . ,https://hh.ru/vacancy/125318499
Менеджер по продажам IT-продуктов,Roistat,,,,,,От 1 года до 3 лет,ТК,5/2,,"ДМС, форма, бонус, бонусы, обучение","Формировать базу потенциальных клиентов в В2В-секторе; Совершать звонки и выходить на ЛПР: генерального директора/руководителя отдела маркетинга/маркетолога компании; Проводить клиентам онлайн-презентации и показывать, как платформа Roistat помогает их бизнесу стать эффективнее; Совершать сделки и выстраивать долгосрочные отношения с клиентами. Мы рады встрече, если ты: Знаешь методы и этапы продаж; Имеешь опыт в B2B сегменте; Нацелен на результат. Плюсом будет, если ты: Вариативен в способах работы; Грамотно расставляешь приоритеты. Что у нас хорошего и полезного для тебя: Крутая и сплоченная команда единомышленников; Работа с продуктом, которым пользуются тысячи компаний; Мы помогаем адаптироваться и развиваться (руководитель поможет найти твои точки роста и прокачать их, а HR поможет по всем остальным вопросам); Оплачиваемое обучение от компании; 4 дополнительных выходных дня в году за счет компании; Мы платим бонусы за чтение профессиональной литературы; Проводим крутые корпоративы как для всей компании, так и внутри отделов; Общение на &quot;ты&quot;, насыщенная корпоративная культура; Стильный и уютный офис с просторной зоной отдыха, настольным футболом, PlayStation и всего в 7 минутах от м.Таганская/м.Марксистская; Официальное трудоустройство, полностью белая ЗП. Программа ДМС.",https://hh.ru/vacancy/124644079
Менеджер по продажам,JDaI,203.0,221.0,,,,От 1 года до 3 лет,ГПХ,5/2,,обучение,Поиск клиентов и холодные звонки. Продажа услуг аутсаффинга. Подготовка и отправка КП и договоров. Согласование и отправка договора.,https://hh.ru/vacancy/125375997
"Менеджер по продажам (спецодежда, СИЗ)",СА Родияр,130.0,,,,,От 1 года до 3 лет,ТК,5/2,,"спецодежда, обучение","Развитие отношений с действующими клиентами(без холодного поиска); Проведение переговоров с клиентами; Подготовка коммерческого предложения; Проведение презентации продукта или услуг клиенту; Работа с входящими-исходящими звонками, заключение сделок; Подготовка документов по тендерным заявкам, участие в тендерных мероприятиях, оформление и сопровождение заказов в 1С, организация и сопровождение отгрузки товара со склада; Работа с CRM системой. Наши ожидания: Опыт продаж по направлению &quot;Спецодежда&quot;- будет Вашим преимуществом ; Навыки продаж и переговоров; Владение MS Office, CRM, 1C; Аккуратность, внимательность, четкость исполнения, хорошая обучаемость, готовность принимать изменения.",https://hh.ru/vacancy/123069832
Менеджер по продажам,Холика Ритейл,,,,,,Нет опыта,ТК,5/2,,"бонус, бонусы, обучение",Портрет соискателя/Необходимые качества:,https://hh.ru/vacancy/124864807
Менеджер по оптовым продажам,Электро-Миа,150.0,,,,,От 1 года до 3 лет,ТК,5/2,,обучение,"Обработка входящих звонков и заявок клиентов Наработка клиентской базы, обзвон и налаживание сотрудничества Консультация, оформление заказа в 1С Заказ товара у поставщиков компании Контроль отгрузок и доставок Выставление счетов юридическим лицам по входящим заявкам",https://hh.ru/vacancy/124714747
Менеджер по продажам B2B,Центр Строительно-Проектной и Промышленной Экспертизы,150.0,,,,'5-7,Нет опыта,ТК,"5/2, 5/7",Ежемесячно,"обучение, проезд","Проводить переговоры, формировать и выстраивать долгосрочные отношения с клиентами (клиенты закрепляются за менеджером на постоянной основе), вести базу в CRM. ",https://hh.ru/vacancy/120381515
New business manager/Sales manager,DIDENOK TEAM,,,,,,От 3 до 6 лет,ТК,5/2,,"ДМС, форма, кофе",Интегрированные маркетинговые кампании и спецпроекты на стыке различных инструментов digital с участием блогеров и звёзд. Креативный хаб: разработка креативных концепций...,https://hh.ru/vacancy/120422330
Менеджер по продажам в чатах (удаленно),Holy Clean,70.0,100.0,,,,Нет опыта,ГПХ,2/2,,"бонус, бонусы, обучение","Обрабатывать входящие заявки - клиенты уже заинтересованы, ваша задача грамотно проконсультировать и довести до продажи. Работать с тёплой базой клиентов. ",https://hh.ru/vacancy/125387961
Менеджер по продажам в салон t2,Сеть салонов сотовой связи ИЗЮМ,90.0,150.0,,,,Нет опыта,ТК,5/2,,"форма, обучение, чай","Продажа: смартфоны, гаджеты, аксессуары и финансовые продукты. Обслуживание: настройка и защита цифровой техники. Консультации: помощь клиентам в выборе и использовании техники. Что мы ждем от тебя: Желание зарабатывать и учиться новому. Интерес к современным гаджетам и технике. Умение работать в команде и поддерживать коллег. Дружелюбное отношение к клиентам. Наши преимущества: Наставничество: мощная поддержка в первые месяцы работы. Среда для развития: регулярные тренинги, вебинары, бизнес-игры. Дружеская атмосфера: юмор, неформальные вечеринки и поддержка. Приводи друга и получай 20 000 рублей. Выбирай для себя удобную станцию метро для будущей работы: м. Автозаводская м. Домодедовская м . Чертановская/Южная м . Первомайская м . Серпуховская м . Алтуфьево м. Пролетарская м. Новокосино м . Авиамоторная м. Марьина роща м . Бабушкинская м . Новоясеневская м. Чистые пруды",https://hh.ru/vacancy/106691521
Area Sales Manager (Зрелые бренды),Новартис Фарма,,,,,,От 3 до 6 лет,ТК,5/2,,"ДМС, страхование, бонус","Расширение доли рынка препарата компании, увеличение объема и прибыльности продаж на территории страны в коммерческом и бюджетном сегменте. ",https://hh.ru/vacancy/125333229
Менеджер по продажам катеров и яхт,СП Нобилис,,,,,,От 1 года до 3 лет,ТК,64/27,,,"Комплексное представление продукта потенциальным клиентам (технические и маркетинговые особенности продукта). Обработка входящих заявок (звонки, сайт, соцсети, Авито). Первичная квалификация клиента...",https://hh.ru/vacancy/124562476
Менеджер по продажам промышленного оборудования (без холодных звонков),Деркач Елена Владимировна,200.0,500.0,,,,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,"форма, бонус, бонусы","Решения по бесперебойному питанию и альтернативному электроснабжению​​​​​​. Оборудование для производства сжатого воздуха, который выступает в качестве движущей силы или для...",https://hh.ru/vacancy/125397070
"Менеджер по работе с клиентами (Маркетплейсы, Сети)",MIXIT,,,,,,От 1 года до 3 лет,ТК,5/2,,"премии, скидки, транспорт","размещение, обработка и согласование заказов. - согласование графиков отгрузок. - контроль отгрузки и приемки заказов покупателем. - оперативное решение вопросов при поставках. - ",https://hh.ru/vacancy/125336414
Менеджер по продажам (направление IT),Спсофт,120.0,,,,,От 1 года до 3 лет,ТК,5/2,,"форма, премии, обучение","Выстраивает качественные и долгосрочные отношения с заказчиками. Ведёт активные продажи, развивая существующую клиентскую базу. Регулярно выполняет план продаж. ",https://hh.ru/vacancy/124418172
Ведущий специалист в отдел продаж,ФГУП Всероссийский научно-исследовательский институт автоматики им. Н.Л. Духова ( ГК Росатом),160.0,180.0,,,,От 3 до 6 лет,ТК,5/2,2 раза в месяц,"питание, форма","Организация и сопровождение продаж на электронной платформе; Ведение каталога продукции, продаваемой на электронной платформе, обновление и ввод необходимой информации, в том числе экономического и технического характера; Взаимодействие с внутренними службами предприятия; Взаимодействие с Заказчиками по вопросам продажи и поставки продукции",https://hh.ru/vacancy/125303859
Ведущий менеджер по работе с клиентами,UP business,200.0,,,,,От 3 до 6 лет,ТК,5/2,,"премии, чай","Ты — архитектор сделки: Подготовишь и заключишь договор, взяв на себя всю ответственность за юридическую чистоту. Ты — личный менеджер: Будешь вести...",https://hh.ru/vacancy/124202023
Менеджер по работе с клиентами (Заклинатель сложных клиентов),Deez.Studio,350.0,,,,,От 1 года до 3 лет,ТК,64/27,,"форма, бонус, бонусы","Вести коммуникацию с клиентами студии (брендинг, дизайн, digital). Переводить «не нравится» в конкретику: Если клиент говорит «не то», вы выясняете, что именно его не устраивает (и почему это вдруг превращается в просьбу сделать шрифт Comic Sans). Участвовать в брифингах, уточнять цели и детали проекта. Расшифровывать клиентский язык: «Сделайте поярче» или «логотип покрупнее» — и превращать это в нормальные дизайнерские задачи. Решать спорные ситуации мирным и конструктивным способом: Если возникает спор, переводить его в продуктивное обсуждение, а не в войну. Поддерживать высокий уровень удовлетворённости клиентов. Объяснять, почему референсы из 2010-х — это плохо: И делать это так, чтобы клиент сам захотел отказаться от них. Кого мы ищем: Переговорщика с харизмой и выдержкой: Опыт переговоров в маркетинге, рекламе, креативных индустриях. Дипломата с внутренним стержнем: Умение слушать и доносить информацию простыми словами. Человека, способного сказать «нет» клиенту так, чтобы он сам начал сомневаться в своём «да»; Желание «приручать хаос» и работать с амбициозными клиентами. Что предлагаем: Оклад от 250 000 до 350 000 ₽: Да, мы ценим тех, кто умеет приручать клиентов; Бонусы за «приручённых»: Если клиент напишет нам «Вау, спасибо за вашу работу» — вы получаете премию; Гибкий график и возможность удалёнки: Главное, чтобы чакра терпения была открыта в рабочие часы; Работу в команде, которая действительно понимает, что делает. Как откликнуться: Обычного резюме недостаточно. Вместе с откликом пришлите короткий рассказ: Какой самый сложный клиент был у вас? И как вы его приручили? Ждём ваших историй 👇",https://hh.ru/vacancy/125308367
Менеджер по проектным продажам (Антикоррозионные и Огнезащитные покрытия),О3-Коутингс,,,,,,От 3 до 6 лет,ТК,5/2,,"ДМС, страхование, форма, проезд, транспорт","Проведение деловых встреч, переговоров и технических консультаций по продукции компании с заказчиками, поддержание контактов с ключевыми клиентами. Подготовка коммерческих предложений...",https://hh.ru/vacancy/124817715
Менеджер по продажам ювелирных изделий,Ювелирный завод Вероника,200.0,,,,'3-4,От 1 года до 3 лет,ТК,"3/4, 5/2",2 раза в месяц,"подарки, скидки, обучение","Основная задача менеджера по продажам – активные оптовые продажи ювелирных изделий (золото, серебро), развитие клиентской базы. Работать по существующей базе, привлекать новых клиентов, заключение договоров, полное сопровождение сделки Работать с ключевыми клиентами, проводить встречи с целью ознакомления с новинками, проведения отборок ювелирных изделий, увеличения объемов отгрузок. Соблюдать сроки проведения сделок и поступления денежных средств. Контролировать дебиторскую задолженность; Участвовать в ювелирных выставках, как в России, так и заграницей (по желанию) Наши пожелания к кандидату: Желание зарабатывать от 200 000 рублей и выше. Опыт активных продаж ювелирных изделий; Грамотная и четкая речь, хорошая дикция; Навыки деловой переписки; Готовность много общаться с людьми, умение выявлять потребности клиентов; Стремление постоянно развиваться Ждем вас в нашей команде!",https://hh.ru/vacancy/123131675
Менеджер по работе с клиентами (Глобальный офис продаж в России),Radisson Hotel Group,,,,,,От 3 до 6 лет,ТК,5/2,,,В этой роли <highlighttext>менеджер</highlighttext> <highlighttext>по</highlighttext> <highlighttext>работе</highlighttext> <highlighttext>с</highlighttext> <highlighttext>клиентами</highlighttext> будет отвечать за достижение результатов посредством конструктивного взаимодействия с нашими ключевыми клиентами...,https://hh.ru/vacancy/125156420
Менеджер по продажам/Sales manager,ФРОМТЕК,,,,,,От 1 года до 3 лет,ТК,5/2,,"ДМС, форма, премии, подарки, обучение","Привлечение новых крупных клиентов в компанию: поиск, установление контакта и развитие отношений с потенциальными клиентами в сегменте крупного бизнеса. • Знание продукта: умелое представление наших сильных сторон на презентациях. • Проведение презентаций и переговоров: общение как с холодными, так и с теплыми потенциальными клиентами — как в режиме видеоконференций, так и на личных встречах. • Ведение клиентской базы: поддержка и развитие отношений с текущими и потенциальными клиентами, регулярный контакт через соцсети, мессенджеры, по email и телефону. • Участие в выставках и бизнес-встречах: представление компании на профильных мероприятиях, установление деловых контактов. • Работа с системами закупок/тендеров: поиск и контроль по заявкам к участию в тендерных закупках. Подготовка и подача документов компании для участия в них. Что для нас важно: • Опыт продаж программного обеспечения (не железа) или ИТ-сервисов в кредитно-финансовой сфере или телекоме • Опыт холодных продаж, привлечение клиентов без готовой базы в B2B-сегменте • Сильные коммуникативные навыки и понимание специфики продаж IТ продуктов • Активная жизненная позиция, уверенность в себе и отличные коммуникативные навыки • Способность процветать с минимальным руководством, быстро принимать решения и справляться с неопределенностью",https://hh.ru/vacancy/124270056
Менеджер по продажам в переписке,Полегаев Владимир Андреевич,80.0,210.0,,,,От 1 года до 3 лет,ТК,5/2,Еженедельно,"форма, обучение","Общаться с потенциальными клиентами и подбирать для них подходящие обучение. Закрывать сделки – превращать интерес в покупку. Контролировать оплату от клиентов и сопровождать их после покупки. Твоим преимуществом будет: Энергичность и проактивность – любишь общаться и умеешь убеждать Амбициозность – хочешь зарабатывать много и достигать крутых результатов. Готов вкладываться в свою работу, а не просто &quot;отсиживать часы&quot;. Если ты дочитал до конца и понял, что это про тебя: Напиши сопроводительное письмо и укажи 3 причины , почему именно ты должен быть в нашей команде! До встречи на собеседовании !",https://hh.ru/vacancy/124783282
Менеджер по продажам,TAG,150.0,200.0,,,,От 1 года до 3 лет,ТК,5/2,,форма,Активный поиск и привлечение новых клиентов. Ведение переговоров и заключение договоров. Поддержка и развитие долгосрочных отношений с клиентами. Анализ потребностей клиентов и предложение оптимальных решений. Выполнение планов продаж и увеличение клиентской базы.,https://hh.ru/vacancy/125174350
"Менеджер по работе с клиентами (трейдинг, работа в чатах)",ТЛ Групп,,,,,,От 1 года до 3 лет,ТК,5/2,,форма,Принимать входящие обращения и заявки от пользователей (работа в чате); Консультировать клиентов по продукту; Отчетность в CRM.,https://hh.ru/vacancy/125245972
Менеджер по продажам FMCG,Фитроо,350.0,,,,,От 3 до 6 лет,ТК,5/2,,ДМС,"Выполнение плана продаж; Создание и поддержание прочных долгосрочных связей с ключевыми клиентами; Разработка и реализация индивидуальных стратегий развития для каждого клиента, направленных на рост продаж и расширение сотрудничества. Взаимодействие с различными отделами компании (маркетинг, продажи, логистика, техническая поддержка) для обеспечения комплексного и качественного обслуживания клиентов. Отслеживание выполнения условий контрактов и договоренностей, а также контроль дебиторской задолженности. Планирование, анализ и обеспечение роста объемов продаж ключевым клиентам, а также участие в переговорах и заключении договоров.",https://hh.ru/vacancy/125382890
Менеджер по продажам (защита от беспилотников),СтройТоргИнновация,120.0,180.0,,,'2-3,Нет опыта,ГПХ,2/3,,,Активно продавать и вести переговоры на уровне первых лиц. Работать с входящим и исходящим потоком (упор на исходящие). ,https://hh.ru/vacancy/125329441
Менеджер по продажам,V&M,72.0,163.0,,,'2-3,От 1 года до 3 лет,ТК,2/3,Еженедельно,"форма, бонус, бонусы, обучение","Компания VM Logistic занимается авто доставкой груза из Китая в Россию и Беларусь. Мы предоставляем услуги по поиску, выкупу, консолидации...",https://hh.ru/vacancy/124869616
