Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Няня,Съемщиков Юрий Юрикович,,200.0,,,,Более 6 лет,ТК,"5/5, 3/3, 7/7",,"питание, премии","Полный уход за ребенком (мальчик 7 мес.); Соблюдение режима дня; Прогулки, детская гигиена, купание; Поддержание порядка в детской комнате; Сопровождение семьи на отдых.",https://hh.ru/vacancy/125288591
Няня,Помогатор,300.0,400.0,,,,Более 6 лет,ТК,6/1,,,Малыш 1 год Полный уход и развитие,https://hh.ru/vacancy/125326176
Няня,Lucky Personal,200.0,250.0,,,,От 3 до 6 лет,ТК,5/2,,,"Полный уход и развитие по возрасту Кормление, гигиена Режим дня Изучение английского языка Прогулки Сопровождение за границу",https://hh.ru/vacancy/125288437
Няня,Просто хорошие люди,182.0,,,,,От 3 до 6 лет,ТК,6/1,,питание,"Заботиться о ребенке, уделяя внимание её развитию и активности. - Заниматься: рисование, лепка из пластилина, изучение стихов и песен, проводить развивающие игры и занятия. - Обеспечивать безопасную и комфортную среду для игры и обучения. - ⁠приготовление детского рациона - ⁠детский гардероб и игрушки - Поддерживать мотивацию и увлеченность девочки к обучению через разнообразные виды деятельности. - Следить за распорядком дня и питанием, поддерживать порядок в доме. - Убирать за собой, следить за чистотой и уютом в помещении. ⭐",https://hh.ru/vacancy/125350261
"Няня для девочки 7 месяцев, КП Гринфилд",Агентство Ми-Ми,200.0,250.0,,,'11-19,От 3 до 6 лет,ТК,"5/2, 11/19",,проезд,"классический уход за ребенком (кормление, прогулки, гигиена); развитие по возрасту; организация досуга.",https://hh.ru/vacancy/125145828
Няня для школьницы,Group of Investing Companies,130.0,150.0,,,,От 3 до 6 лет,ТК,5/2,,,"В субботу утром надо отвести на тренировку и далее свободное время. Утром разбудить, накормить и отвезти в школу с водителем...",https://hh.ru/vacancy/125228768
Гувернантка/гувернёр,ИРМИ,180.0,180.0,,,,От 3 до 6 лет,ТК,5/2,,обучение,"Развивающие занятия с детьми, обучение французскому языку вне школы (домашнее общение на фр.языке)). Дети учатся во французской школе/саду. Выполнение домашних заданий со старшим ребенком. Прогулки, сопровождение на спортивные секции (иногда). Приготовление пищи детям",https://hh.ru/vacancy/125333444
Няня,Персонал Милы Кемпински,180.0,200.0,,,,Более 6 лет,ТК,5/2,,,"Развитие в игре и общении. Постепенная подготовка к школе. Организация досуга. Уход. Соблюдение режима дня, прогулки с детьми (парк Сокольники). Сопровождение в бассейн, на дополнительные занятия. Сопровождение в поездках. Поддержание порядка в детских вещах и игрушках. Взаимодействие с приходящими педагогами и тренерами секций.",https://hh.ru/vacancy/125103161
Няня ЦАО ХАМОВНИКИ,Порекин Александр Олегович,130.0,170.0,,,'10-12,От 1 года до 3 лет,ТК,"10/12, 5/2",,,"классический уход за ребенком (кормление, прогулки, гигиена); - развитие по возрасту; - организация досуга.",https://hh.ru/vacancy/125178155
Гувернантка/гувернер для девочки 9 лет,Lingvo Nanny Agency,130.0,140.0,,,,От 1 года до 3 лет,ТК,"5/2, 30/21, 4/5",,,"Развитие по возрасту - Помощь с уроками и контроль успеваемости (упор на математику и русский язык) (сильная школа, ребенок учится хорошо, но нужно помогать/объяснять/помогать получать больше 5ок, а не 4/5(редко 3)) - Забрать ребенка из школы (в 14-00) - Отвести/привести с секции (в пешей доступности), тренировки по 3ч - достаточно времени у няни относительно свободные - Встретить и проводить репетиторов - Полноценный уход - Организация досуга, игры - Готовка обеда и кормление - Стирка/глажка детских вещей - Прогулки на свежем воздухе. Критерии отбора: - Опыт работы с данной возрастной категорией в семьях от 3х лет - Обязательно! Опыт педагогическое образование/опыт работы в школе или свежий опыт работы с ребенком +- этого возраста с глубоким погружением в учебные процессы, а не просто посидеть рядом пока делает уроки - ⁠Возможность предоставить рекомендации",https://hh.ru/vacancy/125140600
Няня (к девочке 3 лет),Токарева Елена Александровна,120.0,,,,'5-7,От 3 до 6 лет,ТК,"5/7, 5/2",,,"гигиена ребенка - ⁠прогулки - ⁠развитие ребенка - ⁠приготовление еды - ⁠сопровождение в сад, кружки - ⁠порядок в квартире (оставить после себя кухню чистой, прибрать игрушки , прибрать все после поделок и творческих занятий с ребенком и т д), есть домработница - ⁠уход за детским гардеробом Место работы : м. Чистые Пруды 5-7 мин пешком.",https://hh.ru/vacancy/125161277
Няня,Хорошая компания,,150.0,,,,Более 6 лет,ТК,64/27,,питание,"Полный уход за ребенком (мальчик 3 года); Соблюдение режима дня; Прогулки, детская гигиена, купание; Поддержание порядка в детской комнате; Сопровождение семьи на отдых.",https://hh.ru/vacancy/125313762
Няня к ребёнку 3 года,Моя Семья,150.0,180.0,,,,Нет опыта,ТК,"5/2, 54/2",,,Развитие и игры; Соблюдение режима дня.,https://hh.ru/vacancy/124459427
Няня к ребенку 4 года (Румянцево) без проживания,Азуми,200.0,200.0,,,,От 1 года до 3 лет,ТК,6/1,,,"Уход и развитие девочки 4 лет по возрасту Игры, прогулки, творческие занятия При необходимости помощь с младшим ребёнком 2,5 лет (есть основная няня — филиппинка)",https://hh.ru/vacancy/124563199
Няня,Гунгор Юлия,140.0,,,,,От 3 до 6 лет,ТК,6/1,,,Уход за 9 месячным малышом Соблюдение графика малыша Ведение его гардероба Мытье бутылочек Приготовление еды для прикорма Стирка вещей Мойка игрушек,https://hh.ru/vacancy/125291966
Няня,Чайковская Анастасия Борисовна,150.0,,,,,От 1 года до 3 лет,ТК,"5/2, 6/1",,форма,1. Уход за ребенком (0+): Кормление: Приготовление/подогрев детского питания. (молоко/смесь/прикорм) строго по режиму. Мытье и стерилизация. ,https://hh.ru/vacancy/125068854
Няня/Гувернантка/гувернер (со знанием английского языка),STONE,,287.4,,,,От 3 до 6 лет,ТК,5/2,,питание,"Организация полноценного ухода за ребенком (4 года); Проведение развивающих занятий (в том числе на английском языке); Прогулки на свежем воздухе; Соблюдение режима дня (сон, питание, активности); Сопровождение семьи заграницу (оплачивается дополнительно); Сопровождение на дополнительные занятия и мероприятия. Мы ожидаем от Вас: Опыт работы няней от 3-х лет; Знание английского языка; Педагогическое образование; Грамотная русская речь; Любовь к детям и умение находить с ними общий язык; Активность, доброжелательность, соблюдение субординации, высокий уровень культуры и ответственности, аккуратность и порядочность; Отсутствие аллергии на собак.",https://hh.ru/vacancy/125268525
Няня,Задирако Анастасия Витальевна,90.0,180.0,,,,От 1 года до 3 лет,ТК,5/2,,"питание, форма","Полный уход за ребёнком: питание, сон, прогулки, гигиена. Поддержание порядка и чистоты после ребенка (игрушки, посуда), уход за вещами ребенка. ",https://hh.ru/vacancy/125332577
Гувернантка/гувернер (со знанием Английского языка),Кузнецова Вероника Владимировна,140.0,180.0,,,,От 3 до 6 лет,ТК,5/2,,,"Полное сопровождение ребенка : организация ежедневного графика, отвоз и забрать из школы/секций Языковое развитие : постоянное общение на английском языке в быту и во время игр для создания естественной языковой среды. Помощь в выполнении школьных заданий на английском Образовательная поддержка : помощь с подготовкой домашних заданий (школьная программа 1-го класса), развитие навыков чтения, счета на русском языке Организация активного досуга , прогулок, занятий спортом (посещение секций, тренировки на свежем воздухе, подвижные игры) Развивающие занятия : организация творческих и развивающих игр, чтение Мы ищем кандидата, который: Свободное владение английским языком ( уровень C1/Advanced и выше ) Имеет педагогическое или психологическое образование (высшее или СПО) Имеет опыт работы в семьях с детьми дошкольного и младшего школьного возраста (от 3 лет) Имеет действующую медицинскую книжку",https://hh.ru/vacancy/125300185
