Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Директор по персоналу (HRD),Advanced People Solutions,,,,,'5-2,Более 6 лет,ТК,5/2,,"ДМС, форма","Разрабатывать и внедрять HR-стратегию, тесно интегрированную с бизнес-целями холдинга. Руководить командой ~200 HR-специалистов (C&B, Learning & Development...",https://hh.ru/vacancy/125318183
Директор по персоналу (HRD),iSpring,400.0,,,,,Более 6 лет,ТК,5/2,,форма,Сформировать управленческий резерв. Повысить продуктивность команды подбора. Доработать систему грейдов. Доукомплектовать HR-команду. Настроить HR-процессы и аналитику.,https://hh.ru/vacancy/125363600
HR-директор (HRD) / стратегический партнёр по людям,Go Mobile,,,,,'7-10,От 3 до 6 лет,ТК,"7/10, 3/5",,"бонус, бонусы, обучение","Задачи и зоны ответственности. Стратегия и процессы: People-стратегия, бюджет ФОТ/льгот, единые HR-SOP/SLA и дашборды. ",https://hh.ru/vacancy/125327903
Директор по персоналу (HRD),Multiple Choice,,,,,,Более 6 лет,ТК,5/2,,"форма, обучение","Разработка и реализация HR-стратегии, соответствующей бизнес-целям компании. • Управление всеми HR-функциями: подбор, адаптация, обучение и развитие, оценка эффективности, компенсации и льготы, кадровое администрирование. • Поддержка и развитие корпоративной культуры, способствующей вовлечённости и удержанию сотрудников. • Консультирование руководителей по вопросам управления персоналом и организационного развития. • Внедрение и оптимизация HR-процессов, инструментов и систем. • Управление бюджетом HR-подразделения, контроль эффективности затрат. • Развитие HR-бренда работодателя, участие в внешних HR-инициативах. • Мониторинг рынка труда, внедрение современных практик HR. ________________________________________",https://hh.ru/vacancy/125105140
Директор по персоналу (HRD),VOXYS,,,,,,От 3 до 6 лет,ТК,5/2,2 раза в месяц,"форма, бонус, обучение","Поддержание и развитие стандартов и бизнес -процессов в ключевых HR-направлениях: обучение, оценка и развитие персонала, мотивация, корпоративная культура, кадровое администрирование; Аудит существующих и создание новых HR и бизнес-процессов, их автоматизация; Поддержание и развитие HR бренда компании; Оценка существующей Well-being концепции, внедрение новых элементов; Развитие EVP, возможные изменения под «сверхновый рынок труда», а также развитие корпоративных политик бренда работодателя как для внутренней, так и для внешней ЦА; Лидирование стратегических инициатив HR и кросс-функции; Total rewards management – проектирование систем вознаграждения, бонусов и льгот. Контроль ФОТ компании и его оптимизация с учетом внешних и внутренних факторов; Формирование и контроль HR budget (CAPEX, OPEX) на квартальной и ежегодной основе;",https://hh.ru/vacancy/125329521
Директор по персоналу (HRD),СММ-Ритейл,,,,,,От 3 до 6 лет,ТК,1/3,,"ДМС, страхование, форма, обучение","Ключевые задачи и зоны ответственности: 1. Построение и оптимизация HR-системы: Разработка, внедрение и контроль исполнения end-to-end HR...",https://hh.ru/vacancy/125337886
HR Director (HRD)/ Руководитель HR отдела,РБ,,,,,,От 3 до 6 лет,ТК,4/1,,"форма, премии, бонус","Разработка и реализация HR-стратегии в соответствии с целями Холдинга; Построение HR-процессов; Управление кадровым администрированием; Реализация проекта по автоматизации процессов кадрового администрирования и документооборота на базе 1С в роли Заказчика ; Найм ключевых специалистов (C-level, IT, продукт, бизнес-развитие); Разработка и контроль политики оплаты труда, бонусов, бенефитов; Развитие корпоративной культуры и внутренних коммуникаций. Опыт работы и навыки, с которым вам будет комфортно у нас: Опыт работы HRD, заместителем HRD или руководителя от 3 лет, штат от 100+ сотрудников; Практика построения HR-процессов, автоматизации и оптимизации кадрового администрирования, учета, документооборота; Знание ТК РФ, понимание международных HR-практик; Владение HR-метриками и инструментами аналитики; Английский язык — не ниже Upper-Intermediate. Почему с нами круто и что мы тебе предоставим : Возможность прокачки hard-skills — мы открыты к предложениям и творческим порывам, поэтому у тебя будут отличные возможности для реализации профессиональных амбиций, талантов и карьерного роста; Поле для реализации собственных идей , — мы не приветствуем микро менеджмент и поддерживаем идеи; Минимум бюрократии и должностной иерархии , — у нас всё быстро, гибко и активно; Гибридный формат работы 4/1 (один день удалённо), дизайнерский офис А-класса в Москве, рядом с м. Калужская ; Возможность посещать спортивные матчи и премии.",https://hh.ru/vacancy/125106196
Директор по персоналу (HRD),Системы Экологического Контроля,,,,,,Более 6 лет,ТК,5/2,,,"Разработка и реализация HR-стратегии в соответствии с целями Холдинга; Построение HR-процессов; Управление кадровым администрированием Найм ключевых специалистов Развитие корпоративной культуры и внутренних коммуникаций. Опыт работы и навыки, с которым вам будет комфортно у нас: Опыт работы HRD, заместителем HRD или руководителя от 3 лет, штат от 100+ сотрудников; Практика построения HR-процессов, автоматизации и оптимизации кадрового администрирования, учета, документооборота; Знание ТК РФ Владение HR-метриками и инструментами аналитики;",https://hh.ru/vacancy/125165402
Директор по персоналу (HRD) с опытом в retail компаниях,АЙКРАФТ,450.0,450.0,,,,Более 6 лет,ТК,5/2,,обучение,"1. Разработка и реализация HR-стратегии: Разработка и реализация HR-стратегии компании, согласованной с общей бизнес-стратегией. Анализ рынка труда, выявление тенденций и разработка мероприятий по привлечению и удержанию персонала. Разработка и внедрение эффективных HR-политик и процедур, обеспечивающих соблюдение трудового законодательства и лучших практик. Регулярная оценка эффективности HR-функции и внесение необходимых корректировок в HR-стратегию. 2. Управление отделами HR: Руководство отделами: КДП (кадровое делопроизводство), подбора персонала, T&amp;D (обучение и развитие), C&amp;B (компенсации и льготы). Организация эффективной работы отделов, определение целей и задач, распределение ответственности и контроль исполнения. Развитие и мотивация сотрудников HR-отделов, создание условий для их профессионального роста и повышения квалификации. Оптимизация процессов и повышение эффективности работы HR-отделов. Разработка и контроль бюджета HR-функции. 3. Кадровое делопроизводство (КДП): Обеспечение соблюдения трудового законодательства и ведения кадровой документации в соответствии с установленными требованиями. Контроль за своевременным и правильным оформлением приема, перевода и увольнения сотрудников. Оптимизация процессов КДП, внедрение современных технологий и автоматизация процессов. 4. Подбор персонала: Организация и контроль процесса подбора персонала на все уровни позиции в компании. Разработка и внедрение эффективных методов подбора персонала, включая использование современных технологий и инструментов. Формирование кадрового резерва, привлечение перспективных кандидатов. Оптимизация затрат на подбор персонала. 5. Обучение и развитие (T&amp;D): Разработка и реализация программ обучения и развития персонала, направленных на повышение квалификации, развитие компетенций и профессиональный рост сотрудников. Оценка потребностей в обучении, разработка индивидуальных планов развития. Организация и проведение тренингов, семинаров, мастер-классов и других форм обучения. Оценка эффективности обучения и внесение необходимых корректировок. Формирование корпоративной культуры обучения и развития. 6. Компенсации и льготы (C&amp;B): Разработка и реализация системы компенсаций и льгот, направленной на привлечение, удержание и мотивацию персонала. Анализ рынка труда и бенчмаркинг заработных плат и льгот. Разработка и внедрение системы мотивации, основанной на достижении результатов и эффективности работы. Оптимизация затрат на компенсации и льготы. 7. Управление эффективностью персонала: Разработка и внедрение системы оценки эффективности персонала. Организация проведения Performance Review, предоставление обратной связи сотрудникам. Разработка планов развития на основе результатов оценки. 8 . Управление изменениями: Участие в проектах по организационным изменениям, разработка и реализация планов по управлению изменениями. Обеспечение эффективной коммуникации изменений сотрудникам. Требования к кандидату: Высшее образование (управление персоналом, эк",https://hh.ru/vacancy/124308706
Директор по персоналу (HRD),Группа MDI,250.0,350.0,,,'15-20,От 3 до 6 лет,ТК,15/20,,"премии, бонус, бонусы, обучение",Разрабатывать и внедрять HR-стратегии на год- три. Систематизировать и оптимизировать HR-процессы и смежные функции. Формировать и управлять HR...,https://hh.ru/vacancy/125294408
