Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Курьер в офис,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЭС АЙ ЭС ДЕВЕЛОПМЕНТ,,,,,,От 1 года до 3 лет,ТК,5/2,,"проезд, оплата проезда, кофе, чай","Получать и доставлять документы в различные компании, банки, суды, МФЦ, налоговые и другие государственные органы (поездки по Москве, в том числе за МКАД в Митино), возврат в офис после каждой поездки в течение дня; - При необходимости контролировать возврат подписанных документов, их комплектацию, проставленную печать; - Получать и отправлять корреспонденцию через Почту России; - Выполнять отдельные служебные поручения непосредственного руководителя.",https://hh.ru/vacancy/125365944
Курьер,Астахов Михаил Владимирович,80.0,80.0,,,,От 1 года до 3 лет,ТК,5/2,,"питание, форма, проезд, оплата проезда","Мы ищем ответственного и пунктуального курьера для доставки корреспонденции по Москве. Взаимодействие с руководителями на объектах, умение работать в команде, находиться на связи. Поездки в Налоговые органы, внебюджетные фонды, Банки. Отправка почтовой корреспонденции Почтой России и др. поручения Сканирование документов (возможно большие объемы).",https://hh.ru/vacancy/125336779
Курьер офисный в секретариат,ОТЭКО,,,,,'1-2,От 1 года до 3 лет,ГПХ,1/2,2 раза в месяц,"ДМС, подарки","Доставка документов /писем по Москве (бывают подарки нашим партнерам). <highlighttext>Курьер</highlighttext> находится в офисе, за рабочим местом с компьютером, кроме того...",https://hh.ru/vacancy/125346058
Курьер,Смайл Студио,65.0,,,,,От 1 года до 3 лет,ТК,2/2,,"проезд, оплата проезда, транспорт",Доставка работ из зуботехнической лаборатории в клиники (м. Площадь Ильича м. Таганская – м. Дмитровская); Доставка медицинской документации из архива в клиники (м. Площадь Ильича м. Таганская – м. Дмитровская); Поездки по поручению руководства (доставка документов и писем); Контроль сохранности груза во время его транспортировки; Материальная ответственность за сохранность груза; Заполнение отчетности по входящим и исходящим работам (грузам); Следование графику поездок и трудовому распорядку компании.,https://hh.ru/vacancy/125346861
Курьер,"Сотекс, Фармацевтическая Фирма",,,,,,От 1 года до 3 лет,ТК,5/2,,"страхование, подарки, обучение",Доставка корреспонденции по г.Москва. Ведение необходимой документации по сопровождению документов.,https://hh.ru/vacancy/125342785
Курьер на документы,Центр строительной экспертизы ПГС,60.0,,,,,От 1 года до 3 лет,ТК,5/2,,"кофе, чай","Доставку документов, писем, посылок, переводов, грузов. Ведение списка адресов, по которым производилась доставка. Учет расходов, необходимых для достижения поставленного задания.",https://hh.ru/vacancy/125287717
Курьер,ПК ИнжСтрой,90.0,90.0,,,,Нет опыта,ТК,5/2,,"ДМС, проезд, оплата проезда","Доставка документации; Получение и отправка почтовой корреспонденции; Возможно небольшие посылки, поздравительные наборы.",https://hh.ru/vacancy/125144920
Курьер в офис,Спец-ЭК,55.0,65.0,,,'2-4,Нет опыта,ТК,"2/4, 5/2",,проезд,доставка мелких грузов‚ документов; выполнение различных поручений; 2-4 поездки в день.,https://hh.ru/vacancy/125226447
Курьер,Компас,60.0,,,,,Нет опыта,ТК,5/2,,"проезд, оплата проезда",Доставка документов и отчетов по городу Помощь в фотофиксации недвижимого имущества,https://hh.ru/vacancy/125288782
Курьер,JUST WARM,65.0,,,,,Нет опыта,ТК,5/2,,транспорт,"Пешая доставка товара до клиентов (одежда), по каждому предоставлять фото отчет Доставка посылок до ближайшего к офису пункта СДЕК, Почта России Передвижения между офлайн точками бренда Доставка мелкогабаритных заказов в офис",https://hh.ru/vacancy/125148996
Пеший курьер (подача документов в госорганы),БИЗНЕС-КАДАСТР,50.0,65.0,,,'3-5,Нет опыта,ТК,3/5,2 раза в месяц,"проезд, оплата проезда","Доставка документов заказчикам и от них (Москва и Московская область) Организация подачи и получения документов в/из ДГИ, Росреестр, МФЦ, Москомархитектура, БТИ и других регистрирующих органов Отслеживание сроков получения результатов из регистрирующих органов, звонки в регистрирующие органы. Получение ответов регистрирующих органов, передача ответственным лицам. Сканирование документов (возможно большие объемы). Работа в Битрикс 24.",https://hh.ru/vacancy/125275147
Курьер,Try.on.dress,65.0,80.0,,,,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,проезд,Дoставка заказов клиентам бренда по Москве и ближайшему Подмосковью. - Своевременная сдача отчетности в корпоративном менеджере. - Своевременная сдача наличных денег полученных от расчетов с клиентами. - Своевременная сдача возвратов с доставок с примеркой.,https://hh.ru/vacancy/125161962
Пеший курьер,AllTime,80.0,,,,,От 1 года до 3 лет,ТК,"5/2, 6/1",,"бонус, бонусы, скидки, обучение, проезд, оплата проезда","Бережная доставка заказов с предварительной проверкой товара; - Заполнение документации к товару; - Согласование доставки с нашими покупателями; - Оформление покупки, работа с приложением и терминалом безналичного расчета; - Получение товара у поставщика; - Прием товара/сдача товара на внутренний склад; - Работа с документацией; - Выполнение поручений руководителя.",https://hh.ru/vacancy/125032667
Курьер,"Авантаж Медиа, Рекламная группа",60.0,,,,,Нет опыта,ТК,9/30,,"проезд, транспорт",Доставка корреспонденции и готовых заказов Сопровождение готовых тиражей на автотранспорте Помощь в погрузке/разгрузке тиражей,https://hh.ru/vacancy/125221411
Курьер/Помощник,Московская коллегия адвокатов ГРАД,65.0,65.0,,,,Нет опыта,ТК,5/2,,форма,"Выполнение личных поручений (купить, забрать, отвезти, записать и т.д.), в том числе разъездных; Сбор материалов и информации, необходимых руководителю: подготовка аналитических, информационных, справочных и иных материалов; Организация командировок, бизнес-встреч, мероприятий.",https://hh.ru/vacancy/125091431
