Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Курьер из аптек маленьких заказов в онлайн-доставку до 2 кг,НОВАЯ РАБОТА,4.3,9.9,,,,Нет опыта,ТК,6/1,,"форма, бонус, бонусы","Доставка маленьких посылок (время доставок и район работы вы выбираете самостоятельно) - Выполнение заказов через приложение, заказов стало очень много) - Доставки по району",https://hh.ru/vacancy/124719514
Водитель-курьер на личном автомобиле,ТСД Эксперт Солюшен,120.0,150.0,,,'7-10,Нет опыта,ТК,7/10,,,"Доставка заказов до клиентов в Москве (Юридические лица). Забор товара у поставщиков в Москве. Заполнение сопроводительной документации (накладные, акты, гарантийные талоны). Материальная ответственность за груз. Работа с кассой и прием наличных НЕ требуется.",https://hh.ru/vacancy/125275061
Водитель-курьер на автомобиле компании,СДЭК,110.0,,,,,Нет опыта,ТК,"4/2, 3/3, 5/2",,обучение,Вовремя и бережно доставлять посылки. Дружелюбно общаться с клиентами и быть готовым помочь. Оформлять накладные и получать оплату от клиентов.,https://hh.ru/vacancy/125150318
Водитель-курьер на личном автомобиле,ANCOR,100.0,,,,,Нет опыта,ТК,5/2,Еженедельно,бонус,"Вакансию можно найти по ключевым запросам: работа автокурьером, подработка автокурьер, автокурьер еженедельные выплаты, водитель - <highlighttext>курьер</highlighttext>, доставка продуктов, доставка заказов.",https://hh.ru/vacancy/124352720
Водитель-курьер,"Тануки, японский ресторан",,180.0,,,,Нет опыта,ТК,6/1,,"питание, форма, бонус, обучение",Ищем вежливых и пунктуальных водителей на личном автомобиле со стажем вождения от 1 года или на авто компании со стажем...,https://hh.ru/vacancy/125449070
Водитель-курьер с личным автомобилем,Департамент Ф53,160.0,200.0,,,,Нет опыта,ТК,"2/2, 3/3, 4/2, 5/2, 5/1",,"форма, обучение",Доставлять товары из магазинов ВкусВилл до покупателей.,https://hh.ru/vacancy/124392992
Пеший курьер заказов и товаров для дома (2-4кг),Премьер,4.2,9.4,,,'2-4,Нет опыта,ТК,2/4,Еженедельно,"форма, бонус, бонусы, чай",Забрать заказы: Легкие посылки-заказы (2-4 кг) рядом с вами. Никаких холодильников или мебели!,https://hh.ru/vacancy/124900742
Водитель - Курьер (Московский),Ozon,255.0,444.0,,,,Нет опыта,ГПХ,3/3,Еженедельно,"бонус, чай",Доставлять товары интернет-магазина в пункты выдачи заказов на личном грузовом автомобиле. Забирать возвраты из пункта выдачи заказов.,https://hh.ru/vacancy/123760930
Водитель-курьер на автомобиле компании,Сальцевич Антон Владиславович,170.0,,8000.0,666.6666666666666,12.0,Нет опыта,ТК,24/7,,"бонус, бонусы","Работа водителем - курьером в сервисе Яндекс доставки рядом с домом — автомобиль предоставим в аренду! Доставка собранных предварительно оплаченных малогабаритных посылок, из гипермаркетов, аптек и магазинов шаговой доступности.",https://hh.ru/vacancy/124893435
Курьер-водитель,Березин Сергей Владимирович,80.0,130.0,,,,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,питание,Доставлять блюда из точки а в точку б по маршруту в определенное время Строить маршрут движения Уметь пользоваться навигатором,https://hh.ru/vacancy/124731839
