Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Художник (ручная роспись),Премида,70.0,120.0,,,,Нет опыта,ГПХ,5/2,,"премии, подарки, обучение, кофе","Создание изделий ручной работы (приклеивание кристаллов, декоративные элементы, художественная сборка). Работа по ТЗ и участие в индивидуальных проектах. Поддержание высокого качества готовых изделий. 👤",https://hh.ru/vacancy/125300489
Моделлер (Game Artist),Перфект,120.0,150.0,,,,Более 6 лет,ТК,5/2,,,Содание низкополигональных и высокополигональных моделей проектируемых ОКС (LowPoly / HighPoly); Оптимизация геометрии 3D-моделей в соответствии с техническим заданием; Создание оптимизированной 3D геометрии с продуманной топологией и минимальным количеством полигонов с точной проработкой форм и текстур; Создание текстурных атласов и UV-развёртки; Создание UDIM развертки со смарт материалами с учетом texel density; Создание PBR материалов; Создание коллизий; Экспорт моделей в UE5 с настройкой материалов.,https://hh.ru/vacancy/125149326
Дизайнер-иллюстратор,"ГРЧЦ, ФГУП",,200.0,,,,От 3 до 6 лет,ТК,5/2,,,"Участие в создании и обновлении визуального образа компании; Оформление слайдов для внутренних и внешних презентаций; Верстка цифровых макетов; Разработка уникальных иллюстраций; Оформление полиграфической продукции (буклеты, плакаты, открытки).",https://hh.ru/vacancy/125404551
3D Artist/3D моделлер,Цифровые Пространственные Технологии,100.0,150.0,,,,От 1 года до 3 лет,ТК,5/2,,,"Оптимизировать геометрию 3D-моделей в соответствии с техническими требованиями, чтобы все работало быстро и смотрелось красиво. Моделирование и текстурирование...",https://hh.ru/vacancy/124330266
Художник-модельер/художник,Мастерская Lana,60.0,150.0,,,,Нет опыта,ТК,5/2,,,"<highlighttext>Художника</highlighttext> / <highlighttext>художника</highlighttext>-модельера (создание эскизов, отрисовка аппликации в натуральную величину, работа акрилом по ткани, художественный контроль декорирования изделия кристаллами).",https://hh.ru/vacancy/125403865
Помощник бутафора/Помощник художника,3DVast,45.0,80.0,,,,Нет опыта,ТК,5/2,,,Обработка и покраска изделий из пластика после 3D-печати. Сборка разных деталей - инженерных и художественных. Примеры работ есть на сайте. Другие работы по мастерской.,https://hh.ru/vacancy/124562673
Художник-реставратор,Гекгез Эмре,200.0,,,,,Нет опыта,ГПХ,5/2,,,"Ремонт и покраска дефектов панелей CML, керамики, покрытий металлических колонн и дверей.",https://hh.ru/vacancy/124711774
Художник-иллюстратор,Хайдаров Зиёдали Ибрахимжонович,75.0,85.0,,,,Нет опыта,ТК,"2/2, 5/2, 6/1",Еженедельно,обучение,Покраска фигурок из шоколадной глазури,https://hh.ru/vacancy/124345205
AI-художник / генератор изображений / Content Creator (Ai),Коробко Антон Александрович,,,,,1.0,От 1 года до 3 лет,ТК,5/2,,форма,"Создание визуального контента с помощью AI-инструментов (Midjourney, DALL·E, Leonardo.ai, SDXL, Playground, Runway ML и др.). Интерпретация сценариев, текстов и концептов в качественные изображения: персонажи, сцены, окружения, стилизованные иллюстрации и др. Постобработка изображений (ретушь, цветокоррекция, кадрирование) при необходимости. Адаптация изображений под различные форматы платформ (соцсети, видео, презентации и т.д.). Создание визуальных moodboard&#39;ов, сторибордов, концептов. Постоянное изучение новых AI-инструментов и внедрение их в рабочий процесс. От вас: Отличное визуальное мышление и чувство композиции. Опыт работы с AI-платформами генерации изображений. Понимание базовых принципов дизайна, света, цветовой теории, стилистики. Умение точно интерпретировать референсы, описания и брифы. Креативность и готовность экспериментировать. Умение быстро искать решения и предлагать визуальные варианты. Базовые навыки графических редакторов (Photoshop, Figma, Canva и др.). Наличие портфолио с примерами AI-генерации и указанием инструментов, которые использовались. Будет плюсом: Навыки промт-инжиниринга (опыт создания сложных текстовых запросов для генерации). Опыт в рисовании или графическом дизайне. Знание английского (для понимания интерфейсов и текстовых промтов). Опыт в создании изображений под анимацию, видео, игровые проекты. Опыт видеомонтажа и работы с видео-контентом. Режиссёрское видение и понимание визуального сторителлинга. Разговорный английский (начитка живых диалогов с эмоциями) Опыт работы с AI-инструментами для создания видео, голосов и анимации. Почему у нас приятно работать: График 5/2, 8 часовой рабочий день (1 час перерыв). Формат удалённого офиса; ЗП в рынке, а также мы готовы рассмотреть ваши ожидания.",https://hh.ru/vacancy/124747139
Художник-иллюстратор/графический дизайнер,ОМГ БИЗНЕС,,,,,,От 1 года до 3 лет,ТК,5/2,,,"разработка дизайнов упаковочной бумаги создание упаковок для разных видов товаров (подарочные коробки, подарочные пакеты, упаковка для инструментов флориста, др.); разработка дизайна открыток при необходимости выполнение текущих небольших заданий (цветокоррекция, векторизация объектов и др.).",https://hh.ru/vacancy/125270935
Бутафор-художник,Сценический Портал,90.0,,,,,От 3 до 6 лет,ТК,5/2,2 раза в месяц,форма,"Создавать художественную роспись мелких и крупных изделий, в том числе под старую штукатурку, камень, дерево, ржавчину, мрамор и пр.). ",https://hh.ru/vacancy/125383460
3D-художник,3D Molier International,,,,,,От 1 года до 3 лет,ТК,5/2,,,"Создание 3D моделей различной сложности; Способность выдать фотореалистичное качество моделей; Выполнение задания по техническим требованиям или описанию. ✨ ​​​​​​​​​​​​​​ Что для нас важно: Подтвержденный опыт работы в 3D моделировании от 3 лет. Навыки моделирования по технологии Subdivision Surface (SubD), для последующего применения модификатора Turbosmooth; Уверенное знание 3Ds max, Vray, Photoshop; Владение навыками скульптинга (Zbrush, Mudbox либо другие подобные программы); Способность построить правильную топологию модели, качественную сетку под сглаживание; Способность сделать качественную UV развертку любого объекта; Создание фотореалистичных детализированных текстур (приветствуется владение Substance Painter); Большим плюсом будет являться опыт работы с Unity или Unreal; Опыт работы с моделями для 3D стоков будет являться преимуществом. ✨",https://hh.ru/vacancy/124513781
Педагог-художник,Творческая студия Vinka,,70.0,,,'4-6,Нет опыта,ТК,4/6,,,Проведение занятий по рисованию и лепке для детей от 3 до 16 лет. Разработка программ обучения (пособий) с учетом возраста и уровня подготовки учеников. Ведение учеников по программе обучения до достижения желаемого результата. Соблюдение правил и стандартов работы студии. Участие в организации и проведении выставок и мероприятий.,https://hh.ru/vacancy/125165862
Менеджер по работе с художниками,Русская Традиция,50.0,80.0,,,,От 1 года до 3 лет,ТК,5/2,,"подарки, кофе",...<highlighttext>художникам</highlighttext>. - Организовывать доставки и забор продукции посредством курьерских служб для удаленных <highlighttext>художников</highlighttext>. - Контролировать качество работы <highlighttext>художников</highlighttext>. - Принимать работы от <highlighttext>художников</highlighttext>. - ,https://hh.ru/vacancy/125091694
Художник - декоратор,Маринс Групп Москва,90.0,,,,,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,форма,"Воплощение в жизнь проектов фотозон и оформления помещений на территории предприятий; Создание скульптур, декораций и отдельных элементов как с наличием образцов так и новые разработки; Работа с гипсом, пеноплексом, силиконом, деревом, тканями и иными материалами; Работа на объекте: деревня Новоалександрово, Ясногорская улица, вл14 .",https://hh.ru/vacancy/124486360
