Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Frontend-разработчик,ART 3D-Graphics,,200.0,,,,От 1 года до 3 лет,ТК,5/2,,"питание, форма","Создание сайтов объектов премиальной недвижимости по макетам figma на основе существующей архитектуры и компонентов. ART3D - признанный лидер в области создания сайтов, интерактивных презентаций и 3D-графики в области недвижимости. Входит в топ-3 Рейтинга Рунета -2024 по нескольким категориям, в т.ч. разработка и дизайн сайтов по недвижимости. В 2024 компания получила ключевые награды отраслевых премий (Рейтинг Рунета, Tagline Awards, WOW Awards, Золотой сайт, Workspace Digital Awards) за разработку сайтов в сфере недвижимости: 3 золота, 1 серебро, 3 бронзы. 6 место среди самых награждаемых агентств Рунета 2024 за разработку сайтов по версии WORKSPACE-2024.",https://hh.ru/vacancy/125378574
Middle FrontEnd developer,РТСофт,,,,,,От 3 до 6 лет,ТК,5/2,,"ДМС, транспорт","Разработка программного обеспечения, решающего широкий спектр задач для нужд электроэнергетики. Разработка нового функционала, оптимизация, рефакторинг и развитие существующего кода с...",https://hh.ru/vacancy/125456144
Frontend Developer TypeScript / JS / HTML / CSS,ФГБУ Росгеолфонд,200.0,250.0,,,,От 3 до 6 лет,ТК,5/2,,,"Разработка и поддержка пользовательского интерфейса. Верстка адаптивных web-страниц (HTML5, CSS3). Разработка и интеграция frontend-логики на TypeScript и JavaScript.",https://hh.ru/vacancy/125374699
Разработчик Web (Front-end),Bell Integrator Регионы,,,,,,От 3 до 6 лет,ТК,5/2,,"ДМС, страхование, форма","Продукты проекта: - Имущество физических лиц (ИФЛ) - Комплексное ипотечное страхование (КИС) ▌ Frontend: - Создание интерфейсов на основе готового UI-кита IngoUI с использованием технологий Angular, TypeScript, SASS. ▌ Backend: - Реализация backend-серверов в виде микросервисов REST Web API с использованием C#, ASP.NET Core.",https://hh.ru/vacancy/125431287
Frontend-разработчик (React),СОГАЗ,,,,,,От 3 до 6 лет,ТК,5/2,,"страхование, подарки, скидки","Разработка клиентской части приложения на React с использованием TypeScript Создание адаптивных и отзывчивых интерфейсов для различных устройств Взаимодействие с backend-разработчиками, аналитиками и тестировщиками Оптимизация приложения для максимальной скорости и масштабируемости Участие в обсуждении и реализации UX/UI решений Сопровождение и доработка UI-kit Участие в Code review Критерии успеха: Опыт коммерческой разработки на React от 2 лет Уверенное знание JavaScript(ES6+), TypeScript Опыт управлением состояния (Redux, MobX, Context API) Глубокое понимание современных стандартов HTML5, CSS3 и методологий верстки (Flexbox, Grid) Опыт работы с API (REST, GraphQL), WebSocket Знание инструментов сборки и автоматизации (Webpack, Vite) Понимание принципов ООП, паттернов проектирования Опыт использования систем контроля версий (Git) Понимание принципов функционального программирования и React Hooks Опыт написания тестов (Jest, Enzyme) приветствуется Навыки Оптимизации производительности React-приложений Понимание адаптивной и отзывчивой верстки для браузера и PWA Базовые знания о безопасности веб-приложений",https://hh.ru/vacancy/125435818
"Инженер-программист (Frontend-разработчик) (Офис, г. Москва)",ФГУП НТЦ Орион,100.0,150.0,,,,От 1 года до 3 лет,ТК,5/2,,ДМС,"Участие в проектировании архитектуры фронтенд-приложений. Разработка и поддержка интерфейсов для работы с картографическими данными и сервисами. Интеграция с БД PostgreSQL для получения и отображения данных. Работа с API карт OSM, Leaflet и визуализация геоданных.",https://hh.ru/vacancy/124417410
Java-разработчик,Випсервис,170.0,200.0,,,,От 1 года до 3 лет,ТК,5/2,,транспорт,Требуемый стек:,https://hh.ru/vacancy/125320976
Frontend-разработчик (Middle),KTS,,,,,,От 1 года до 3 лет,ТК,5/2,,ДМС,"Переписывание ключевых разделов сайта с Django шаблонов и Vue 2 на Nuxt 3+Vue 3; Реализация новых фичей по переписанным разделам в паре с backend разработчиком + перенос оставшихся разделов на новый стек; Участие в код-ревью совместно с внешним агентством; Ведение документации по проекту. Принимать самостоятельные решения по архитектуре фронтенд-части проекта, возможность разрабатывать с нуля некоторые системы.",https://hh.ru/vacancy/125431401
"Frontend developer, React (Junior+)",Эшелон Технологии,,,,,,От 1 года до 3 лет,ТК,5/2,,"ДМС, форма","Работа в команде с frontend- и backend- <highlighttext>разработчиками</highlighttext>: обмен опытом, обсуждение возможных реализаций, ревью кода. Разработка компонентов на React /Redux...",https://hh.ru/vacancy/125431864
Старший Frontend-разработчик / Senior,Авиком Бизнес Технологии,,,,,,От 3 до 6 лет,ТК,5/2,,,"Разработка логики frontend-приложения, его дизайна, верстки, UI / UX, тестов; Создание гибкой, масштабируемой, надежной архитектуры веб-приложения, документирование принятых решений; Взаимодействие с разработчиками бэкенда относительно API и архитектурных решений; Взаимодействие с бизнесом и внутренними заказчиками относительно дизайна и функциональности веб-приложения и связанных вопросов; Участие в планировании спринтов, оценке и декомпозиции задач.",https://hh.ru/vacancy/125398390
