Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Механик,"Тануки, японский ресторан",130.0,180.0,,,'5-2,От 3 до 6 лет,ТК,5/2,,"ДМС, питание, бесплатное питание","1. Обеспечение содержания автопарка в технически исправном состоянии, контроль сроков и согласование Тех. обслуживания, кузовных ремонтов ТС.; 2. Решение нестандартных задач, работа с автосервисами и поставщиками, поиск новых автосервисов, анализ договоров; 3. Контроль выявления неисправностей, проверка полноты и качества выполненного ремонта, оформление сопутствующей документации; 4. Продажа, списание ТС.; 5. Взаимодействие с ГИБДД, страховыми компаниями; 6. Взаимодействие с внутренними службами компании; 7. Работа в 1С УАТ, системой мониторинга ГЛОНАСС;",https://hh.ru/vacancy/125263451
Слесарь/механик по транспорту,Сфинкс Секьюр Лоджистикс,,,,,,От 1 года до 3 лет,ТК,"5/2, 2/2",,транспорт,"Ремонт и техническое обслуживание коммерческого транспорта (а/м Форд Транзит, Газель Некст, Пежо Эксперт, Фольцваген). Ремонт узлов и агрегаторов (ДВС, КПП Газель Некст). Мелкие сварочные работы (электрод, полуавтомат). Шиномонтаж. Ежедневный осмотр транспортных средств, выпуск их на маршрут. Подписание путевой документации. Оказание помощи водителю на маршруте (в случае мелкой поломки ТС) Перегон и принятие ТС с СТО, на мойку, прохождение ГТО. Поиск и заказ запасных частей, контрагентов, заключение договоров. Ведение складского учёта запасных частей. Работа в программе «ТСМ, Финансист», заведение счетов и оформление ремонтных карт.",https://hh.ru/vacancy/125096270
Механик автоколонны,Фарго,200.0,,,,,От 1 года до 3 лет,ТК,5/2,,транспорт,учет ремонта -ведение заказ-нарядов,https://hh.ru/vacancy/125261924
Механик по выпуску автотранспорта,Комплектэнерго,90.0,130.0,,,,От 1 года до 3 лет,ТК,5/2,,транспорт,Оформление путевых листов; выпуск автотранспорта на линию; проведение тех. осмотра перед выпуском транспорта на линию.,https://hh.ru/vacancy/125445103
Главный механик,СПК-СТРОЙ,175.0,,,,,От 3 до 6 лет,ТК,"13/45, 16/45",2 раза в месяц,,"Руководство собственной и арендованной техникой. Обеспечение объектов строительства необходимой техникой; Ведение учета движения и списания ГСМ, согласно установленным нормам расходования; Выбор компаний, предоставляющих в аренду строительную технику и оборудование, а также поставщиков других профильных товаров и услуг по результатам проведенного анализа цен; Оперативное и качественное принятие решений по организации строительного производства и технологии строительно-монтажных работ; Определение последовательности и продолжительности технологического процесса; Работа над ППРк; Организация и учет работы автомобилей и строительной техники (на балансе и в аренде). Составление и оформление технической и отчетной документации; Своевременное выявление неисправностей автомобилей и техники, организация тех обслуживания и ремонта. Заключение договоров на ТО и ремонт; Выполнение регистрационных документов (снятие и постановка на учет, внесение изменений в учетные данные и т.п.) в ГИБДД, Гостехнадзоре, Ростехнадзоре. Организация подготовки и прохождения тех. осмотров; Подбор и управление водителями. Ведение учета рабочего времени, контроль за выполнением должностных обязанностей, соблюдение правил охраны труда и пожарной безопасности; Контроль безопасности дорожного движения, безопасной эксплуатации автомобилей и строительной техники.",https://hh.ru/vacancy/125446031
Механик-наладчик (белая зарплата),БЛЭК РОК,130.0,150.0,,,,От 3 до 6 лет,ТК,5/2,,обучение,Наладка и техническое обслуживание производственного станка Диагностика и ремонт механических узлов и агрегатов Поддержание бесперебойной работы оборудования в смене Профилактика и устранение неполадок Взаимодействие с производственным персоналом,https://hh.ru/vacancy/125178348
Механик,ГАУК г. Москвы Государственный Музей-Заповедник Кузьминки-Люблино,100.0,,,,,От 3 до 6 лет,ТК,5/2,,транспорт,"Обеспечивает безаварийную и надежную работу всех видов оборудования и автотранспортных средств, их правильную эксплуатацию, своевременный, качественный ремонт и техническое обслуживание, проведение работ по его модернизации Организует разработку календарных планов (графиков) осмотров, испытаний и профилактических ремонтов оборудования и автотранспортных средств Организует работу по учету наличия и движения оборудования, составлению и оформлению технической и отчетной документации. Оформляет заявки на приобретение материалов и запасных частей, необходимых при эксплуатации оборудования и автотранспортных средств Организует своевременный и качественный ремонт и модернизацию оборудования и автотранспортных средств, осуществляет технический контроль за его состоянием и содержанием Осуществляет технический надзор за состоянием и ремонтом защитных устройств на оборудовании Обеспечивает обязательное подтверждение соответствия оборудования, установленным требованиями стандартов Определяет устаревшее оборудование, механизмы, требующие капитального ремонта и устанавливает очередность производства ремонтных работ Подготавливает техническую документацию, оборудование, автотранспорт и другие самоходные машины для предъявления органам государственного надзора для регистрации, снятия с учета и своевременного освидетельствования Принимает участие в изучении причин повышенного износа оборудования, его простоев, расследовании аварий, разработке и внедрении мероприятий по их ликвидации и предупреждению Проводит инструктаж обслуживающего персонала по правилам эксплуатации оборудования и автотранспортной техники Обеспечивает соблюдение правил охраны труда, требований экологической безопасности при проведении ремонтных работ Составляет техническое задание, осуществляет подготовку пакета документов к договорам по своему направлению, контроль выполнения работ/услуг/поставки. Своевременное закрытие договоров и предоставление необходимых документов Обеспечивает выпуск на линию автотранспортных средств и спецтехники. Обеспечивает проведение предрейсовых медосмотров водителей и трактористов, технических осмотров Обеспечивает своевременное обеспечение закупок топлива, оформление топливных карт Обеспечивает своевременную оплату штрафов, предписаний Обеспечивает своевременное списание топлива, запчастей, расходных материалов при взаимодействии с бухгалтерией Контролирует своевременный вывоз снега в зимний период Обеспечивает ежедневный утренний и вечерний контроль за санитарным и техническим состоянием автотранспортных средств с занесением данных в журнал",https://hh.ru/vacancy/125466991
Механик-сборщик (Сборка металлоконструкций SLM 3D принтеров),НПО 3Д-ИНТЕГРАЦИЯ,170.0,,,,,От 3 до 6 лет,ТК,5/2,,кофе,"Сборка прецизионных металлоконструкций и кинематических систем SLM 3D принтеров из готовых деталей и узлов. Чтение и точное следование сборочным чертежам, техническим спецификациям и маршрутным картам. Слесарная обработка деталей по месту (притирка, подгонка, сверление, шабровка). Монтаж основных компонентов: установка шарико-винтовых передач (ШВП), линейных направляющих, редукторов, двигателей. Использование ручного и электроинструмента (шуруповерты, динамометрические ключи, углошлифовальные машинки (УШМ), пресс) и измерительных приборов (штангенциркуль, микрометр, уровень, индикатор). Проверка и обеспечение точности сборки: контроль соосности, параллельности, зазоров и других критичных параметров. Участие в устранении замечаний по результатам контроля ОТК и испытаний. Соблюдение правил техники безопасности и поддержание порядка на рабочем месте (5S). Взаимодействие с электромонтажниками для передачи узлов под последующий монтаж электрооборудования.",https://hh.ru/vacancy/125283167
Главный механик,Соним,200.0,,,,,От 3 до 6 лет,ТК,"60/30, 45/45",,"питание, проезд, общежитие, транспорт","Организация технического обслуживания, ремонта и эксплуатации транспортных средств и строительной техники Оптимизация использования техники: снижение простоев, управление арендой и сдачей внаём Контроль исправности автотранспорта и строительной техники, проведение инспекций для обеспечения безопасности Участие в обсуждении организационно - экономических вопросов, связанных с закупкой нового транспорта и дополнительного оборудования. Реализация имеющейся техники Контроль соблюдения норм рабочего времени, графика работы водителей Участие в медицинских осмотрах водителей перед допуском к транспорту Планирование и контроль технического обслуживания (ТО), мониторинг сроков и качества работ Участие в разработке бюджета на обслуживание и ремонт техники, контроль расходов и эффективность использования финансовых ресурсов. Разработка и внедрение рекомендаций по оптимизации расходов Развитие системы учета и контроля качества запасных частей, материалов и оборудования, необходимых для обслуживания автотранспортных средств с целью обеспечения бесперебойной работы автопарка. Формирование заявок на запасные части, инструменты Контроль расхода ГСМ, эксплуатационных материалов, списание ТМЦ. Анализ эффективности использования ресурсов Организация техпомощи на линии и подготовке транспортных средств к техосмотру ГИБДД Организация приема новых ТС, списание и передача автотранспорта в аренду Ведение отчетности по эксплуатации и ремонтам",https://hh.ru/vacancy/125455468
Главный механик (дробильно-сортировочное оборудование),Ваша Кадровая Служба,240.0,,,,8.0,От 3 до 6 лет,ТК,5/2,,"премии, транспорт","обеспечение бесперебойной и технически правильной эксплуатации и надежной работы дробильно-сортировочного оборудования, участвующем в технологическом процессе переработки нерудных материалов (дробилки различного исполнения, грохоты, ленточные конвейеры и др.) Филиалов Компании; организация и контроль работы механической службы; проведение планово-предупредительных ремонтов; диагностика и устранение неисправностей; договорная работа, согласование ремонтов, поставок ТМЦ по направлению дробильно-сортировочное оборудование в 1С ДО; взаимодействие с поставщиками запчастей и оборудования.",https://hh.ru/vacancy/125383100
