Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Административный руководитель,БКК Коломенский,258.0,,,,,От 3 до 6 лет,ГПХ,5/2,,"ДМС, страхование, питание, форма, спецодежда, скидки","Руководство отделом АХО производственной площадки (4 подчиненных); Обслуживание собственных и арендуемых зданий, помещений, уличных площадей; Организация ремонта, переездов, рабочих мест; Спецодежда и раздевалки (прачечная и аренда); закупка, учет и выдача СИЗ; Обеспечение питанием площадки; Обеспечение производства хоз. товарами; Организация и контроль вывоза ТБО, вторсырья; Организация, контроль клининговой компании на производстве, внутри дворовой территории, офисных помещений; Закупка необходимых ТМЦ (канцелярия, мебель, хоз. товары); Поиск и заключение договоров с подрядчиками в своей зоне ответственности (совместно с ОЗ); Взаимодействие со смежными отделами по разным проектам. Мы ожидаем от кандидатов: Высшее образование; Опыт работы в аналогичной должности не менее 3-х лет в крупных производственных компаниях; Навыки работы с MS Office, 1С; Знание норм хранения (ГОСТ, СанПиН); Знание основ делопроизводства и документооборота; Умение контролировать работу сторонних организаций; Знание норм и правил противопожарной и электробезопасности. Мы гарантируем: Работу в крупном и стабильном Российской холдинге; Яркую корпоративную культуру: наставничество, тренинги, семинары, возможность пользоваться корпоративной библиотекой; По-настоящему интересные и амбициозные задачи; Возможность карьерного роста и профессионального развития; Расширенный социальный пакет: ДМС, страхование от несчастных случаев и болезней на сумму до 2 млн. руб, материальная помощь для разных жизненных ситуаций; Компенсацию мобильной связи, питания, скидки на фитнес; Платформа корпоративных скидок; Для иногородних предусмотрен релокационный пакет.",https://hh.ru/vacancy/125373027
PR-директор,крупная компания,280.0,350.0,,,,От 3 до 6 лет,ТК,5/2,,"бонус, бонусы","Организовывать крутые мероприятия: пресс-конференции, выставки, презентационные события и прямые эфиры. Нам нужны яркие проекты, способные привлечь максимум внимания.",https://hh.ru/vacancy/125381107
Руководитель центра обучения,Корпорация Галактика,,,,,,Более 6 лет,ТК,5/2,,"ДМС, страхование, форма",Разработка и регулярное обновление стратегии развития Центра компетенций с учётом изменений на рынке и внутри компании. Формирование и реализация подхода...,https://hh.ru/vacancy/125380804
Генеральный директор,Кала Я Марьяпоят,,,,,,От 3 до 6 лет,ТК,5/2,,"бонус, жилье, чай","Разработка и реализация долгосрочной стратегии развития компании, увеличение доли рынка и рентабельности бизнеса. • Полный операционный контроль: от управления процессами выращивания (садковое хозяйство, кормление, ветеринарный контроль) до логистики, переработки и сбыта. • Оптимизация финансовых потоков, бюджетирование и контроль ключевых финансово-экономических показателей. • Выстраивание эффективной системы управления командой (порядка 200 сотрудников), мотивация и развитие ключевых сотрудников. • Построение и укрепление отношений с ключевыми партнерами, региональными и федеральными органами власти, надзорными инстанциями. • Внедрение современных технологий и лучших мировых практик в области аквакультуры для повышения эффективности и устойчивости производства. • Контроль за соблюдением высочайших стандартов экологической и продовольственной безопасности Мы ожидаем от кандидата: • Высшее образование (желательно в области управления, экономики или рыбного хозяйства). • Опыт успешного руководства (от 5 лет) на позиции Генерального директора/Исполнительного директора/Операционного директора в крупной компании. • Предпочтительный опыт в смежных отраслях: аквакультура, рыбопереработка, пищевое производство. • Глубокие знания в области финансового менеджмента, стратегического планирования и операционного управления. • Навыки работы в условиях регулируемой отрасли (понимание ветеринарных, экологических норм, стандартов Роспотребнадзора и т.д.). • Сильные лидерские качества, решительность, стратегическое мышление и умение принимать сложные управленческие решения. • Готовность к переезду в Карелию и активной работе на производственных площадках.",https://hh.ru/vacancy/125378869
Финансовый директор (CFO),IT компания,,,,,,От 3 до 6 лет,ТК,5/2,,форма,"Формировать бюджет на краткосрочный и среднесрочный периоды; Разрабатывать сценарии развития компании на год; Подготовить регламенты по процессу бюджетирования; Установить процедуру согласования изменений и вне бюджетов; Контролировать исполнение бюджетов и работать с отклонениями; Автоматизировать процесс бюджетного управления; Подготавливать бизнес-планы и финансовые модели для новых проектов; Готовить финансовую аналитику по плановым показателям, выстраивать систему контрольных показателей бизнеса и при формировании бюджета проверять его на достижение этих показателей; Развивать управленческий учет в компании (PL, BS, CF); Обеспечивать руководство информацией, необходимой для принятия решений; Налоговое планирование, контроль налоговой нагрузки; Управление ликвидностью бизнеса; Управление финансовыми рисками;",https://hh.ru/vacancy/125371576
Заместитель финансового директора/Финансовый директор,ЭРС Групп,,,,,,От 3 до 6 лет,ТК,5/2,Ежемесячно,,"Ежемесячное закрытие и формирование управленческой отчетности предприятия (БДР). Анализ финансово-хозяйственной деятельности Подготовка итоговых отчетов для руководства и учредителей предприятия (расчет фин. показателей, пояснительная записка) Работа с банками по привлечению кредитных средств. Заключение договоров. Получение банковских гарантий. Работа с лизинговыми компаниями, заключение договоров, закрытие договоров Согласование договоров в части соответствия бюджету, минимизации финансовых и налоговых рисков и порядка расчетов, учет договоров и согласование платежей по проектам; Организация и контроль работ по выполнению договоров, в том числе по снижению дебиторской задолженности Формирование консолидированного годового планового бюджета: бюджет доходов и расходов, бюджет движения денежных средств, в т.ч. по отдельным проектам Поддержка и контроль бухгалтерского и налогового учета. Оптимизация налогообложения. Проведение платежей Подготовка различных отчётов по запросам руководства. Участие в совещаниях, штабах",https://hh.ru/vacancy/125376378
Персональный водитель руководителя,Группа Илим,,,,,,Более 6 лет,ТК,5/2,,"ДМС, страхование, премии","Правила дорожного движения. Правила осуществления технического обслуживания автомобилей. Общее устройство автомобиля. Основные технические характеристики агрегатов, назначение, принцип функционирования, обслуживания механизмов...",https://hh.ru/vacancy/125374384
Начальник отдела кадров,МОСГАЗ,,,,,,От 3 до 6 лет,ТК,5/2,,,"Руководство и координация работы команды отдела кадров (в подчинении 8 специалистов) Постановка задач, контроль исполнения, мотивация и развитие подчиненных Оптимизация процессов и регламентов кадрового делопроизводства Организация полного цикла кадрового документооборота: прием, перевод, увольнение, отпуска, больничные, командировки и иные изменения условий труда Контроль за правильностью оформления всех кадровых документов (приказы, трудовые договоры, доп. соглашения) в соответствии с ТК РФ Ведение и архивация личных дел сотрудников Тесная работа с бухгалтерией: организация сверки табелей учета рабочего времени, закрытие месяца, оперативное информирование обо всех отклонениях и изменениях Подготовка и сдача обязательной отчетности в ПФР (СЗВ-М, СЗВ-СТАЖ, СЗВ-ТД) и другие госорганы (по запросу) Формирование внутренней кадровой отчетности для руководства Консультирование руководителей подразделений по вопросам трудового законодательства Ведение учета в системе 1С:ЗУП 8.3 (полный функционал) «Работа руками» — личное ведение сложных или особо важных кадровых операций",https://hh.ru/vacancy/125375824
Директор по экономике,УК АМР-СМК,,,,,,Более 6 лет,ТК,5/2,Ежемесячно,,"Управление экономикой производственного предприятия, анализ финансово-хозяйственной деятельности, поиск путей оптимизации затрат и повышения доходности; Контроль за выполнением целевых показателей по себестоимости. Поиск возможностей по снижению себестоимости и их реализация; Экономическая оценка эффективности инвестиций, составление финансово-экономических моделей, выбор оптимального набора мероприятий инвестиционной программы; Подготовка бизнес-плана по предприятию на ежегодной основе, ежемесячное текущее планирование; Подготовка управленческой отчетности, факторный анализ выполнения плановых показателей; Поддержка процедур ценообразование на продукцию предприятия, в т.ч. ГОЗ; Взаимодействие с гос. органами, контрагентами компании по поставкам/закупкам; Экономическое моделирование для работы с кредиторами (банки, фонды, агентства); Контроль оборотного капитала – нормирование запасов, управление дебиторской и кредиторской задолженностью.",https://hh.ru/vacancy/125369706
Операционный директор (COO),BRAMTON,550.0,800.0,,,,Более 6 лет,ТК,5/2,,"ДМС, бонус, бонусы, обучение","Разработка и внедрение стратегии операционной деятельности компании. Оптимизация бизнес-процессов для повышения эффективности и снижения издержек. Управление ключевыми операционными подразделениями (производство, логистика, сервис, IT и др.). Контроль выполнения KPI, анализ финансово-экономических показателей. Внедрение систем автоматизации и цифровизации операционных процессов. Управление командой: подбор, мотивация и развитие сотрудников. Взаимодействие с другими департаментами (финансы, маркетинг, продажи) для достижения бизнес-целей. Обеспечение бесперебойной работы компании в соответствии со стратегией.",https://hh.ru/vacancy/125300893
