Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Начинающий менеджер по подбору персонала,Стафф Компани,90.0,,,,'7-10,Нет опыта,ГПХ,"5/2, 7/10",,"форма, чай","Составлять вакансии и размещать на профильных сайтах. Отрабатывать входящий поток (звонки, отклики). Самостоятельно искать кандидатов (холодный поиск). Проводить телефонные интервью...",https://hh.ru/vacancy/124581796
Менеджер по подбору персонала/HR-менеджер/Рекрутер,Productive heads,110.0,,,,,От 1 года до 3 лет,ТК,5/2,,"бонус, бонусы, кофе","Полный цикл подбора персонала для наших клиентов. Поиск и привлечение кандидатов через различные каналы (базы, социальные сети). Проведение собеседований и оценка кандидатов на продуктивность. Презентация кандидатов заказчикам и организация всех этапов собеседования. Формирование и ведение базы кандидатов. Наши ожидания: Желание ХОРОШО зарабатывать, добиваться фактических результатов и расти вместе с командой. Успешный опыт в подборе персонала разного уровня. Умение использовать различных каналов подбора персонала Отличные коммуникативные навыки и внимательность к деталям. 💡",https://hh.ru/vacancy/124973070
Менеджер по подбору персонала,Домовой,90.0,,,,,От 1 года до 3 лет,ТК,"5/2, 20/30",Ежемесячно,кофе,"Одновременное ведение массового и точечного подбора (от 20-30 вакансий в работе ежемесячно) Найм сотрудников на открывающиеся магазины Ежедневное предоставление отчетности Сопровождение кандидата на всех этапах до момента выхода на работу, включая адаптацию Поддержание вакансий на job-сайтах в актуальном состоянии Работа с HH, Авито, Telegram-каналами, соцсетями, реферальными программами",https://hh.ru/vacancy/125454376
Менеджер по подбору персонала удаленно,Петербургская Сервисная Компания,,,,,,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,,"Уточнение заявки, составление профиля должности; Работа с открытыми источниками поиска, размещение вакансий (hh.ru); Обработка откликов, а также самостоятельный активный поиск кандидатов (включая массовые и точечные позиции); Обработка одновременно нескольких вакансий (от 2 до 10); Коммуникация с руководителями подразделений по вопросам подбора персонала; Проведение телефонных интервью и собеседований - короткие разговоры с кандидатами, чтобы познакомиться, уточнить мотивацию и опыт; Первичная оценка кандидатов; Координация встреч кандидатов с непосредственными руководителями подразделений для проведения собеседований; Фиксирование результатов — ведение отчётности по итогам своей работы.",https://hh.ru/vacancy/125515573
Менеджер по подбору персонала,Marketplace,70.0,,,,,Нет опыта,ТК,5/2,,питание,Проводить поиск и подбор персонала на линейные должности. Своевременно вести отчетность по проделанной работе. Контроль стажировки и координация новых сотрудников. ,https://hh.ru/vacancy/125522891
Начинающий менеджер по подбору персонала,Пироговый дворик,60.0,,,,'9-18,Нет опыта,ТК,5/2,,"питание, форма, бонус, бонусы, подарки, скидки, обучение","Составлять и размещать вакансии на различных платформах; Принимать активное участие в поиске и отборе кандидатов; Проводить онлайн и очные собеседования; Сотрудничать с другими отделами для выполнения планов по найму; Анализировать рынок труда и делиться полезной информацией; Вести отчетность и участвовать в жизни HR-отдела. Мы ценим и ищем в вас: Главное — большой интерес к HR и желание обучаться; Готовность развиваться и расти профессионально вместе с нами; Коммуникативные и организационные навыки (они появятся у вас в процессе работы); Базовое владение офисными программами; Ответственность и умение ставить цели; Опыт работы в HR не обязателен! Мы предоставим всё необходимое обучение и поддержку, чтобы вы быстро освоились и уверенно чувствовали себя в профессии; Образование: желательно высшее, но если вы только начинаете путь — это не помеха. Мы будем очень рады, если вы приложите к отклику короткое сопроводительное письмо . Расскажите в нём, какие ваши навыки или личные качества помогут вам успешно работать у нас, и почему вам интересно развиваться в HR. Это отличный способ показать вашу мотивацию и выделиться среди других кандидатов! Ваше развитие – наш приоритет: Ждем именно Вас! Свяжитесь с нами по телефону или через WhatsApp. Ответим на вопросы с 9 до 18 часов.",https://hh.ru/vacancy/125118359
Ведущий менеджер по подбору персонала,Возовоз,90.0,130.0,,,,От 1 года до 3 лет,ТК,5/2,,"обучение, развозка, кофе, чай","Анализ процессов подбора и адаптации персонала (сроки подбора, воронки, инструменты); Организация работы по выполнению заявок на подбор, создавать и размещать продающие тексты о вакансиях на специализированных сайтах, в соцсетях, мессенджерах и т.д; Самостоятельное закрытие офисных и складских вакансий (головной офис и регионы); Разработка и формирование отчетности по показателям эффективности подбора персонала, Написание требований и ТЗ на доработку существующих бизнес процессов и создание новых; Поиск новых контрагентов, предоставляющих инструменты подбора персонала; Контроль работы и проведение аналитики по эффективности работы рекрутеров. KPI рекрутеров (2 чел). Распределение нагрузки, контроль выполнения задач; Обучение рекрутеров инструментам подбора и адаптации персонала; Вести отчетность и аналитику процесса рекрутинга, участие в автоматизации процесса подбора персонала; Мониторинг рынка труда с целью актуализации и поддержания достойной материальной мотивации в компании; Участие в подготовке проведения корпоративных мероприятий.",https://hh.ru/vacancy/124223881
Рекрутер,Unnamed Team,,,,,,От 1 года до 3 лет,ГПХ,5/2,2 раза в месяц,форма,"Поиск кандидатов на различных job-сайтах (HH.ru, LinkedIn, Telegram и др.). Размещение вакансий и управление их видимостью. Оценка и первичный...",https://hh.ru/vacancy/125432357
Менеджер по подбору персонала,"Ёбидоёби, сеть доставки суши и роллов",45.0,70.0,,,,От 1 года до 3 лет,ТК,5/2,Еженедельно,форма,Обрабатывать входящий трафик и вести холодный поиск кандидатов. Коммуницировать на постоянной основе с заказчиками. Сопровождать кандидата на всех инстанциях и...,https://hh.ru/vacancy/125526216
HR менеджер/Менеджер по подбору персонала,А-Нова,70.0,100.0,,,,Нет опыта,ТК,5/2,,форма,"﻿﻿•﻿﻿Поиск и подбор сотрудников (основной фокус — менеджеры по продажам) ﻿﻿•﻿﻿Проведение собеседований ﻿﻿•﻿﻿Мониторинг рынка труда и уровня заработных плат ﻿﻿•﻿﻿Участие в формировании HR-бренда компании ﻿﻿•﻿﻿Поддержание здоровой атмосферы в коллективе ﻿﻿•Организация корпоративных мероприятий и неформальных встреч (игры, выезды, праздники) ﻿﻿•﻿﻿Проведение телефонных и очных интервью и работа с обратной связью сотрудников. Наши ожидания: ﻿﻿•Умение проводить собеседования и выявлять потенциал кандидатов ﻿﻿•Опыт работы HR будет преимуществом, но готовы обучить сотрудника всем навыкам ﻿﻿•Навык работы с сайтом HH.RU ﻿﻿•Доброжелательность, стрессоустойчивость, ум ﻿﻿•Желание развиваться",https://hh.ru/vacancy/125451882
