Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Старший Аниматор / Шеф анимации,НЕБО,90.0,,,,,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,"бонус, обучение","руководство отделом анимации; организация и проведение мероприятий (квесты, шоу-программы, мастер-классы и т.д.); обучение и координация работы аниматоров; взаимодействие с другими подразделениями; разработка идей для привлечения гостей и повышения вовлечённости; ведение бюджета, закупок и отчётности;",https://hh.ru/vacancy/125286810
Сопровождающий/аниматор праздничных мероприятий,Kidzania,,,,,,Нет опыта,ТК,"2/5, 3/4, 4/3",,скидки,Сопровождающий/<highlighttext>аниматор</highlighttext> праздничных мероприятий выходного дня. Дарить радость гостям. Поддерживать имидж компании. Тебе предстоит: - сопровождать гостей на праздничных мероприятиях. - ,https://hh.ru/vacancy/123748098
Мультипликатор 2D,Биг Папа,,,,,,От 3 до 6 лет,ТК,5/2,Ежемесячно,,1) Синий Трактор. И другие. (Ссылки на проекты - в профиле компании или поиском в Ютьюбе). 1) Делать короткометражные 2д...,https://hh.ru/vacancy/124742452
Аниматор,НЕБО,80.0,,,,,Нет опыта,ТК,6/1,,,Проводить яркие мероприятия и шоу-программы. Организовывать мастер-классы и квесты. Дарить детям и взрослым атмосферу радости и волшебства.,https://hh.ru/vacancy/124180017
Художник-мультипликатор/художник-аниматор/2D художник,Магик Лаб,100.0,,,,,Нет опыта,ТК,64/27,,,"Задача: Разработка 2D-персонажей, которые будут взаимодействовать с людьми и объектами в наших видеороликах. Например, человек объясняет тему, а...",https://hh.ru/vacancy/124678451
Аниматор,СОЮЗМУЛЬТФИЛЬМ,,,,,,От 1 года до 3 лет,ГПХ,2/2,,,"Проведение анимационных программ, детских праздников, мероприятий. Проведение интерактивных игр с детьми на территории Союзмультпарка с применением различного реквизита, вовлечение их...",https://hh.ru/vacancy/125328205
Аниматор спорт / детский в ЕГИПЕТ отель Domina Coral Bay 5*,Life Tourism,,,,,,Нет опыта,ТК,6/1,,питание,"Никаких вложений с твоей стороны! Организовывать и участвовать в развлекательных мероприятиях. Работать с детьми (рисование, игры, мастер-классы).",https://hh.ru/vacancy/124487178
Аниматор-экскурсовод,Музей Магии,4.5,,,,,От 1 года до 3 лет,ТК,64/27,,,Проведение экскурсий по музейным пространствам (основное) - Проведение анимационных программ детских праздников по сценарию с соблюдением тайминга - Проведение мастер-классов,https://hh.ru/vacancy/125069202
Аниматор для детей в ресторан,Аниматоры Мироновой,5.0,20.0,,,,Нет опыта,ТК,64/27,,форма,проведение интерактивных игр и творческих занятий с детьми; • участие в анимационных программах в образе сказочных персонажей; • создание позитивной атмосферы для детей и родителей.,https://hh.ru/vacancy/124942759
3D-аниматор по персонажам (Unreal Engine),Правительство Москвы,,,,,,От 1 года до 3 лет,ТК,5/2,,форма,"Анимация персонажей (людей и мультипликационных персонажей) и их движений: ходьбы, бега и других действий Оптимизация анимаций без потери качества Работа с инструментами для анимаций в Unreal Engine 5 (sequencer, control rig, animation blueprints) Импорт ассетов с анимациями",https://hh.ru/vacancy/122221298
Аниматор/Актер,Море Шоу,90.0,,,,,От 1 года до 3 лет,ТК,5/2,,"бонус, бонусы, обучение","Стать главным волшебником на анимационных программах, квестах и шоу. Воплощать в жизнь безумные идеи и участвовать в создании новых программ...",https://hh.ru/vacancy/124604951
Аниматор,Море Шоу,90.0,,,,'2-3,От 1 года до 3 лет,ТК,"5/2, 2/3",,,Проведение шоу-программ и участие в интерактивных анимационных конкурсах. Проведение банкетной анимации в наших костюмах с реквизитом. Работа по сценарию...,https://hh.ru/vacancy/124513756
Артист-аниматор,Студия детских праздников PrimaLand,55.0,120.0,12000.0,1000.0,12.0,Нет опыта,ТК,5/2,,"форма, проезд, кофе","Проводить анимационные программы, мастер-классы, квесты и шоу на детских праздниках. ️ Участвовать в создании сценариев новых программ. Работа проходит на...",https://hh.ru/vacancy/125156880
Аниматор игровой,Семейное,60.0,,,,'12-22,Нет опыта,ТК,5/2,,"питание, бесплатное питание, премии, обучение","Проводить игровые программы, творческие и кулинарные мастер-классы, флешмобы, активные веселые и развивающие занятия с детьми.",https://hh.ru/vacancy/123670663
Артист-аниматор в агентство детских праздников (Начинающий специалист),Студия праздников Кудесник,100.0,170.0,,,'2-3,Нет опыта,ТК,2/3,,,"Ведущий проводит анимационную программу с помощью сценария костюма-образа персонажа, и специального реквизита, фокусов и т.д.. - Шоу пузырей - 2300...",https://hh.ru/vacancy/125123155
Воспитатель (аниматор) игровой зоны,Фиджи Спорт Клуб,62.0,72.0,,,,От 1 года до 3 лет,ТК,2/2,,,"Обеспечение комфортного и безопасного нахождения детей на игровых площадках игровой зоны; Проведение игр с детьми от 4-х лет; Поддержание порядка в игровой зоне; Создание доброй, дружественной и веселой атмосферы.",https://hh.ru/vacancy/125484111
"Актёр/Аниматор Квестов (Клаустрофобия, Бауманская, Парк Культуры, Китай-Город, Цветной Бульвар)",Клаустрофобия Офлайн,,,,,,Нет опыта,ТК,64/27,,"бонус, бонусы",Проведение игр в образе • Уборка костюмов • Работа с детьми • Контроль состояния локации,https://hh.ru/vacancy/124961411
"Специалист парка / Аниматор (ТЦ Косино-парк, м.Лухмановская, м.Улица Дмитриевского)",Zaмания (ООО Замания),70.0,,,,,Нет опыта,ТК,"2/2, 2/5",,"бонус, бонусы, скидки, кофе","Проводить активности, мастер классы и квесты с нашими маленькими гостями. Поддерживать уникальную атмосферу праздника. Содержать парк в порядке для комфортного...",https://hh.ru/vacancy/123639121
Администратор-аниматор квеста,Капитан Квест,50.0,100.0,,,,Нет опыта,ТК,64/27,,форма,Встречать гостей. Общение с командами. Поддержание рабочей зоны в чистоте. Ведение квестов.,https://hh.ru/vacancy/124629394
Аниматор,PANORAMA360,,120.0,,,,От 1 года до 3 лет,ТК,2/2,,"питание, бесплатное питание","Проведение анимационных программ, детских праздников, мастер – классов (по договорённости); При отсутствии мероприятия в течение рабочей смены проводить интерактивные игры для детей,находящихся на территории площадки; Присутствие на всех мероприятиях по общему расписанию запланированных мероприятий на площадке, в котором будете работать; в дальнейшем - привлечение к участию в выездных коммерческих мероприятиях компании.",https://hh.ru/vacancy/125318198
Детский аниматор в отель в ОАЭ,FUN&SUN,,,,,'4-12,От 1 года до 3 лет,ТК,4/12,,питание,"Проведение мероприятий по готовой сетке для детей 4-12 лет (мастер-классов и квестов, интерактивных, познавательных, интеллектуальных игр, спортивных программ...",https://hh.ru/vacancy/124323277
Аниматор,ГАУК г. Москвы Государственный Музей-Заповедник Кузьминки-Люблино,5.0,10.0,,,'4-12,От 1 года до 3 лет,ГПХ,"4/12, 4/99",,обучение,"Проводить групповые тематические экскурсии по теремам Усадьбы в образе сказочного героя (костюм предоставляем). Увлекать детей и взрослых живым рассказом, загадками...",https://hh.ru/vacancy/125430390
2D Spine аниматор,FunFlow (ООО Мобильные Игровые Решения),,200.0,,,,От 1 года до 3 лет,ТК,5/2,,"ДМС, обучение","Генерация идей и участие в разработке концепции анимации; Анимация объектов, персонажей и окружения в Spine; Формирование требований для дорисовки артов художниками для предстоящей анимации. Для нас важны: Опыт анимации в Spine от 3 лет в gamedev; Знание основных принципов анимации и умение их применять; Готовность выполнить тестовое задание; Наличие релевантного портфолио. Будет плюсом: Умение рисовать; Знание нейросетей и умение ими пользоваться; Умение анимировать в After Effects; Создание продвинутого псевдо 3D в Spine.",https://hh.ru/vacancy/120476409
Аниматор в ресторан,Дед Морозыч,13.6,,1700.0,141.66666666666666,12.0,Нет опыта,ТК,64/27,,"бонус, бонусы","Присматривать за детьми в игровой зоне по пятницам и выходным. - Организовывать движ: игры, конкурсы, мини‑квизы. - Рисовать аквагрим, крутить шарики...",https://hh.ru/vacancy/125305310
Аниматор в ресторан,Прокопова Мария Павловна,,,,,,Нет опыта,ТК,64/27,,"питание, бесплатное питание, форма, униформа, обучение",До встречи!,https://hh.ru/vacancy/124889928
