Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Графический дизайнер,РЖД-Медицина,120.0,120.0,,,,От 3 до 6 лет,ТК,5/2,,форма,"Разработка и развитие визуального стиля: брендбук, гайдлайны, инфографика Разработка полиграфической и рекламной продукции (каталоги, брошюры, инструкции, приглашения, визитки, раздаточный материал для обучающихся, корпоративный мерч, ролл-апы, пресс-воллы и т.д.) Оформление презентаций различной сложности для образовательных программ, конференций, отчетных и иных мероприятий, включая создание иллюстраций и инфографики Дизайн digital-графических материалов: разработка лэндингов и изменений в дизайне сайта, подбор и обработка контента для сайта, соцсетей и мессенджеров Создание рекламных и коммуникационных материалов: баннеры, креативы для мессенджеров, email-рассылок, социальных сетей Участие в разработке концепций образовательного пространства и внешних мероприятий Обеспечение профессионального подхода в своей зоне ответственности: следование брендбуку, соблюдение дедлайнов, осуществление контроля визуального качества материалов",https://hh.ru/vacancy/125514690
UX/UI-дизайнер,Московская школа управления СКОЛКОВО,,,,,,От 1 года до 3 лет,ТК,5/2,,"страхование, форма, скидки","Проектировать интерфейс от идеи до передачи в разработку; Проводить пользовательские исследования, формулировать и проверять гипотезы с помощью аналитики и UX-тестов; Проводить анализ конкурентов и лучших решений на международном рынке; Разрабатывать скетчи, макеты, интерактивные прототипы с учетом целей бизнеса и потребностей пользователей; Разрабатывать и внедрять новые сервисы и улучшать действующие.",https://hh.ru/vacancy/125521728
Графический дизайнер,Sunlight,120.0,150.0,,,,От 1 года до 3 лет,ТК,5/2,,форма,Создавать дизайн-концепции и визуальные материалы для специальных маркетинговых проектов и промо-активностей; Разрабатывать дизайн макеты Создавать визуальные концепции и макеты под различные аудитории и каналы трафика; Разрабатывать формат дизайн-релизов для маркетинговых рассылок и запусков новых рекламных кампаний; Разрабатывать дизайн макетов по техническим требованиям; Готовить материалы и техническое задание для смежных направлений,https://hh.ru/vacancy/125489642
Помощник дизайнера,MADIQUE Home Design,80.0,,,,,От 1 года до 3 лет,ТК,5/2,,,Осуществлять помощь главному дизайнеру в подготовке чертежей и проектной документации для заказчика. Подготовка эскизов и предварительных проектов. Расчёт метража изделий и объема материалов в программе. Фото-раскрой деталей на слэбах мрамора. Предварительная проработка деталей изделий. Оформление чертежей и документации. Выезд на объект по необходимости. Разработка дизайна или узлов изделия.,https://hh.ru/vacancy/125390015
Графический дизайнер,Natuzzi (ООО Современные Интерьеры),75.0,,,,,Нет опыта,ГПХ,5/2,2 раза в месяц,ДМС,"Разработка рекламных макетов для наружной и печатной рекламы, полиграфических рекламных материалов (POS-материалы, сувенирная продукция, вывески, торговое оборудование, оформление витрин и т.д.) Допечатная подготовка рекламных макетов в соответствии с технологическими требованиями подрядчика Разработка макетов для интернет-продвижения (баннеров для сайтов, email-рассылок, социальных сетей и др.) Работа с подрядчиками: ведение заказа - от разработки макета до получения образцов",https://hh.ru/vacancy/125391239
Ассистент/помощник дизайнера,Эмиль Шабаев,60.0,80.0,,,,Нет опыта,ГПХ,5/2,,обучение,"Поиск, выезд и закупки для производства (ткани, фурнитура, инструменты и т.д.) и для бутика; Личные поручения руководителя; Работа с первичным учетом; Анализ рынка одежды в том числе верхней, анализ модных тенденций; анализ ювелирного рынка Контроль работы производства, при необходимости; Контроль чистоты в бутике и на производстве (взаимодействие с персоналом) Взаимодействие и поиск подрядчиков для разных задач",https://hh.ru/vacancy/124972041
Дизайнер,Лаборатория Гемотест,,,,,,От 3 до 6 лет,ТК,5/2,,скидки,"Создавать дизайн-концепции и Key Visuals с нуля. — Делать эффектные презентации, многостраничную верстку. — Работать со всеми видами рекламных носителей. — ",https://hh.ru/vacancy/125515898
Графический дизайнер (Junior),РЕСПУБЛИКА,70.0,70.0,,,,От 1 года до 3 лет,ТК,5/2,,форма,"Разработка и верстка печатных рекламных материалов (плакаты, визитки, листовки, флаеры, купоны). Подготовка креативов к акциям и мероприятиям, графическая поддержка социальных сетей. Подготовка эффективных баннеров для сайта и рассылки. Адаптация готовых дизайн-макетов к разным форматам: магазины, полиграфия, рекламные площадки, сайт, маркетплейсы и др.",https://hh.ru/vacancy/124901203
Дизайнер упаковки,"Подружка, сеть магазинов",,,,,,От 1 года до 3 лет,ТК,5/2,,"ДМС, скидки",Разработка дизайна упаковки СТМ (Private Label) по брифу. Адаптация концепта дизайна на всю продуктовую линейку бренда(-ов). Разработка дизайна POSM...,https://hh.ru/vacancy/122276475
Стажер-дизайнер презентаций,МТС,50.0,50.0,,,,Нет опыта,ТК,5/2,,форма,"Заниматься разработкой дизайна презентаций для различных целей: корпоративные, учебные и тд.. Работать с текстовой и графической информацией, подбирать шрифты, цветовые...",https://hh.ru/vacancy/125435802
Графический дизайнер,ВБЦ,140.0,,,,,От 3 до 6 лет,ГПХ,5/2,,"подарки, скидки, обучение, кофе, чай","Разработка креативных концепций: генерация идей и разработка визуальных решений, соответствующих целям бренда и продукта; Создание уникальных и запоминающихся образов, обеспечивающих узнаваемость и премиальность бренда; Разработка макетов для рекламных материалов и кампаний (баннеры, постеры, листовки, реклама в прессе, реклама на билбордах); Поддержка розничных магазинов: оформление баннеров, POSm материалов, тейблтентов, розничного оборудования; Иллюстрация товаров, услуг и брендов в различных стилях и техниках. Работа с векторной и растровой графикой для подготовки изображений высокого качества; Участие в разработке дизайна для мероприятий, акций и промо-кампаний; Ретушь фотографий, умение делать вписки в интерьеры, работа с ИИ; Соблюдение единства фирменного стиля и графики во всех каналах коммуникации; Координация взаимодействия с агентствами и подрядчиками, обеспечение передачи корпоративных стандартов брендинга; Взаимодействие с фотографами, контент-менеджерами, сотрудниками компании. Что мы ждем от кандидата: Аналогичный опыт работы от 5 лет, опыт с розничной сетью магазинов будет преимуществом ; Профильное образование; Отличные знания пакета Adobe (Photoshop, Illustrator, InDesign, Flash), Corel Draw; знание принципов дизайна; знание Tilda/Figma; умение работать с ИИ (Midjourney); умение комплексно решать все задачи по дизайну самостоятельно; умение соблюдать дедлайны и скорость выполнения задач.",https://hh.ru/vacancy/125523788
Помощник Главного веб-дизайнера,Jobers,60.0,85.0,,,,Нет опыта,ТК,64/27,,форма,"Помогать ведущему дизайнеру в разработке сайтов, лендингов и интерфейсов; Собирать страницы и блоки в Figma по готовым структурам; Подбирать референсы, шрифты, иконки, цветовые решения; Подготавливать макеты к передаче в разработку; Поддерживать порядок в проектных файлах.",https://hh.ru/vacancy/125447697
Дизайнер одежды,Николаев Кирилл Андреевич,,200.0,,,,От 3 до 6 лет,ТК,5/2,,форма,"Участие в формировании ассортиментной матрицы на сезон; Тренд-аналитика Подготовка технической документации (техпаков) для фабрик (Китай); Участие в примерках и контроль разработки изделий; Подбор тканей и фурнитуры, взаимодействие с поставщиками; Отрисовка технических эскизов и принтов в Adobe Illustrator; Комментирование тестовых образцов и сопровождение изделий до финального утверждения и запуска в производство.",https://hh.ru/vacancy/125484379
Дизайнер,БЬЮТИ ТРЕНД РУС,130.0,150.0,,,,От 3 до 6 лет,ТК,5/2,,форма,"Разработка макетов этикеток для различных типов упаковки (флаконы, тубы, банки, коробки и т.д.). Соблюдение корпоративных стандартов бренда; Подготовка макетов к печати (препресс): проверка цветовых профилей (CMYK/Pantone), вылетов под обрез, качества изображений, соответствия техническим требованиям типографии; Создание карточек товаров для маркетплейсов (Wildberries, Ozon, Яндекс Маркет): обложки, инфографика, дополнительные изображения; Создание визуально интересных и информативных презентаций для новых продуктовых линий, коллекций, рекламных кампаний или специальных проектов (скетчи, мудборды, цифровые коллажи); Разработка логотипов и элементов фирменного стиля; Тесное взаимодействие с отделом разработки продукции и маркетингом для уточнения информации и требований.",https://hh.ru/vacancy/125462285
Графический дизайнер,RT,100.0,,,,,Нет опыта,ТК,5/2,,ДМС,"Главная задача - делать классный контент для соцсетей и нашего сайта Монтировать простые видео в Premiere/Capcut Работать с фотобанками, фотоагентствами и системой копирайт Осуществлять поиск, подбор и обработку мультимедийного контента к новостным материалам сайта",https://hh.ru/vacancy/125344168
Дизайнер интерьеров (квартиры),HR Diamond,120.0,,,,'1-2,Нет опыта,ТК,1/2,,форма,"Проведение встреч с заказчиками , обмеры и составление брифа; Ведение полного цикла дизайн-проекта. Вы самостоятельно решаете, каким будет Ваш дизайн-проект (реализуем Ваши дизайн-проекты напрямую с заказчиком); Взаимодействие со смежными отделами (сметчики, прорабы, отделы комплектации); Подготовка ТЗ для визуализатора (передаём визуализацию на аутсорсинг при желании / необходимости); Ведение авторского надзора на всех этапах реализации. Оставляй отклик, становись частью нашей большой команды и расти вместе с нами!",https://hh.ru/vacancy/125417895
