Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Личный официант Руководителя в офис,СоюзДонСтрой,150.0,,,,,От 3 до 6 лет,ТК,5/2,Еженедельно,"кофе, чай","Разработка личного питания с пожеланиями руководителя, составление меню кухни, барного меню (еженедельного и ежедневного); Приготовление, разлив, сервировка барной продукции (коктейли, чай/кофе) Индивидуальное ресторанное обслуживание Учредителя. (Принятие, сервировка, вынос заказа, уборка); Подготовка и организация зала для принятия гостей Учредителей; Мытьё, натирка и сервировка посуды по необходимости; Приобретение оборудования для приготовления напитков; Встреча гостей, размещение и обслуживания их в ресторанной зоне.",https://hh.ru/vacancy/125349307
Официант,ATLANTICA seafood,250.0,300.0,,,,От 1 года до 3 лет,ТК,5/2,Еженедельно,,консультирование гостей по меню и напиткам поддержание чистоты на рабочем месте соблюдение стандартов сервиса Atlanatica Seafood От кандидата мы ждем : опыт работы от 1 года в ресторанах fine dining внимание к деталям наличие медицинской книжки или готовность ее оформить,https://hh.ru/vacancy/123913345
Официант в новый ресторан,Perelman People,150.0,200.0,,,,От 3 до 6 лет,ТК,2/2,,"питание, форма, униформа","Обслуживание Гостей, помощь в выборе блюд и напитков. Приём и передача заказов на кухню и в бар, вынос готовых блюд...",https://hh.ru/vacancy/125259012
Официант в Итальянский ресторан,"Torro Grill, сеть ресторанов",140.0,,,,,От 1 года до 3 лет,ТК,"2/2, 3/3",,"обучение, транспорт",Знакомить гостей с нашей аутентичной кухней и дарить им настоящее итальянское гостеприимство.,https://hh.ru/vacancy/124836339
Официант,Ресторан LUCA,130.0,200.0,170000.0,14166.666666666666,'15-16,От 1 года до 3 лет,ТК,"15/16, 18/20, 5/2, 4/2, 3/3, 2/2, 2/1, 3/2, 4/3",,"питание, бесплатное питание, форма",Обслуживание гостей ресторана с соблюдением стандартов сервиса. Прием заказов и консультирование по меню. Подача блюд и напитков. Поддержание чистоты и порядка на рабочем месте. Участие в подготовке и проведении банкетов.,https://hh.ru/vacancy/124436543
Официант бара City space,Swissotel Красные Холмы,,,,,,Нет опыта,ТК,5/2,Ежемесячно,"ДМС, питание, бесплатное питание, форма, премии",обслуживание посетителей. - работа с наличными деньгами и платежными картами. - предоставление информации о работе гостиницы.,https://hh.ru/vacancy/118463194
Официант в кафе кондитерскую,"Волконский, кондитерская",80.0,,,,,Нет опыта,ТК,"2/2, 5/2, 4/3, 3/3",Ежемесячно,"питание, форма, премии, обучение","Приветствие и обслуживание гостей с улыбкой и дружелюбием; Консультирование гостей по меню и помощь в выборе десертов; Принятие заказов и их оперативная обработка; Подача блюд и напитков с соблюдением стандартов сервировки; Поддержание чистоты и порядка в зоне обслуживания и на рабочем месте. Условия работы: Удобные графики работы 2/2, 5/2, 4/3, 3/3 График работы: гибкий ; Дружелюбная и поддерживающая рабочая атмосфера; Возможности профессионального роста и развития. Достойная ставка + ежемесячные премии ; Корпоративное обучение; Оплачиваемую стажировку ; Официальное трудоустройство, оплачиваемые отпуска и больничные; Красивая форма и стафф-питание; Оплата медицинской книжки; М Сухаревская М. Войковская МЦК Балтийская М. Арбатская М.Новокузнецкая М.ЦСКА Если вы готовы присоединиться к нашей дружной команде и создавать незабываемые впечатления для наших гостей, нажмите кнопку &quot;откликнуться&quot; или позвоните нам по номеру указанному в описании. Мы будем рады рассмотреть вашу кандидатуру и пригласить вас на собеседование. Добро пожаловать в &quot;Волконский&quot;! Присоединяйтесь к нашей команде и начните свой путь в индустрии гостеприимства вместе с нами!",https://hh.ru/vacancy/123120816
Официант,KEFI,120.0,150.0,3000.0,250.0,12.0,От 1 года до 3 лет,ТК,5/2,,"питание, форма","Ответственность, доброжелательность, желание работать и зарабатывать, умение работать в команде, готовность к обучению и развитию. Создание дружелюбной обстановки. Предоставление первоклассного обслуживания каждому Гостю. Подготовка ресторана к открытию и закрытию. Проведение генеральных уборок. Поддержание чистоты и порядка в зале в течение рабочего дня. Осуществление продаж блюд и напитков Гостю. Обслуживание банкетных и фуршетных мероприятий.",https://hh.ru/vacancy/124115742
Официант в ресторан Gussi(м.Лубянка),Сигма Констракшен,200.0,,,,'3-5,От 1 года до 3 лет,ТК,"5/2, 4/2, 3/3, 2/2, 3/5",,"питание, бесплатное питание, обучение","⭐️Создание уютной и теплой атмосферы в ресторане; ⭐️Консультирование гостей по меню, барной и винной карте; ⭐️Подготовка ресторана к открытию и закрытию смены; ⭐️Соблюдение стандартов сервиса; ⭐️Участие в генеральных уборках; ⭐️Дарить гостям эмоции и яркие впечатления! ✅",https://hh.ru/vacancy/124784945
"Официант в ресторан ""Хорошая девочка""",Ресторанный холдинг Alba Group,190.0,,,,,От 1 года до 3 лет,ТК,"2/2, 4/3, 5/2",,"питание, бесплатное питание, обучение, чай",Предоставлять гостям качественный сервис; Грамотно‚ красиво и «вкусно» презентовать шедевры наших поваров; Делиться с окружающими своими улыбками и отличным настроением.,https://hh.ru/vacancy/125342685
Официантка / официант,Омега,200.0,250.0,,,,От 1 года до 3 лет,ТК,2/2,,питание,Медицинская книжка обязательно. Правильно поставленная речь.,https://hh.ru/vacancy/125332684
"Официант в ресторан ""The Pivo""",Ресторан The Бык (ИП Межлумова Ирина Юльевна),150.0,,2000.0,166.66666666666666,'3-4,Нет опыта,ТК,3/4,,"питание, бонус, бонусы, обучение, чай",Консультировать гостей по меню и барной карте; Соблюдать стандарты компании; Обслуживать гостей‚ подавать блюда и напитки (есть раннеры); Проводить подготовку ресторана к открытию/закрытию и приему гостей.,https://hh.ru/vacancy/124123931
Официант в ресторан Северяне,Василёк,200.0,,,,,От 1 года до 3 лет,ТК,"2/2, 3/3",,"питание, бесплатное питание, транспорт","Поддержание общения с гостями и обратная связь о качестве блюд, напитков и атмосфере ресторана. Обслуживание гостей согласно стандартам ресторана. Безупречное знание меню и ассортимента бара. Высокий уровень коммуникабельности, развитая эмпатия, легкость в общении с людьми любого статуса, но при этом отсутствие навязчивости.",https://hh.ru/vacancy/124294129
"Официант (Русаковская улица, 31)",Мегатрон,100.0,,,,,От 1 года до 3 лет,ТК,2/2,,"питание, бесплатное питание, чай",Подготовка ресторана к открытию; Контроль над чистотой зала ресторана; Работа с кассой R-Keeper (v.6); Закрытие ресторана.,https://hh.ru/vacancy/124490427
Официант,Трапеза,200.0,250.0,,,,От 1 года до 3 лет,ТК,5/2,,"питание, форма, бонус, бонусы",Обслуживание гостей • Работа с Iiko • Соблюдение шагов сервиса принятых в сети • Участие в ген.уборках • Подготовка ресторана к открытию и закрытию,https://hh.ru/vacancy/125093726
Отельный официант в клубный дом,Ресторанный комплекс Подмосковные вечера,150.0,,,,,От 1 года до 3 лет,ТК,"2/2, 3/3, 5/2, 2/5",,"питание, чай","1. Сервировка стола в соответствии с установленными стандартами; 2. Контроль чистоты, состояние и комплектность приборов, посуды, скатертей и салфеток; 3. Работа с меню; 4. Консультирование гостей ресторана об особенностях блюд и напитков. 5. Прием заказов от гостей ресторана. 6. Участие в инвентаризации посуды, стекла, приборов; 7. Подача блюд и напитков согласно установленным правилам обслуживания. 8. Предоставлять счет гостям, получать плату по счетам. 9. Информировать руководство ресторана об имеющихся недостатках в обслуживании гостей, принимать меры к их ликвидации. Требования к кандидатам: 1. Опыт работы официантом в сегменте премиум от 2 лет, опыт работы в отелях; 2. Знание свободного разговорного английского ОБЯЗАТЕЛЬНО! 3. Знание стандартов сервировки и обслуживания; 4. Опыт работы в R-Keeper; 5. Опыт работы с банкетами; 6. Активность, и желание быть в самом центре мероприятий, организованных на самом высоком уровне! Условия работы: 1. График работы сменный 2/2, 3/3, 5/2, 2/5 - любой удобный для вас. Время начала и окончания рабочего дня с 11.00 до 23.00; 2. Выход в смену от 7 000 руб. + % от банкетов, &quot;чай&quot; (зависит от опыта и квалификации); 3. Бесплатное проживание в доме для сотрудников на территории ресторанного комплекса; 4. Корпоративное 3-хразовое питание; 5. Оформление медкнижки, ежегодный медицинский осмотр за счет работодателя; 6. Собственная парковка для автомобилей сотрудников; 7. Действует система A la carte",https://hh.ru/vacancy/124900516
Официант в ресторан Peach,Agalarov Development,200.0,,,,,От 1 года до 3 лет,ТК,2/2,,"питание, бесплатное питание, обучение",Подгoтoвкa зала к oткрытию и закрытию рестoрана Bстpеча и oбслуживaниe гостей ресторана Консультиpoвaниe гоcтей реcтoрaна Поддepжaниe чистoты и поpядка на paбочем меcте Высокий сервис обслуживания Наши ожидания: Опыт работы обязателен в ресторанах Москвы от 3х лет Презентабельный внешний вид Грамотная речь Желание расти и развиваться,https://hh.ru/vacancy/125312216
Официант в ресторан Saviv (Москва),Fresa'S Group,130.0,160.0,,,'10-12,Нет опыта,ТК,10/12,,,"Консультирование гостей, помощь в выборе блюд и напитков. Соблюдение стандартов сервиса и гостеприимства. Поддержание доброжелательной атмосферы. Подготовка ресторана к открытию...",https://hh.ru/vacancy/123943624
Официант в ресторан LOONA (метро Тверская),Ресторан LOONA,200.0,,,,,От 1 года до 3 лет,ТК,5/2,,"питание, форма, униформа","Обслуживание гостей, согласно высоким стандартам сервиса; Помощь гостям в выборе блюд и напитков; Контроль чистоты зала, сервировка столов; Работа с go-листом ресторана; Активные продажи, работа с наполняемостью чека; Поддержание атмосферы гостеприимства и радушия; Работа с программой R-keeper.",https://hh.ru/vacancy/124840039
