Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Менеджер продукта MAX (Переписки),VK,,,,,,От 3 до 6 лет,ТК,5/2,,форма,Проводить задачи через весь цикл продуктовой разработки — от формулирования гипотез до измерения эффекта после запуска изменений в продукте. ,https://hh.ru/vacancy/125488798
Продакт-менеджер,Национальная система платежных карт,,,,,,От 3 до 6 лет,ТК,5/2,,"страхование, форма, премии, кофе","Формирование стратегии развития сервисов и технологий в платежной сфере Мониторинг инноваций в области платежей и переводов и нетранзакционных сервисов Участие в формировании стратегии развития сервисов платформы мобильных платежей и других выбранных направлений и инициатив в рамках подразделения Формулирование и проверка продуктовых гипотез, перспективных идей и направлений развития сервисов и продуктов Организация пилотирования сервисов по результатам проверки гипотез, формирование отчетности о результатах проверки и пилотирования гипотез Анализ данных и мониторинг ключевых показателей стратегии, внесение изменений в случае необходимости Формирование продуктового видения для запуска маркетинговых кампаний, PR коммуникации и поиска потенциальных партнеров для реализации сервисов и продуктов Формирование бэклога задач, гипотез, перспективных идей и направлений развития сопровождаемых сервисов и продуктов 2. Реализация новых сервисов и продуктов, поддержка реализованных сервисов и продуктов в рамках стратегии развития компании: Координация и организация работы команд, приемка результатов реализации Поддержка актуальной информации по сервисам и продуктам на ресурсах компании Управление рисками Контроль сроков реализации, ведение статуса реализации Ведение договорной документации Анализ данных и мониторинг ключевых показателей развития и состояния сервисов и продуктов Управление правилами, тарифами и стандартами Управление закупками и контрактами, планирование и исполнение бюджета Формирование отчетности о результатах текущей деятельности Мы ожидаем: Высшее образование Опыт работы в финансовом/финтех секторе по направлению разработки или сопровождения продуктов или проектов в роли руководителя проектов/портфеля проектов или владельца продукта/продуктов от 5-ти лет Опыт разработки и внедрения карточных/финансовых/транзакционных продуктов Опыт работы в продуктах или проектах различной направленности (внедрение ИТ систем, запуск новых функций в компании, запуск новых бизнес-сервисов, трансформации внутри компании и тому подобное) Опыт подготовки отчетов и презентаций Навыки организации работы продуктовой команды Навыки работы с большим объемом информации (аналитика) Коммуникационные навыки, опыт проведения встреч и переговоров Уверенный пользователь MS Office/ аналогов Проактивность, настойчивость и умение добиваться результата в сложных условиях",https://hh.ru/vacancy/125436763
Product marketing manager,SberTech,,,,,,От 3 до 6 лет,ТК,5/2,,"ДМС, страхование, форма, бонус, скидки","разрабатывать и реализовывать Go-To-Market стратегию для продуктового портфеля, определять и контролировать метрики успешности: лидогенерация, сделки, выполнение плана по выручке определять состав маркетинговой упаковки и разрабатывать необходимый набор артефактов формировать гипотезы по улучшению состава продуктового портфеля и проверять их на глубинных интервью проводить кабинетные исследования в рамках продуктового портфеля и работать с внешними исследователями взаимодействовать с отделами продаж и pre-sale, ставить задачи маркетинговым командам – для выполнения маркетингового и контент-планов Что мы ждем от тебя: высшее техническое образование понимание методологии и инструментов продуктового маркетинга в B2B сложных ИТ-продуктов подтвержденный опыт управления комплексными проектами опыт вывода проектов и продуктов на рынок ·аналитические и организаторские навыки знание английского языка (будет плюсом) Работа в СберТехе — это: гибридный формат работы годовой бонус и ежегодный пересмотр зарплаты статус аккредитованной ИТ-компании со всеми преимуществами расширенный ДМС с первого дня и льготное страхование для семьи корпоративный университет Сбера, внутренняя образовательная платформа, участие в IT-конференциях офис с видом на набережную, зонами отдыха и спортзалом 90 дней удаленной работы льготная ипотека в Сбере, подписка СберПрайм+, скидки от партнеров и сервисов группы компаний.",https://hh.ru/vacancy/125519510
Brand Manager / Бренд менеджер / Менеджер по продукту (Rx),Озон Хелскеа Рус,278.3,278.3,,,,От 1 года до 3 лет,ТК,5/2,,"ДМС, бонус","Аналитика: Анализ рынков и конкурентной активности; Планирование прогноза продаж (краткосрочное и долгосрочное); Анализ ценообразования Стратегия: Управление продуктом – разработка и реализации маркетинговой и медийной стратегии по брендам; Формирование ценообразования на продукт; Вывод новых продуктов: разработка стратегии запуска, разработка материалов для отдела продаж (Product Launch) Планирование маркетингового бюджета по каждому продукту согласно статьям расходов Тактика: Участие в разработке и контроль за исполнением тактических задач по бренду: ведение рекламных кампаний (СМИ, ТВ, интернет), PR активности; Разработка руководств и материалов для отдела продаж; Разработка брендбука продукта и POS-материалов; Контроль исполнения маркетингового бюджета в соответствии с утвержденным планом; Достижение поставленных целей в работе с АС, контроль обеспечения целевой дистрибуции продуктов; Взаимодействие с коммерческим отделом для проведения трейд-маркетинговых активностей.",https://hh.ru/vacancy/125459310
Продакт-менеджер,Wolta,,,,,,От 3 до 6 лет,ТК,5/2,,"ДМС, форма, обучение","Ведение полного жизненного цикла продукта от идеи и запуска производства до вывода из ассортимента; Управление товарной категорией, выполнение плановых показателей по категории (выручка, рентабельность, оборачиваемость, дефицит, качеству и сервису); Разработка и формирование ассортиментной матрицы, определение позиционирования продукта на рынке; Разработка и реализация стратегии продвижения продуктов; Анализ динамики продаж, выявление факторов прироста или спада, анализ продаж в разрезе каналов сбыта и типов клиентов. Составление прогнозов и планирование закупок на основании факторного анализа продаж. Краткосрочное и долгосрочное планирование; Проведение маркетинговых исследований: оценка емкости рынка, конкурентов, анализ клиентской базы. Формирование конкурентных преимуществ; Проведение обучений для торговой команды компании и торговых команд клиентов. Определение целевого перечня, себестоимости и цены продажи продукции, переговоры с поставщиками и производственными площадками по их достижению; Ценообразование: постоянный мониторинг цен конкурентов, оперативная корректировка цен, предоставление клиентам индивидуальных скидок и условий; Поиск поставщиков и переговоров с ними, заказ образцов, организация тестирования; Взаимодействие с производством по вопросам качества продукции; Контроль за нормативами товарного запаса: поддержание согласованного уровня товарного запаса во избежание дефицитов и оверстоков, оперативное принятие мер по их ликвидации. Взаимодействие с отделом логистики по вопросам отгрузок. Техническая и маркетинговая поддержка продаж и совместная работа по проектам с отделом продаж; Разработка маркетинговых материалов (презентации, каталоги, демообразцы и т.д.); Участие в отраслевых семинарах, конференциях, выставках; Обеспечение актуальной информации о продукции внутри и вне компании; Подготовка отчетности. Ожидания от кандидата: Релевантный опыт работы в сфере светотехники от 2-х лет; Высшее образование. Желательно техническое; Отличное знание правил и методик управления продуктовым направлением в полном объеме; Опыт формирования ассортимента, его продвижения, участия в разработке и выводе на рынок новых изделий; Знание основ бизнес-планирования: подготовка, презентация и защита. Умение строить и обосновывать прогнозы; Отличные презентационные навыки; Английский язык - способность читать и писать деловые письма; Нацеленность на результат, настойчивость, активная жизненная позиция, умение договариваться, аналитичность мышления, системность, самоорганизованность, способность работать с большими массивами данных для достижения конкретных целей анализа.",https://hh.ru/vacancy/125519481
Менеджер продукта / Product Manager,МойОфис,,,,,,Более 6 лет,ТК,5/2,Ежемесячно,"ДМС, питание, форма, обучение","Создание, приоритизация и управление бэклогом вверенного продукта; Работа по постоянному поиску точек роста продукта: проведение конкурентного анализа, определение базового функционала, целевых клиентских сегментов, создание дерева метрик и их отслеживание; Формирование и оформление требований в виде User Stories, а также Definition of Done и Acceptance Criteria по каждой внедряемой функции; Участие в проработке фичей совместно с системными аналитиками, UX/UI-дизайнерами, архитекторами; помощь в определении продуктово значимых инкрементов, проведение PBR с командами разработки; Помощь в подготовке релизной документации, создание battle-карт и внешних презентаций совместно с PMM; Формирование и реализация стратегии вверенного функционального блока; Приемка релизов у продуктовой команды разработки. Для нас важно: Опыт работы в роли менеджера продукта / Product Manager / Product Owner в компании с выстроенными бизнес-процессами от 5 лет (плюсом будет опыт в IT-компании, работа с веб-продуктами); Опыт управления продуктовыми метриками и экономикой продукта; Влияние на скорость развития продукта и достижение бизнес-результатов; Умение работать с крупными заказчиками, проведение переговоров и презентаций; Успешная постановка больших и долгосрочных целей, определение ключевых вех на пути к их достижению; Умение определять и описывать ключевые сценарии и моменты пользовательского опыта; Самостоятельное принятие решений на основе показателей в условиях высокой неопределенности; Высокий уровень компетенции в создании и развитии клиентоориентированных продуктов и ценообразования («сегмент — ситуация — проблема — решение — выгода»); Организация производства и знание Agile, Scrum, SAFe; Умение эффективно взаимодействовать в команде (сейлы, аналитики, разработчики и др.).",https://hh.ru/vacancy/124939658
Product Marketing Manager (Middle),Okko,,,,,,От 1 года до 3 лет,ТК,5/2,,"ДМС, скидки","Управлять запуском маркетинговых инициатив (от инициации идеи и сообщения, планирования проекта, до постанализа); проводить А/В-тесты; работать с сегментацией базы: разрабатывать сегментную офферную политику, проводить A/B-тесты офферов и продуктовых фич; вести документооборот по акциям, контролировать корректность механик выдачи офферов; разбираться в механиках вовлечения и удержания пользователей; настраивать аналитику, формировать ТЗ на исследования, дашборды и ad-hoc запросы, приоритезировать задачи аналитики; владеть всеми ключевыми метриками (retention, LT, arpu и др.) и понимать логику их расчёта; формировать карты сервисных коммуникаций и актуализировать их; управлять процессом создания креативов для промо-точек в сервисе; писать брифы на дизайн и копирайт; работать в связке с коммуникациями для формирования плана подсветки акций и продуктовых фич; синхронизировать планы со смежными командами, формировать отчетность. Мы ждем, что ты: Имеешь опыт работы в продуктовом маркетинге, growth или data-driven менеджменте от 2-х лет; умеешь управлять кросс-командными процессами и проектами; знаешь принципы A/B тестирования и сегментации базы; умеешь писать ТЗ, понятное аналитическим командам и общаться с ними на одном языке; имеешь опыт работы с продуктовыми и аналитическими командами; обладаешь сильными аналитическими навыками и разбираешься в ключевых метриках; понимаешь ключевые принципы вовлечения и удержания клиентов; умеешь мыслить системно и погружаться в детали; обладаешь высоким уровнем самоорганизации и тайм-менеджмента; умеешь работать в условиях многозадачности и быстро меняющегося рынка.",https://hh.ru/vacancy/125391096
Менеджер продукта (AMT),Группа компаний Астра,,,,,,От 3 до 6 лет,ТК,5/2,,"ДМС, форма","Определение видения и стратегии развития продукта, формирование целей и дорожной карты продукта для достижения ключевых метрик; - Исследование потребностей клиента, улучшение клиентских путей сервиса, анализ обратной связи пользователей; - Формирование и проработка бизнес-требований для команды разработки, формирование и приоритизация бэклога продукта; - Активное взаимодействие с внутренними и внешними партнерами, выстраивание необходимых договоренности по запуску продукта; - Организация эффективной работы с командой внутри продукта; - Обеспечение работоспособности продукта. Проведение инцидент-менеджмента в случае нештатных ситуаций.",https://hh.ru/vacancy/124433829
Senior Product Manager,Made of Storm,,,,,,От 3 до 6 лет,ТК,5/2,,бонус,"Определять цели продукта и декомпозировать их на понятные задачи. Планировать и запускать продуктовые релизы (MVP, пост-MVP, итерации). ",https://hh.ru/vacancy/125474652
Product Marketing Manager (EdTech),СберОбразование,,,,,,От 3 до 6 лет,ГПХ,3/2,,"страхование, форма, бонус, бонусы, скидки, обучение","Работать в тесной связке с командами продукта, разработки, продаж и академического блока; Участвовать в запуске продукта с нуля: исследовать рынок, аудиторию (дети и родители), генерировать и проверять гипотезы; Разрабатывать go-to-market стратегию и планировать продвижение продукта и новых фичей; Готовить брифы и ТЗ для дизайнеров, редакторов и подрядчиков с учётом особенностей детской аудитории; Планировать и запускать маркетинговые кампании: подбирать каналы, тестировать сообщения, работать с медиапланом; Проводить конкурентный анализ на детском рынке и выделять продуктовые преимущества; Совместно с коммерцией формулировать офферы для родителей, детей, школ; Собирать обратную связь от пользователей, выявлять инсайты и зоны роста; Следить за релизами, продвигать продукт в рамках общего маркетингового плана; Формулировать и тестировать маркетинговые гипотезы, масштабировать успешные решения.",https://hh.ru/vacancy/124324021
