Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Бармен / Бариста (Аэропорт Внуково),Винегрет кафе,80.0,110.0,4800.0,400.0,12.0,Нет опыта,ТК,"2/2, 3/1, 3/2, 5/2, 6/1",,"питание, бесплатное питание, форма, униформа, бонус, бонусы, кофе","Приготовление кофейных, алкогольных и прохладительных напитков Соблюдение стандартов сервиса и обслуживания Консультация гостей по ассортименту и ценам Прием заказа и расчет гостей Поддержание чистоты и порядка на рабочем месте Заинтересовала вакансия - звони, пиши, откликайся!",https://hh.ru/vacancy/124287300
Начинающий бариста в кофейню (м. Войковская/МЦК Коптево),FAVORIT MOTORS,70.0,,,,,Нет опыта,ТК,2/2,Ежемесячно,кофе,Прием и выкладка товаров. Поддержание чистоты в кофейне. Помощь гостю при выборе в меню. Приготовление самых вкусных напитков.,https://hh.ru/vacancy/118276046
Бариста OnePriceCoffee в ТЦ Ривьера,Академия Максимус,59.0,,,,,Нет опыта,ТК,"2/2, 3/2, 4/2",,"форма, кофе","ONE PRICE COFFEE - самая быстро развивающаяся сеть кофеен формата &quot;Coffee to Go&quot;. Работая у нас, Вы сможете получить бесценный опыт приготовления напитков, который пригодится не только в работе, но и в повседневной жизни ✅Мы предлагаем: Официальное трудоустройство Обучения мастерству бариста (оплачиваемое с нашей стороны) График 2/2; 3/2; 4/2 на ваш выбор по 6,8,9 часов Полностью &quot;белая&quot; заработная плата Реальная возможность роста до старшего бариста и управляющего! Подбираем ближайшую к месту жительства кофейню Дружный коллектив ✅Что нужно делать? Готовить самые вкусные напитки Консультировать наших гостей по ассортименту Соблюдать стандарты обслуживания Работать с кассой Поддерживать чистоту в кофейне",https://hh.ru/vacancy/121502242
Бариста в кофейню (м. Парк Культуры),rockets.coffee,85.0,,,,,Нет опыта,ТК,5/2,2 раза в месяц,"питание, бесплатное питание, форма, обучение, кофе","Консультировать гостей в выборе кофейного зерна или другой продукции. Вакансия подходит для <highlighttext>бариста</highlighttext>, <highlighttext>бариста</highlighttext> в сеть кофеен, сотрудник бара, сотрудник...",https://hh.ru/vacancy/124812160
Шеф-бариста,Турт Де Франс,96.0,120.0,,,,От 3 до 6 лет,ТК,5/2,,"питание, форма, униформа, премии, обучение",Создание и обновление барной карты. - обучение сотрудников. - контроль настроек помола и работа по весам. - контроль сроков годности кондитерских изделий и...,https://hh.ru/vacancy/125425349
Бариста,Мир,90.0,120.0,,,,Нет опыта,ГПХ,"2/2, 3/3, 4/2",,"премии, скидки, обучение, кофе","Учиться варить идеальный кофе и другие напитки по нашим рецептурам. Общаться с гостями, помогать им с выбором, делиться хорошим настроением. ",https://hh.ru/vacancy/124978196
Бариста в Cream Soda,Эрфольг,75.0,95.0,4560.0,380.0,12.0,От 1 года до 3 лет,ТК,2/2,2 раза в месяц,"питание, бесплатное питание, форма, кофе","Приготовление напитков (фреши, авторские напитки, кофейные напитки и тд.); Расчет гостей, работа с кассой за баром (обучаем); Соблюдение правил внутреннего порядка; Соблюдение норм СанПин; Подготовка бара к открытию и закрытию смены; Консультировать гостей по меню при необходимости и поддерживать атмосферу заведения.",https://hh.ru/vacancy/125328380
Бариста кассир,МЕСТО ВАРЕНЬЯ (ИП Галоян Ольга Андреевна),78.0,85.0,4200.0,350.0,'8-12,Нет опыта,ТК,"5/2, 8/12, 2/3",2 раза в месяц,"питание, бесплатное питание, премии, кофе","Готовить напитки — от классики (эспрессо, капучино) до наших фирменных авторских рецептов. Работать с гостями — улыбаться, подсказывать, делать вкусный кофе и...",https://hh.ru/vacancy/123281361
Бариста в Artplay,Криптон,5.0,5.0,,,,Нет опыта,ТК,2/2,,кофе,Приготовление потрясающе вкусных кофейных напитков - Любезное общение с гостями - Поддержание порядка на точке - Активное участие в жизни проекта - Приемка продукции - Поддержание чистоты в баре и уютной атмосферы,https://hh.ru/vacancy/125326103
Бариста,Elmix Coffee,0.4,0.4,,,,Нет опыта,ТК,5/2,,"кофе, чай","Соблюдение стандартов обслуживания и сервиса Приготовление кофейных и чайных напитков по тех. карте Работа с продукцией витрины (выпечка, готовые полуфабрикаты, десерты) Работа с кассой Соблюдение чистоты и правил безопасности питания",https://hh.ru/vacancy/125381847
Старший бариста,Alex&Milana,100.0,120.0,,,,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,"обучение, кофе, чай",Обслуживание гостей. Работать за кассой. Составление графика. Обучение <highlighttext>бариста</highlighttext>. Сдавать ежедневные отчеты по должностной инструкции. Поддерживать дружелюбную атмосферу в нашей...,https://hh.ru/vacancy/125377235
