Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
HR-аналитик,Чижик,,,,,,От 1 года до 3 лет,ТК,5/2,Еженедельно,"ДМС, форма","Подготовка регулярной HR-отчетности по численности персонала, производительности и текучести кадров с периодичностью: еженедельно, ежемесячно и ежеквартально; Формирование отчетов на основе данных из SAP HR и корпоративных хранилищ данных (КХД); Выступление заказчиком автоматизации отчетности: участие в разработке и внедрении BI-инструментов и дашбордов; Ответы на разовые запросы по HR-данным и аналитике; Развитие системы отчетности по своему направлению; Внедрение и тестирований изменений отчетности. УСПЕШНЫЙ КАНДИДАТ ИМЕЕТ: Высшее образование, предпочтительно экономическое или математическое; Опыт работы в HR-аналитике от 1 года; Уверенное владение Excel, в том числе сводными таблицами; Знание SAP HR и опыт работы с корпоративными хранилищами данных; Навыки работы с SQL, Python, Power BI будут преимуществом; Внимательность, ответственность, умение работать с большими объемами данных.",https://hh.ru/vacancy/125455474
HR-аналитик,Солар,,,,,,От 1 года до 3 лет,ТК,5/2,,"ДМС, форма, премии, скидки, чай","Создание и поддержка дашбордов по HR-показателям; Настройка доступов к BI аналитике; Создание макросов EXCEL для обработки данных; Настройка отчетов в 1С; Участие в подготовке прогнозов исполнения бюджета: сбор данных по факту, расчет прогноза, подготовка данных для дашбордов по бюджету; Сопровождение вверенных подразделений с точки зрения бюджетного контроля и hr-аналитики; Участие в автоматизации процессов по своему направлению деятельности; Возможность участия в других проектах в C&amp;B Мы ожидаем: Опыт построения дашбордов в Power BI; Отличное знание Excel (сложные формулы, Query, VBA); Базовые знания SQL; Опыт формирования отчетов в 1С; Понимание структуры P&amp;L и расходных статей HR будет преимуществом",https://hh.ru/vacancy/125403528
"Стажер/Младший менеджер по персоналу в отдел кадров (КДП, HR-аналитика)",КРОК,,,,,,Нет опыта,ТК,24/7,,"ДМС, форма, транспорт, кофе, чай","Вдумчиво и внимательно работать с документами, систематизировать рабочие процессы; Вести кадровые процессы (начинаем с самых простых и двигаемся к крупным, таким как оформление сотрудника на работу, увольнения, кадровые перемещения), участвовать в разработке локальных нормативных актов, работать с архивом кадровых документов; Участвовать в HR-проектах, высказывать свое мнение и находить оптимальные решения; Участвовать в автоматизации бизнес-процессов в HR. Наша команда и так Digital, но нет предела совершенству. Что ожидаем от тебя: Хочешь получить опыт работы в кадровом делопроизводстве и развиваться в этом направлении; Можешь взяться за несколько задач сразу и уверенно их решить; Ловишь дзен в нестандартных рабочих ситуациях и не теряешь фокус; Владеешь Word и Excel как уверенный пользователь; Умеешь систематизировать информацию и обладаешь аналитическими способностями; Открыт к общению – тебе предстоит много работать с людьми, а они – основа нашего бизнеса.",https://hh.ru/vacancy/124789228
HR-аналитик данных (Стажер),РУСАЛ,,,,,,Нет опыта,ТК,5/2,,"ДМС, форма, скидки",Проверка и подготовка исходных данных для анализа и отчетов; Моделирование расчета и разработка визуализации HR-показателей; Организация процесса передачи данных из 1С (ЗУП) в аналитические системы; Поддержание актуальности справочников и обеспечение достоверности данных.,https://hh.ru/vacancy/125344226
HR-аналитик,Альфа-Банк,,,,,,От 3 до 6 лет,ТК,5/2,,"ДМС, форма, скидки","Проводить A/B-тесты и эксперименты для оценки HR-инициатив и программ обучения. Создавать дашборды (Power BI) для визуализации ключевых метрик и результатов анализа. Анализировать данные по влиянию инструментов обучения и развития на ключевые показатели. Валидировать полученные данные и обеспечивать их качество. Помогать оптимизировать процессы адаптации, оценки и развития сотрудников через data-driven подход. Работать с SQL/Python для обработки данных, построения витрин и автоматизации отчетности. Наши пожелания к кандидатам: Знание Python, SQL, статистики. Навыки BI-визуализации (Power BI, Tableau или аналоги). Практический опыт A/B-тестирования и дизайна экспериментов. Понимание HR-метрик (отток, вовлеченность, эффективность обучения). Умение работать с большими наборами данных (ETL, дата-пайплайны). Способность анализировать большие объемы данных, структурировать выводы и доносить их в понятной форме. Понимание математической статистики на уровне проверки гипотез",https://hh.ru/vacancy/125150322
HR-аналитик,ГБУ МФЦ города Москвы Мои документы,,,,,'2-3,От 1 года до 3 лет,ТК,2/3,,форма,"Ведение и оптимизация регулярных отчетов, а также подготовка ad-hoc запросов для руководства с использованием инструментов Excel и онлайн-сервисов электронных таблиц Выгрузка и обработка данных для анализа из 1С, E-staff и других внутренних ресурсов Визуализация данных и аналитики в PowerPoint, а также построение дашбордов в Excel, DataLens и др. Оптимизировать процессы сбора и анализа данных, искать инсайды для HR-стратегии Участие в крупных проектах, влияющих на всю компанию",https://hh.ru/vacancy/124802928
Руководитель направления HR аналитики,Детский мир,,,,,,От 3 до 6 лет,ТК,5/2,,ДМС,"Аналитика HR-данных: Разработка и внедрение системы HR-метрик (KPI, OKR) для оценки эффективности персонала; Глубокий анализ данных по найму, увольнениям, вовлеченности, производительности, обучению и другим HR-процессам; Прогнозирование кадровых потребностей (workforce planning) на основе стратегии компании; Сегментация персонала для выявления рисков (текучесть, выгорание, лояльность). Визуализация и автоматизация: Создание интерактивных дашбордов необходим опыт работы в одном из инструментов-визуализаторов(Power BI, Tableau, Qlik Sense, Superset); Автоматизация процессов сбора, обработки и анализа данных (Python, SQL, VBA); Разработка и поддержка HR-отчетности (регулярной и ad-hoc). Data-Driven HR-стратегия: A/B-тестирование HR-инициатив (программы обучения, системы мотивации, рекрутинговые каналы); Разработка рекомендаций для HR-стратегии на основе данных. Коммуникация и презентация: Подготовка инсайтов для руководства и HR-команды; Объяснение сложных аналитических выводов в понятной форме для не аналитиков.",https://hh.ru/vacancy/124245490
HR-аналитик,Правительство Москвы,,,,,,От 1 года до 3 лет,ТК,5/2,,форма,Участие в создании кадровой аналитической платформы Правительства Москвы Анализ систем-источников данных Обеспечение методической поддержки BI разработчикам Консультация и проверка по вопросам расчета кадровых показателей Разработка мэппингов и справочников для упорядочения исходных кадровых данных Выполнение Ad hoc запросов,https://hh.ru/vacancy/125343813
HR Аналитик,12 STOREEZ,,,,,'10-15,От 1 года до 3 лет,ТК,10/15,,"ДМС, бонус, бонусы, скидки, обучение, кофе","Внедрять систему структурированной отчетности по HR-блоку (рекрутмент, обучение, развитие, компенсации и льготы и т.д.). Разрабатывать подходы к сбору...",https://hh.ru/vacancy/125120775
HR-аналитик,НМ-Тех,,120.0,,,,От 1 года до 3 лет,ТК,5/2,,,Построение HR-аналитики (1200+ сотрудников) Построение системы визуализации HR-метрик с auto-refresh дашбордам работа с большими массивами данных;,https://hh.ru/vacancy/125064890
