Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Кассир в итальянский ресторан,Oishii Food,100.0,112.0,,,,Нет опыта,ТК,4/2,,"питание, бесплатное питание, форма, униформа",Принимать заказы и рассчитывать гостей на кассе. Дружелюбно и оперативно обслуживать посетителей. Консультировать по меню. Поддерживать чистоту и порядок на...,https://hh.ru/vacancy/125120413
"Продавец-консультант, продавец-кассир",Полет,90.0,,,,,От 1 года до 3 лет,ТК,2/2,,"форма, бонус, бонусы, чай","Консультирование клиентов по ассортименту товаров, их свойствам и характеристикам. Помощь клиентам в выборе товаров с учетом их потребностей и пожеланий. Предоставление информации о текущих акциях и скидках. Проведение консультаций по дополнительным услугам (гарантии, покупки в онлайн-магазине, система лояльности и т.д.). Оформление покупки и проведение кассовых операций. Ведение отчетности о продажах и соблюдение дисциплины в кассовом учете Соблюдение правил кассового обслуживания. Участие в инвентаризации товаров на складе и в торговом зале. Поддержание чистоты и порядка на кассе и в торговом зале. Прием и выкладка товара на полки. Соблюдение стандартов обслуживания клиентов и корпоративных политик компании. Выполнение поручений руководителя Участие в тренингах и обучениях по продукции и продажам.",https://hh.ru/vacancy/124757670
Кассир-операционист,Голд Бизнес,90.0,,,,,От 3 до 6 лет,ТК,5/2,,ДМС,Прием или выдача денежных средств из кассы через систему. - Фиксация выдачи комиссии. - Направление запросов клиентов ответственному менеджеру. - Выдача (поиск) документов...,https://hh.ru/vacancy/125165155
Кассир,ОККИ,6.0,6.5,,,,От 1 года до 3 лет,ТК,"2/2, 3/3",2 раза в месяц,"питание, премии",Обслуживание покупателей на кассе. Ведение расчетов и оформление документов. Активные продажи и консультирование клиентов. Поддержание порядка на рабочем месте. ,https://hh.ru/vacancy/124713420
Кассир-шокофлорист,You & I,50.0,,,,,Нет опыта,ТК,2/2,,,"Расчет на кассе, подготовка размена; Реализация товара в при кассовой зоне; Сборка букетов из шоколадных роз; Упаковка продукции; Контроль за сроками и качеством продукции. Грамотная речь, Доброжелательность. Поддержание частоты и порядка.",https://hh.ru/vacancy/125213883
Кассир,ЕвроТрансСтрой,60.0,70.0,,,,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,"питание, скидки","Прием оплаты и расчет посетителей согласно меню кафе; - открытие и закрытие кассовой смены - ответственность за все кассовые операции (возвраты, отмена чеков и т д) - Ежедневный подсчет выручки. - Контроль наличия разменных денег - Ведение кассовой дисциплины (отсутствие недостач/излишков). Своевременная выкладка продукции , в том числе оформление витрин и выкладка недостающих позиций , с соблюдением стандартов оформления и выкладки. Чего мы ожидаем от вас: Опыт работы желателен, но также обучаем; Ответственность, желание обучаться; Доброжелательность к гостям. Условия работы: График работы 5/2 (с 8:00 до 17:00) , (9:00 до 18:00) выходные суббота и воскресенье и все праздничные дни.",https://hh.ru/vacancy/124325739
Кассир ледового катка,Айскор,70.0,75.0,4860.0,405.0,12.0,От 1 года до 3 лет,ТК,2/2,,"премии, бонус, бонусы",Открытие и закрытие рабочего дня на кассе - Осуществление кассовых операций; - Прием и выдача денежных средств; - Работа с банковскими картами; - Ведение кассовой документации; - Ежедневная сверка наличных денежных средств с кассовой документацией.,https://hh.ru/vacancy/125301016
Продавец-кассир,OFFPRICE,,59.0,,,,Нет опыта,ТК,64/27,,"бонус, бонусы, скидки, обучение",Поддерживаешь визуальный имидж магазина (работа с товаром в зале и примерочной). Занимаешься разбором поставок и вывеской товара в зал. ,https://hh.ru/vacancy/124161483
Продавец-кассир во флагманский магазин SuperStep,SuperStep,70.0,,,,,Нет опыта,ТК,5/2,,"бонус, бонусы, обучение","Консультации, демонстрация и продажа самых топовых брендов; Участие в организационных процессах магазина. МЫ ГАРАНТИРУЕМ ТЕБЕ: Конкурентную заработную плату (оклад + % с продаж) Постоянное обучение и карьерный рост (программы адаптации, тренинги - от продавца до директора за год - это про нас) Работу рядом с домом (наши магазины есть в лучших ТЦ по всей России ) Стильную форму (наша команда ходит только в топовых брендах) Гибкий график (много разных вариантов по графику) Настоящее сникер-коммьюнити (познакомишься с блоггерами и лидерами мнений) А еще топовые бонусы: скидка сотрудника, оплата питания, сертификаты за стаж работы Рассматриваем кандидатов без опыта работы! Но будет плюсом если ты работал в: Adidas, Декатлон, ИКЕА, Nike, Puma, H&amp;M, Zara, Rebоok, Детский Мир, МВидео, ЛеруаМерлен, OBI, Gloria Jeans, Триал-Спорт, Спортмастер, Urban Vibes, Calzedonia, Intimissimi, Amazing Red, Street Beat, ECCO, ANTA, New Balance, Boot Wood, Timberland, Lego, Спортмастер, O’Stin, Остин, Befree, бифри, Gloria Jeans, Gloria-Jeans, GJ, Глория Джинс, Sela, Zarina, Зарина, Детский мир, Дочки Сыночки, Дочки-сыночки, Defacto, LC Wa ikiki, Sinsay, Sin, Синсей, Reserved, H&amp;M, Cropp, House, Modis, Модис, Decatlon, Декатлон, MAAG, ECRU, DUB, VILET, Новая мода, Zara, Зара, Incity, Инсити, Inditex, Bershka, Massimo Dutti, Uterque, Pull&amp;Bear, Stradivarius, Oysho, Lefties, Ойшо, Бершка, Пулл энд Беар, Утерку, Массимо Дутти, Лефтиес, Kari, Кари, Intimissimi, Calzedonia, Кальзедония, Incanto, Calvin Klein, Collins, Коллинс, ТВОЕ, Levi’s, Mango, 12Storeez, Подружка, Familia, Фамилия, 5 карманов, Koton, Котон, Love Republic, New Yorker, Terranova, Терранова, Finn Flare, Фин Флэр, Zolla, Золла, Oodji, Оджи, Adidas, МВидео, Леруа Мерлен, OBI, SuperStep, Триал-Спорт, , FUN DAY, ZENDEN, KIABI, Киаби, RESPECT, TAMARIS, TERVOLINA, Хоум Маркет, Терволина, Nike, PUMA, Columbia, Modis, Demix, Mango, МВидео, Terranova, Эльдорадо, ИКЕА, Zolla, Oodj, Love Republic, Reebok, Связной, МТС, Мегафон, Билайн, Adidas, New Balance, Decathlon, Nike, Puma, Reebok, New Balance, и других сетях",https://hh.ru/vacancy/124272196
Кассир-раздатчик в студенческую столовую консерватории,ТАГАНКА-ЦЕНТР,70.0,80.0,,,,От 1 года до 3 лет,ТК,"5/2, 17/30",,чай,"Выкладка в зоне раздачи утром (овощи, салаты, хлеб, напитки и пр.) Выкладка в зоне раздачи в обеденное время (раздатчица) Работа с кассой Эвотор и банковским терминалом Работа в зоне раздачи Ставка в день 3 000-3 500 руб.",https://hh.ru/vacancy/124846635
