Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Личный официант Руководителя в офис,СоюзДонСтрой,150.0,,,,,От 3 до 6 лет,ТК,5/2,Еженедельно,"кофе, чай","Разработка личного питания с пожеланиями руководителя, составление меню кухни, барного меню (еженедельного и ежедневного); Приготовление, разлив, сервировка барной продукции (коктейли, чай/кофе) Индивидуальное ресторанное обслуживание Учредителя. (Принятие, сервировка, вынос заказа, уборка); Подготовка и организация зала для принятия гостей Учредителей; Мытьё, натирка и сервировка посуды по необходимости; Приобретение оборудования для приготовления напитков; Встреча гостей, размещение и обслуживания их в ресторанной зоне.",https://hh.ru/vacancy/125349307
Официант в новый ресторан,Perelman People,150.0,200.0,,,,От 3 до 6 лет,ТК,2/2,,"питание, форма, униформа","Обслуживание Гостей, помощь в выборе блюд и напитков. Приём и передача заказов на кухню и в бар, вынос готовых блюд...",https://hh.ru/vacancy/125259012
Официант,ATLANTICA seafood,250.0,300.0,,,,От 1 года до 3 лет,ТК,5/2,Еженедельно,,консультирование гостей по меню и напиткам поддержание чистоты на рабочем месте соблюдение стандартов сервиса Atlanatica Seafood От кандидата мы ждем : опыт работы от 1 года в ресторанах fine dining внимание к деталям наличие медицинской книжки или готовность ее оформить,https://hh.ru/vacancy/123913345
Официант в ресторан PHANTOM (м. Баррикадная),PHANTOM,220.0,,,,,От 1 года до 3 лет,ТК,2/2,,"питание, форма, униформа","Обслуживание гостей, согласно высоким стандартам сервиса; Помощь гостям в выборе блюд и напитков; Контроль чистоты зала, сервировка столов; Работа с go-листом ресторана; Активные продажи, работа с наполняемостью чека; Поддержание атмосферы гостеприимства и радушия; Работа с программой IIko.",https://hh.ru/vacancy/125388677
Официант,Ресторан LUCA,130.0,200.0,170000.0,14166.666666666666,'15-16,От 1 года до 3 лет,ТК,"15/16, 18/20, 5/2, 4/2, 3/3, 2/2, 2/1, 3/2, 4/3",,"питание, бесплатное питание, форма",Обслуживание гостей ресторана с соблюдением стандартов сервиса. Прием заказов и консультирование по меню. Подача блюд и напитков. Поддержание чистоты и порядка на рабочем месте. Участие в подготовке и проведении банкетов.,https://hh.ru/vacancy/124436543
Официант в ресторан Gussi(м.Лубянка),Сигма Констракшен,200.0,,,,'3-5,От 1 года до 3 лет,ТК,"5/2, 4/2, 3/3, 2/2, 3/5",,"питание, бесплатное питание, обучение","⭐️Создание уютной и теплой атмосферы в ресторане; ⭐️Консультирование гостей по меню, барной и винной карте; ⭐️Подготовка ресторана к открытию и закрытию смены; ⭐️Соблюдение стандартов сервиса; ⭐️Участие в генеральных уборках; ⭐️Дарить гостям эмоции и яркие впечатления! ✅",https://hh.ru/vacancy/124784945
Официант/кофе-леди/кофе-мен в офис,Ангажемент,100.0,,,,,От 1 года до 3 лет,ТК,5/2,,,"Работа официантом в ОФИСЕ компании: Обслуживание руководства и гостей компании во время деловых встреч (подача напитков, фруктов, угощений); Поддержание чистоты в офисной кухне; Контроль наличия продуктов и иных расходных материалов;",https://hh.ru/vacancy/125420594
Официантка / официант,Омега,200.0,250.0,,,,От 1 года до 3 лет,ТК,2/2,,питание,Медицинская книжка обязательно. Правильно поставленная речь.,https://hh.ru/vacancy/125332684
Официант,ICONFOOD,7.0,20.0,5000.0,416.6666666666667,12.0,Нет опыта,ТК,2/2,,"питание, бесплатное питание","Приветствие гостей, препровождение их к столику. Предложение меню, консультация. Приём и передача заказа на кухню. Сервировка стола. Оперативная реакция на запросы гостей. Обслуживание гостей, предложение дополнительных блюд и напитков.",https://hh.ru/vacancy/125309462
Официант в ресторан LOONA (метро Тверская),Ресторан LOONA,200.0,,,,,От 1 года до 3 лет,ТК,5/2,,"питание, форма, униформа","Обслуживание гостей, согласно высоким стандартам сервиса; Помощь гостям в выборе блюд и напитков; Контроль чистоты зала, сервировка столов; Работа с go-листом ресторана; Активные продажи, работа с наполняемостью чека; Поддержание атмосферы гостеприимства и радушия; Работа с программой R-keeper.",https://hh.ru/vacancy/124840039
