Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Мастер-барбер (м. Полянка),Fckng Barbers Community,100.0,200.0,,,,От 1 года до 3 лет,ТК,2/2,,премии,"Повышения квалификации: стрижки, укладки, сервис, косметика, трихология.",https://hh.ru/vacancy/124459891
Барбер (м. Бауманская),Fckng Barbers Community (ИП Тришина Наталия Владимировна),110.0,,,,,От 1 года до 3 лет,ТК,"2/2, 2/1",,"ДМС, премии, чай","В общем сокровище, а не кандидат).",https://hh.ru/vacancy/125278646
Барбер / Мужской парикмахер,Barberia,200.0,,,,,От 3 до 6 лет,ТК,4/2,,"обучение, кофе",Создание стильного мужского образа выполняя стрижку и бритье Поддержание высококлассного сервиса Создание дружелюбной атмосферы и гостеприимства для наших Гостей,https://hh.ru/vacancy/125266162
Барбер,Тароло Максим Викторович,150.0,,,,,От 3 до 6 лет,ТК,"4/3, 5/2",,форма,"Барбершоп BRITVA PRIME - новый премиальный формат с наивысшим уровнем сервиса Мы - лучшие в своем деле и ищем таких же уверенных в себе, смотрящих с нами в одном направление! Позитив - это главное! У нас весело, шумно и МНОгОзадачно! • Навыки от Вас: Стрижки - все варианты и направления. Бороды - моделирование и стрижка. Королевское бритье, бритье головы, чёрная маска, воск, тонирование.",https://hh.ru/vacancy/125283378
Барбер,Акиш Нури,5.0,,,,'10-12,От 3 до 6 лет,ТК,"5/2, 6/1, 10/12",,"скидки, проезд",Выполнение стрижек и укладок и оформление бороды Оформление бороды и усов. Консультирование клиентов по уходу за волосами и бородой. Поддержание чистоты и порядка на рабочем месте. Участие в жизни коллектива и развитие клиентской базы.,https://hh.ru/vacancy/124385180
Барбер,Иванов Глеб Алексеевич,,180.0,,,,От 1 года до 3 лет,ТК,64/27,,,Пунктуальность Аккуратность Вежливость Умение брить и стричь. Все виды стрижек. Знание продукции,https://hh.ru/vacancy/125264440
Барбер,Купоносов Павел,120.0,200.0,,,,От 1 года до 3 лет,ТК,"5/2, 6/1",Еженедельно,,"От Вас: - Опыт работы с мужскими стрижками и бородой, навыки работы с опасной бритвой. - Желание работать и зарабатывать, ответственность, порядочность...",https://hh.ru/vacancy/124607612
Барбер в барбершоп Chop X Chop (Пресня),Гадирова Любовь Валерьевна,90.0,200.0,,,,От 3 до 6 лет,ТК,"2/2, 3/1, 4/2, 5/2",2 раза в месяц,"бонус, бонусы, обучение","Профессиональное выполнение мужских и детских стрижек любой сложности - Моделирование и стрижка бороды и усов - Бритьё опасной бритвой - Консультирование по уходу - Поддержание чистоты и порядка на рабочем месте - Консультация клиента, помощь в подборе нового образа - Консультация в выборе профессиональной косметики по уходу в домашних условиях",https://hh.ru/vacancy/125295302
Барбер,Тюшнякова Виктория Михайловна,100.0,250.0,,,,Нет опыта,ТК,"5/2, 6/1, 4/2",Ежемесячно,"бонус, бонусы",Выполнение мужских и детских стрижек. Бритье и уход за бородой. Консультации клиентов по стилю стрижек и уходу за волосами. Продажа и консультации по косметическим средствам.,https://hh.ru/vacancy/125289956
Барбер,Филюшина Мария Юрьевна,120.0,,,,,От 1 года до 3 лет,ТК,"5/2, 6/1, 4/3",,,Выполнение мужских стрижек любой сложности. Работа с опасным лезвием и бородой. Консультирование клиентов по уходу за волосами и бородой. Продажа и рекомендация товаров для ухода. Поддержание чистоты и порядка на рабочем месте.,https://hh.ru/vacancy/125293704
Барбер ( Мужской парикмахер ),Барбершоп BarbarHome,100.0,400.0,,,,От 3 до 6 лет,ТК,"5/2, 6/1",,,Содержать в чистоте и порядке свое рабочее место.,https://hh.ru/vacancy/124644181
Барбер,Захарова Наталия,5.0,20.0,,,,От 1 года до 3 лет,ТК,"3/4, 5/2, 6/1",,,Требования: любить свое дело и быть профессионалом.,https://hh.ru/vacancy/124775623
Барбер/Парикмахер (с жильем),Барбершоп Betone (ИП Велиев Орхан Фазилович),150.0,250.0,,,,От 1 года до 3 лет,ТК,"40/60, 5/2, 4/3, 6/1",Ежемесячно,премии,"Опыт работы от 2 лет. Уверенное владение всеми видами стрижек. Чувство стиля, аккуратность и желание развиваться.",https://hh.ru/vacancy/124981030
Барбер,13 by Timati,150.0,,,,'3-6,От 3 до 6 лет,ТК,3/6,,скидки,"Создавать атмосферу релакса для клиента. Делать профессиональные стрижки (мужские), моделирован ие бороды и другие услуги. Подбирать клиенту свой профессиональный уход...",https://hh.ru/vacancy/124223381
Барбер,Барбершоп Бурый,100.0,,,,,От 1 года до 3 лет,ТК,"15/68, 4/3, 5/2, 6/1",,,Выполнять стрижки любой сложности. Уметь работать с опасной бритвой. Консультировать клиентов по выбору подходящей стрижки и уходовой косметики. ,https://hh.ru/vacancy/125294172
Барбер,Бочаров Владимир,140.0,270.0,,,,От 1 года до 3 лет,ТК,6/1,,,готов нести ответственность за свою работу. -стрижки и укладки различных видов. -создание проекций бород с учетом особенностей силуэта лица. -,https://hh.ru/vacancy/124982192
Барбер-парикмахер,Бегов Хусрав Абдухалимович,130.0,200.0,,,,От 3 до 6 лет,ТК,6/1,,,Стрижки моделирование и бритьё бороды.,https://hh.ru/vacancy/124394013
Барбер,Пухтеев Константин Иванович,80.0,150.0,,,,Нет опыта,ТК,64/27,,проезд,Можешь стать другом для каждого гостя на время стрижки?,https://hh.ru/vacancy/124594244
Барбер в салон красоты Oasi (м. Динамо),Салон красоты Oasi,100.0,,,,'10-22,От 1 года до 3 лет,ТК,"4/6, 2/2, 10/22, 40/60",,,"Владение современными методами окрашивания и укладки /стрижки Окрашивание любой сложности Знание продуктов Loreal,Nashi,Kevin Merphy,lebel Умение работать в команде - выполнение процедур в 4/6 рук",https://hh.ru/vacancy/125356067
Барбер,TOPGUN Belyaevo,120.0,160.0,,,,От 1 года до 3 лет,ТК,"5/2, 3/4, 4/3",,,"Профессиональное выполнение мужских стрижек; Моделирование бороды, усов; Бритье опасной бритвой; Уход за кожей лица; Консультация клиента, помощь в подборе нового образа; Помощь в выборе косметики по уходу в домашних условиях. Требования к квалификации: Умение работать в команде. Желателен опыт работы в барберинге не менее 1 года. Профильное образование (желательно). Соблюдение профессионального этикета. Владение опасной бритвой, отличное владение триммером и машинкой. Отличное владение техниками мужских стрижек любой сложности. Наличие необходимых навыков и инструментов для работы. Коммуникабельность и умение найти подход к клиенту. Наличие мед. книжки и сертификатов или диплома Условия работы: Мы предлагаем работу в престижном заведении, стабильный и высокий доход, условия для развития. Возможность удвоить доход за первый год работы. Ожидаемый доход – от 120 000 рублей. Гарантированный выход – от 5 000 рублей (по результатам собеседования). График работы: 5/2, 3/4, 4/3 с 10:00 до 22:00. Дни выходных обсуждаются. Работа в благоустроенном районе в 200 м от метро. Высокая проходимость людей. Платежеспособная и доброжелательная аудитория. Программы обучения и повышения квалификации у ведущих барберов. Возможность профессиональной и творческой самореализации.",https://hh.ru/vacancy/124670795
Барбер (метро Киевская),1985 Barbershop,110.0,230.0,,,,От 1 года до 3 лет,ТК,"5/2, 4/3",2 раза в месяц,,"Московский городской гольф клуб. Цены на наши основные услуги: мужская стрижка от 2100р, моделирование бороды от 1600р. ",https://hh.ru/vacancy/124490213
Барбер/парикмахер Britva (Бибирево),Barbershop BRITVA (ИП Головков Петр Владимирович),90.0,200.0,,,,От 1 года до 3 лет,ТК,"6/1, 5/2, 4/3",,,"Стрижки - все варианты и направления. - Бороды - моделирование и стрижка. - Королевское бритьё, бритьё головы, чёрная маска, воск, тонирование. Какой",https://hh.ru/vacancy/125449647
Барбер,TOPGUN (ИП Комаров Игорь Николаевич),180.0,250.0,,,'1-3,От 1 года до 3 лет,ТК,1/3,,,"Профессиональное выполнение мужских стрижек; -Моделирование бороды, усов; -Бритье опасной бритвой; -Уход за кожей лица; -Консультация клиента, помощь в подборе нового образа; -Помощь в выборе косметики по уходу в домашних условиях. Требования к квалификации: -Умение работать в команде; -Профильное образование (Желательно); -Соблюдение профессионального этикета; -Владение опасной бритвой, отличное владение триммером и машинкой; -Отличное владение техниками мужских стрижек любой сложности; -Наличие необходимых навыков и инструментов для работы; -Обучаемость; -Коммуникабельность и умение найти подход к клиенту; -Наличие мед. книжки и сертификатов или диплома; -Стрессоустойчивость. Условия работы: -Мы предлагаем работу в престижном заведении, стабильный и высокий доход, возможность развиваться; -Гибкий график работы в дружеской атмосфере; -Карьерный и профессиональный рост; -Программа непрерывного обучения и повышения квалификации у ведущих барберов ; -Творческий коллектив единомышленников; -Возможность профессиональной и творческой самореализации. График работы и заработная плата обсуждаются на собеседовании.",https://hh.ru/vacancy/125358807
Барбер / мужской парикмахер (Алтуфьево),Barbershop BRITVA (ИП Головков Петр Владимирович),80.0,280.0,,,,От 1 года до 3 лет,ТК,"5/2, 4/3, 6/1",,,"Стрижки - все варианты и направления. - Бороды - моделирование и стрижка. - Королевское бритьё, бритьё головы, чёрная маска, воск, тонирование. Какой",https://hh.ru/vacancy/125449397
Барбер/Леди-барбер,Барбершоп Base.M,85.0,170.0,,,'3-5,От 1 года до 3 лет,ТК,"3/5, 5/2, 2/2, 3/2, 4/2",,,"Оказание качественных услуг Контроль чистоты рабочего места ✂️Предоставление высокого уровня сервиса Откликайтесь, мы рассмотрим всех кандидатов, если ты имеешь опыт работы : мастер мужских стрижек, barber, мастер барбершоп, специалист барберинга, мастер детских стрижек.",https://hh.ru/vacancy/124429370
Барбер,Мужская парикмахерская - Barbershop Я,80.0,200.0,,,,От 1 года до 3 лет,ТК,5/2,,,"Пунктуальность и ответственность. Тактичные навыки коммуникации с клиентами. Наличие полного пакета инструментов, которыми Вы способны пользоваться без кровопролития ;). ",https://hh.ru/vacancy/124580365
