Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Официант в ресторан ESHAK (г. Одинцово),Ресторанный холдинг Alba Group,120.0,,,,,От 1 года до 3 лет,ТК,2/2,,"обучение, чай",Предоставлять гостям качественный сервис; Грамотно‚ красиво и «вкусно» презентовать шедевры наших поваров; Делиться с окружающими своими улыбками и отличным настроением.,https://hh.ru/vacancy/120241659
Официант,Эшта,130.0,150.0,,,,Нет опыта,ТК,"2/2, 5/2, 6/1",,"питание, бесплатное питание",Принятие заказов у гостей Раздача блюд и напитков,https://hh.ru/vacancy/124579994
Официант,Кинто,3.0,10.0,,,,От 1 года до 3 лет,ТК,5/2,Ежемесячно,питание,Обслуживание гостей с улыбкой и вниманием к деталям. Поддержание чистоты и порядка в зале. Приготовление напитков и коктейлей (приветствуются навыки бармена).,https://hh.ru/vacancy/124980481
Официант,Пронто,100.0,,,,,Нет опыта,ТК,5/2,,"питание, чай","Встреча и размещение гостей; Консультирование гостей ресторана по меню, помощь в выборе блюд, сервировка стола, принятие заказа, вынос блюд; Соблюдение и поддержание чистоты в зале; Создание доброжелательной и уютной атмосферы; Банкетное обслуживание. Денежные расчеты через кассу;",https://hh.ru/vacancy/117422469
Официант в Alaska Pool Club,Lucky Group,200.0,,3250.0,270.8333333333333,13.0,От 1 года до 3 лет,ТК,"2/2, 4/3, 5/2",,"питание, форма, скидки, транспорт, кофе, чай","﻿﻿Делиться гостеприимством, показывать гостям знаменитый Lucky сервис; Быть проводником для гостей в атмосфере Lucky; Создавать настроение, угадывать желания гостей и делать их встречу с нами особенной. В каждом кандидате мы ценим : ﻿﻿Неравнодушие к индустрии, желание следить за трендами; Способность к быстрой адаптации в динамичной среде; Высокий уровень самоорганизации; ﻿﻿Проактивность и стремление узнавать новое; Умение найти индивидуальный подход к каждому гостю. Работа в Lucky Group — это возможность стать частью команды, которая ценит качество и стремится к совершенству. Мы ищем людей, готовых делиться своими идеями и вносить вклад в развитие компании. Если вы хотите развиваться в сфере ресторанного бизнеса и готовы к новым вызовам, мы будем рады видеть вас в нашей команде! Вакансия актуальна для вас, если вы начинающий специалист без опыта или с опытом работы в компаниях: Ginza project, рестораны Раппопорта, Maison Dellos, BB group, Perelman people, Росинтер, Мираторг, She, Ресторанный Холдинг Тигрус, Alba group, ПушкинЪ, Гудман, Северяне, Доктор Живаго, Сибирь, Osteria Mario, Чайхана, Шоколадница, Якитория, Тануки, Stars Coffee, White Rabbit Family, Patriki, Novikov Group, Кофемания Наша вакансия также подойдет вам, если вы искали: работа официант, бармен, хостес, работа в ресторане, раннер, начинающий специалист без опыта, работа в премиальном ресторане",https://hh.ru/vacancy/122705278
"Официант в ресторан ""Траттория Минисыроварня"" в Сколково",Траттория МИНИСЫРОВАРНЯ,120.0,180.0,,,12.0,Нет опыта,ТК,"2/2, 3/3, 4/3, 5/2",2 раза в месяц,"питание, форма, униформа, обучение","Соблюдение стандартов компании при обслуживании гостей; Требования : опыт работы официантом будет преимуществом порядочность, активность, инициативность, доброжелательность- все эти качества безусловно приветствуются",https://hh.ru/vacancy/124289516
Официант,Березин Сергей Владимирович,80.0,100.0,,,,От 1 года до 3 лет,ТК,2/2,,питание,Принимать заказы Обслуживать гостей Выполнять сервировку столов,https://hh.ru/vacancy/124268491
Официант (ночные смены),Park Inn by Radisson Odintsovo,60.0,,,,,Нет опыта,ТК,"2/2, 3/3",2 раза в месяц,"питание, форма, униформа",Создание гостеприимной атмосферы - встреча и обслуживание гостей. Сервировка столов. Обеспечение чистоты и порядка в зале.,https://hh.ru/vacancy/125122578
Официант,Парксайд,100.0,130.0,,,,Нет опыта,ТК,6/1,,питание,"обслуживать гостей ,выполнять свои обязательства по работе",https://hh.ru/vacancy/124670480
Официант на рум-сервис (санаторий Барвиха),ФГБУ Комбинат питания Кремлевский,100.0,100.0,,,,От 1 года до 3 лет,ТК,2/2,2 раза в месяц,"питание, бесплатное питание","Обеспечение высокого уровня обслуживания гостей в номерном фонде. Сервировка, подача блюд и напитков. Обеспечение чистоты и порядка.",https://hh.ru/vacancy/122468701
