Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
QA Engineer,EGAR,,,,,,От 1 года до 3 лет,ТК,5/2,,"ДМС, форма, бонус, бонусы","Участие в тестировании программных решений (WEB, PWA); Тестирование микросервисов Front/Back; Разработка и актуализация тестовой документации; Участие в планировании, груминге, сопровождении релизов; Контроль процесса исправления выявленных ошибок ПО. МЫ ОЖИДАЕМ ОТ ВАС: Опыт в тестировании от 2 лет; Умение писать тест-кейсы и тест-планы; Знание базовых технологий веб-разработки (HTML, CSS); Опыт работы с Linux, навыки работы с командной строкой; Понимание принципов CI/CD и опыт работы с Jenkins, Openshift / Kubernetes; Опыт работы с тестированием API и инструментами (Postman / Insomnia); Опыт работы с Kafka; Опыт работы c OpenAPI (Swagger/Edoc); Опыт работы с реляционными базами данных; Понимание жизненного цикла разработки ПО и роли QA в этом процессе; Развитые коммуникативные навыки.",https://hh.ru/vacancy/125490215
QA инженер в команду Откликов,HeadHunter,,,,,,От 3 до 6 лет,ТК,5/2,,"ДМС, страхование, форма, скидки, обучение","обнаружение, документирование и отслеживание дефектов взаимодействие с разработчиками, аналитиками работа с автотестами - запуск, разбор падений, написание участие в проработке задач Что поможет попасть к нам в команду: знание методов и методик тестирования опыт тестирования сервисов backend / frontend / API опыт работы в командной строке linux-подобных операционных систем знание SQL на уровне построения запросов опыт работы с системами контроля версий опыт работы с системами учета багов (понимание процесса управления дефектами) знание JAVA, опыт написания автотестов умение работать с инструментами для тестирования REST API опыт работы QA инженером в Agile команде Что предлагаем мы: возможность гибридной и удаленной работы из любой точки мира комфортные офисы в 10 городах России ДМС с первого месяца работы со стоматологией, страхование жизни, страховка от несчастных случаев, страхование выезжающих за рубеж, скидки на программы ДМС для родственников 4 дей-оффа в год развитие и обучение сотрудников: курсы, тренинги, вебинары, менторство, участие в профессиональных конференциях Well-being-программа, которая помогает улучшить психологическое и физическое здоровье, а также разобраться с юридическими и финансовыми вопросами аккредитованная ИТ-компания",https://hh.ru/vacancy/125487864
QA-инженер,Рокетбанк,,,,,,От 3 до 6 лет,ТК,5/2,,"ДМС, форма","Проводить функциональное тестирование. В том числе, анализировать и тестировать требования Локализация найденных проблем, контроль процесса их исправления, регистрация в баг-трекинговой системе (JIRA/YouTrack) Работать в продуктовой команде в рамках Agile-процессов Разрабатывать тестовую документацию для проекта, в том числе приемочные критерии, и готовить тестовые данные Сопровождать релизы Мы рассчитываем, что у тебя есть: Знаете теорию тестирования, есть опыт работы в тестировании от 1 года Знаете тест-дизайн: умеете применять основные техники, составлять чек-листы и тест-планы под задачи Понимаете принципы работы реляционных СУБД и знаете SQL Есть опыт работы с REST API, Swagger, HTTP/HTTPS и JSON Умеете работать с системами логирования: отчетами, алертами и дашбордами Есть опыт работы с DevTools, снифферами трафика(Charles/Fiddler и другие), системами логирования Разбираетесь в Gitlab и понимание процессов CI/CD будут плюсом Опыт работы с Kubernetes (базовые навыки управления подами кластера) Что мы предлагаем для тебя: Работу в сильной драйвовой команде Сложные и амбициозные проекты для сервисов с сотнями тысяч пользователей. Возможность влиять на процессы и результаты в бизнесе Здоровое взаимодействие с руководителем. Ставим на доверие и свободу, вместо микроменеджмента Комфортную среду и дружескую коммуникацию. Мы любим и умеем классно проводить время. Бар-хоппинг, выходные в горах и круиз от Kuznya — три последних чек-ина команды Оформление в аккредитованную IT-компанию. ТК РФ: больничный, отпуск — всё как положено ДМС со стоматологией (после 3х месяцев работы) Зарплату в рынке, размер зависит от твоего уровня — готовы обсуждать Формат работы на выбор: удаленно, гибрид, офис Красивый и комфортный офис в центре Москвы. Коворкинг в Уфе и Новосибирске Гибкое начало дня, коммуникация в чатах только в рабочие часы и отсутствие переработок Технику и любые нужные для работы устройства Если откликнулось, приходи в команду. Будем вместе делать продукт, который перевернёт рынок финтеха.",https://hh.ru/vacancy/125523882
Middle QA инженер,Фирма Светец,,,,,,От 1 года до 3 лет,ТК,5/2,,,"Тестирование web-интерфейсов (клиентские личные кабинеты, страницы регистрации и авторизации) - Тестирование сценариев телефонных вызовов - Тестирование клиентских приложений (iOS, Android, MacOS, Windows, Linux) - программные телефоны (аналоги Viber, Skype, WhatsApp, Telegram) с использованием эмуляторов и реальных устройств - Составление отчетов о выявленных проблемах (JIRA) - Контроль обновлений и исправлений - Взаимодействие с командой разработки - Разработка программ и методик испытаний (Confluence, чек-листы, планы проверок)",https://hh.ru/vacancy/125446045
Младший тестировщик программного обеспечения / Junior QA Engineer,Тионит,35.0,60.0,,,,Нет опыта,ТК,5/2,,ДМС,"Разработка сценариев тестирования. Проведение функционального, регрессионного и интеграционного тестирования разрабатываемых систем (преимущественно web и мобильные приложения). Тестирование корректной работы адаптивной и кроссбраузерной вёрстки. Анализ, локализация и документирование обнаруженных дефектов в баг-трекинговой системе, последующий контроль их исправления. Анализ состояния продукта и выпускаемых обновлений, отслеживание регрессий между версиями, взаимодействие с разработчиками по улучшению качества продукта. Разработка тестовой документации и поддержание её в актуальном состоянии. Анализ результатов тестирования, подготовка отчетов о качестве тестируемого ПО. Техническая поддержка прода и коммуникация с заказчиком в рамках этой поддержки. Взаимодействие с проектной командой.",https://hh.ru/vacancy/125160238
"QA Engineer/Тестировщик, г. Москва (банковский проект)",EGAR,,,,,,От 1 года до 3 лет,ТК,5/2,,"ДМС, форма, бонус, бонусы","Ручное функциональное, регрессионное, интеграционное тестирование функционала; Тестирование и уточнение требований к новой функциональности; Создание и поддержание тестовой документации, тест - кейсов и чек-листов; Локализация и регистрация ошибок, контроль их исправления; Взаимодействие с командой в процессе проведения тестирования и работы с ошибками; Написание документации, пошаговых инструкций; Взаимодействие с бизнес-подразделениями. МЫ ОЖИДАЕМ ОТ ВАС: Опыт тестирования от 2 лет; Опыт разработки и ведения тестовой документации (ведение инструкций и справочной информации в wiki, чек-листов, тест-кейсов, тестовых наборов, тестовых запусков, тест-планов, bug report’ов); Опыт ведения систем отчетности тестирования (желательно TestIt); Опыт работы с баг/таск-трекинговыми системами; Опыт работы с базами данных Postgre, Oracle, знание SQL; Опыт тестирования web-сервисов и SOAP; Postman, Swagger. SOAPUI; Опыт тестирования методом «черного ящика»; Опыт тестирования в рамках проектов по импортозамещению; Опыт тестирования функционала без описанных требований, умение проводить аналитику; Знание этапов жизненного цикла ПО; Опыт проведения функционального, интеграционного, регрессионного тестирования. Опыт работы с процессинговыми системами – way4, smartvista, tieto, tsys prime/online, компас +, Lecton Sigma; Опыт работы с АБС ЦФТ; Опыт функционального тестирования автоматизированных банковских систем или финансовых расчётных систем; Опыт тестирования интеграции с внешними системами.",https://hh.ru/vacancy/125475671
QA Engineer/Тестировщик,ГЕТ ТРАК РУС,,,,,,От 1 года до 3 лет,ТК,5/2,,,"Написание тест-кейсов, чек-листов, баг-репортов; Ручное тестирование Web (функциональное, регрессионное, smoke); Тестирование требований; Поддержка актуального состояния тестовой модели; Работа с БД и написание SQL-запросов; Тестирование приложения на Android;",https://hh.ru/vacancy/125325597
"QA Engineer/Тестировщик (Middle,Senior)",X5 Tech,,,,,,От 3 до 6 лет,ТК,5/2,,"ДМС, страхование, форма, премии, скидки","Оценка временных затрат на проведение тестирования; Создание необходимой документации в рамках своей зоны ответственности, в соответствии с методологическими стандартами Компании (ПМИ, автоматизированные тестовые сценарии, функциональные тестовые сценарии, инструкции, отчеты о результатах тестирования); Проверка качества тестовых сценариев; Создание планов тестирования; Проведение функционального, регрессионного, интеграционного тестирования и анализ причин обнаруженных ошибок; Подготовка тестовых данных; Работа с дефектами – создание, анализ, контроль исправления и повторное тестирование; Актуализация тестовой модели; Создание, актуализация и прогон автоматизированных тестовых сценариев; Поддерживает и развивает существующие программные решения в рамках автоматизированного тестирования; Организует и проводит автоматизированное тестирование бизнес-процессов; Формирует список требований к автоматизации; Соблюдает требования к отказоустойчивости и масштабируемости решений.",https://hh.ru/vacancy/125517810
QA Engineer / Тестировщик г. Москва,EGAR,,,,,,От 1 года до 3 лет,ТК,5/2,,"ДМС, форма, бонус, бонусы","Участие в тестировании программных решений (WEB, PWA); Тестирование микросервисов Front/Back; Разработка и актуализация тестовой документации; Участие в планировании, груминге, сопровождении релизов; Контроль процесса исправления выявленных ошибок ПО. МЫ ОЖИДАЕМ ОТ ВАС: Опыт в тестировании от 2 лет; Умение писать тест-кейсы и тест-планы; Знание базовых технологий веб-разработки (HTML, CSS); Опыт работы с Linux, навыки работы с командной строкой; Понимание принципов CI/CD и опыт работы с Jenkins, Openshift / Kubernetes; Опыт работы с тестированием API и инструментами (Postman / Insomnia); Опыт работы с Kafka; Опыт работы c OpenAPI (Swagger/Edoc); Опыт работы с реляционными базами данных; Понимание жизненного цикла разработки ПО и роли QA в этом процессе; Развитые коммуникативные навыки.",https://hh.ru/vacancy/125346370
QA инженер (тестировщик),Эшелон Технологии,,110.0,,,,От 1 года до 3 лет,ТК,5/2,,"ДМС, форма",подготовка тестового окружения для проведения тестирования; составление тест-плана и написание тест-кейсов; выполнение всех видов тестирования ПО; составление отчетов и рекомендаций по результатам тестирования; верификация устранения выявленных замечаний.,https://hh.ru/vacancy/125430004
