Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Менеджер по продажам Дом Моды,Модный Дом Mastersuit,185.0,350.0,,,,От 1 года до 3 лет,ГПХ,5/2,,бонус,"Консультировать клиентов по услугам, наличию товаров, размеров. Формировать и оформлять заказы. Обрабатывать теплые и горячие заявки. Согласовывать встречи между нашим...",https://hh.ru/vacancy/123150193
Менеджер по продажам,Дельта системы безопасности,100.0,,,,,Нет опыта,ТК,5/2,Ежемесячно,"кофе, чай",Поиск клиентов В2В на закрепленной за сотрудником территории. Проведение личных встреч/телефонных переговоров. Консультирование существующих клиентов и поиск...,https://hh.ru/vacancy/123812782
Менеджер по продажам в салон t2,Сеть салонов сотовой связи ИЗЮМ,90.0,150.0,,,,Нет опыта,ТК,5/2,,"форма, обучение, чай","Продажа: смартфоны, гаджеты, аксессуары и финансовые продукты. Обслуживание: настройка и защита цифровой техники. Консультации: помощь клиентам в выборе и использовании техники. Что мы ждем от тебя: Желание зарабатывать и учиться новому. Интерес к современным гаджетам и технике. Умение работать в команде и поддерживать коллег. Дружелюбное отношение к клиентам. Наши преимущества: Наставничество: мощная поддержка в первые месяцы работы. Среда для развития: регулярные тренинги, вебинары, бизнес-игры. Дружеская атмосфера: юмор, неформальные вечеринки и поддержка. Приводи друга и получай 20 000 рублей. Выбирай для себя удобную станцию метро для будущей работы: м. Автозаводская м. Домодедовская м . Чертановская/Южная м . Первомайская м . Серпуховская м . Алтуфьево м. Пролетарская м. Новокосино м . Авиамоторная м. Марьина роща м . Бабушкинская м . Новоясеневская м. Чистые пруды",https://hh.ru/vacancy/106691521
Менеджер по продажам,ГК ЦЭР,100.0,200.0,,,,От 1 года до 3 лет,ТК,5/2,,обучение,Полный цикл работы с клиентами — от поиска до закрытия сделки. Продажа услуг экспертизы проектной документации. Ведение клиентской базы в CRM...,https://hh.ru/vacancy/121283264
Менеджер по продаже эксклюзивных проектов,Whitewill,,,,,,От 1 года до 3 лет,ТК,"5/2, 2/2",Еженедельно,"бонус, бонусы","оперативная обработка входящих обращений клиентов по стандартам компании; подбор объектов и назначение показов и встреч с клиентами; проведение показов в офисах продаж застройщиков или в офисе Whitewill; координация и курирование сделки до момента оплаты клиентом; отражение данных о своей работе в crm-системе компании; проведение брокер-туров на объектах и участие в еженедельных координациях команды. Работа менеджером отдела эксклюзивных проектов в Whitewill подойдёт вам, если: у вас есть опыт продажи жилых комплексов бизнес и премиум-класса и гордитесь крутыми результатами; понимаете, что такое клиентский сервис и умеете найти индивидуальный подход к каждому клиенту; вы готовы постоянно учиться и работать над своими ошибками; вы круто общаетесь, быстро находите общий язык с людьми, уверенно продаёте, отрабатываете возражения, закрываете сделки; вы можете продуктивно работать над несколькими задачами одновременно, при этом умеете сосредоточиться, внимательно прочитали текст вакансии и начнете сопроводительное письмо со слов: «Отличное начало».",https://hh.ru/vacancy/124952041
Менеджер по продажам B2B,Центр Строительно-Проектной и Промышленной Экспертизы,150.0,,,,'5-7,Нет опыта,ТК,"5/2, 5/7",Ежемесячно,"обучение, проезд","Проводить переговоры, формировать и выстраивать долгосрочные отношения с клиентами (клиенты закрепляются за менеджером на постоянной основе), вести базу в CRM. ",https://hh.ru/vacancy/120381515
Менеджер по продажам IT-продуктов,Roistat,,,,,,От 1 года до 3 лет,ТК,5/2,,"ДМС, форма, бонус, бонусы, обучение","Формировать базу потенциальных клиентов в В2В-секторе; Совершать звонки и выходить на ЛПР: генерального директора/руководителя отдела маркетинга/маркетолога компании; Проводить клиентам онлайн-презентации и показывать, как платформа Roistat помогает их бизнесу стать эффективнее; Совершать сделки и выстраивать долгосрочные отношения с клиентами. Мы рады встрече, если ты: Знаешь методы и этапы продаж; Имеешь опыт в B2B сегменте; Нацелен на результат. Плюсом будет, если ты: Вариативен в способах работы; Грамотно расставляешь приоритеты. Что у нас хорошего и полезного для тебя: Крутая и сплоченная команда единомышленников; Работа с продуктом, которым пользуются тысячи компаний; Мы помогаем адаптироваться и развиваться (руководитель поможет найти твои точки роста и прокачать их, а HR поможет по всем остальным вопросам); Оплачиваемое обучение от компании; 4 дополнительных выходных дня в году за счет компании; Мы платим бонусы за чтение профессиональной литературы; Проводим крутые корпоративы как для всей компании, так и внутри отделов; Общение на &quot;ты&quot;, насыщенная корпоративная культура; Стильный и уютный офис с просторной зоной отдыха, настольным футболом, PlayStation и всего в 7 минутах от м.Таганская/м.Марксистская; Официальное трудоустройство, полностью белая ЗП. Программа ДМС.",https://hh.ru/vacancy/124644079
Area Sales Manager (Зрелые бренды),Новартис Фарма,,,,,,От 3 до 6 лет,ТК,5/2,,"ДМС, страхование, бонус","Расширение доли рынка препарата компании, увеличение объема и прибыльности продаж на территории страны в коммерческом и бюджетном сегменте. ",https://hh.ru/vacancy/125333229
Менеджер по продажам (без поиска клиентов),Городская Транспортная Компания,250.0,,,,,От 1 года до 3 лет,ТК,5/2,,,Совершать продажи теплой базе клиентов. Оперативно решать все возникающие вопросы с клиентами. Выполнять планы и нормативы по продажам . ,https://hh.ru/vacancy/125318499
Менеджер по работе с клиентами B2B (без холодного поиска),ДОМ ВАШЕГО БИЗНЕСА,90.0,,,,'6-12,От 1 года до 3 лет,ТК,6/12,,"бонус, бонусы, обучение, кофе, чай","Продажи B2B — работа только с &quot;теплой&quot; базой клиентов (аренда офисов, складов, юридические адреса). Консультирование — клиентов по вопросам услуг компании Работа в CRM — ведение сделок в Bitrix24, отчетность. Переговоры — общение с партнерами, решение вопросов. Контроль платежей — отслеживание дебиторской задолженности. На период ввода в должность и полной адаптации Вы работаете в статусе Менеджера по продажам (junior). Важно, что вы работаете под наставничеством Вашего руководителя - мы Вас всему научим! Вам стоит откликнуться, если есть: Опыт в продажах (недвижимость, B2B, B2C — будет плюсом) Навыки ведения переговоров и работы с возражениями Знание основ документооборота (составление договоров, владение MS Office) Опыт работы с CRM (Bitrix24 — преимущество) Желание развиваться в B2B направлении Тебе точно понравится в компании, у тебя есть возможность хорошо зарабатывать на рынке В2В в надежной и стабильной компании! Откликайтесь прямо сейчас! Мы ценим своих сотрудников и создаем комфортные условия для профессионального роста. P.S. Готовы рассмотреть кандидатов со смежным опытом в продажах или риэлторских услугах. Для нас главное - ответственность кандидата.",https://hh.ru/vacancy/124642320
