Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Санитарка / санитар,ФГБЛПУ Лечебно-оздоровительный центр МИД России,80.0,,,,,От 1 года до 3 лет,ТК,5/2,,,"Уборка лечебных кабинетов, других помещений поликлиники в соответствии с санитарными требованиями Требования : Наличие УДОСТОВЕРЕНИЯ САНИТАРКИ, гигиенический аттестат удостоверение о повышении квалификации &quot;работа с медицинскими отходами&quot; Профессиональные навыки, знание доз и норм моющих средств, правила утилизации медицинских отходов, дезинфекция оборудования, инвентаря уважаемые соискатели, кандидаты не соответствующие квалификационным требованиям, НЕ рассматриваются. Условия Режим работы - утренняя смена 7.00-13.30 час., 39 час. рабочая неделя; с одной рабочей субботой, в пределах нормы часов полная ставка, Срок испытания 3 месяца. После окончания срока испытания возможно прикрепление на медицинское обслуживание к Поликлинике МИД России.",https://hh.ru/vacancy/125426041
Санитарка/санитар,ЭСТЕТИК-МЕД,5.0,5.0,,,,От 1 года до 3 лет,ТК,2/2,,,"Соблюдение сан-эпид. режима в операционной; • Помощь медицинским сёстрам во время проведения операций; • Знание расходного материала, инструментария; • Уборка операционных, включая и генеральную уборку; • Утилизация отходов класса А и Б.",https://hh.ru/vacancy/125361342
Санитарка-уборщица / Санитар-уборщик в клинику,АЙМЕД СИТИ КЛИНИК,100.0,120.0,,,,Нет опыта,ТК,5/2,,,Уборка клиники Соблюдение всех правил сан-эпид.режима Генеральные уборки клиники Работа в ЦСО,https://hh.ru/vacancy/124411434
Уборщица-Санитарка / Уборщик-Санитар,Yniclinic,80.0,,,,,От 1 года до 3 лет,ТК,5/2,Еженедельно,,"Уборка в стоматологической клинике (кабинеты, зона ресепшен, санузлы, комната для персонала и т.п); - Осуществление сбора и утилизации отходов; - Контроль за чистотой и порядком во всех помещениях клиники; - Обеспечение наличия моющих средств, салфеток и прочего в местах общего пользования. Обязанности ЦСО: -Механическая обработка инструментов; -Упаковка и стерилизация; -Генеральная уборка ЦСО 1 раз в неделю; -Приготовление рабочего раствора из дез.средства; -Заполнение журналов ЦСО.",https://hh.ru/vacancy/124830086
Санитар/санитарка в хирургическое отделение,Селин Медикал Групп,90.0,,,,,Нет опыта,ТК,1/3,2 раза в месяц,"скидки, транспорт","Уборка помещений хирургического отделения. Уборка палат( кровати, каталки). Уборка душевых, коридоров. Сбор медицинских отходов, транспортировка к месту временного хранения.",https://hh.ru/vacancy/124963652
Санитарка/санитар,Обновление,80.0,,,,,Нет опыта,ТК,2/2,Еженедельно,,Уборка помещений • Стирка и глажка текстиля • Поддержание порядка в течение дня • Генеральная уборка раз в неделю — вместе с медсестрой Что предлагаем: • Стабильные выплаты без задержек. • График 2/2 с 09:00 до 21:00 (смены можно обсуждать) • Уютная атмосфера и тёплый коллектив • 10 минут пешком от м. Новослободская • Современное оборудование • Возможность официального трудоустройства • Без контакта с пациентами и медпроцедур Хотите стать частью нашей команды? Откликайтесь прямо сейчас!),https://hh.ru/vacancy/124269789
Санитарка-уборщица/санитар-уборщик в стоматологию,Институт Базальной Имплантации,94.0,100.0,,,,От 1 года до 3 лет,ТК,6/1,Еженедельно,,"Уборка клиники.• Мытье полов;• Влажная уборка поверхностей;• Содержание в идеальной чистоте и порядке холла, санузла.• Мытье чашек• Вынос мусора; генеральная уборка 1 раз в неделю",https://hh.ru/vacancy/125423345
Уборщица-санитарка/уборщик-санитар,Медтек-М,100.0,,,,,Нет опыта,ТК,5/2,,,"Поддерживать чистоту и порядок в помещениях организации. Осуществлять влажную уборку полов, стен, окон, дверей. Использовать специальные моющие и дезинфицирующие средства. ",https://hh.ru/vacancy/124498093
Санитарка / Санитар (Централизованное патологоанатомическое отделение),ФГАОУ ВО Первый МГМУ им. И.М.Сеченова Минздрава России (Сеченовский Университет),86.2,,,,,Нет опыта,ТК,5/2,Ежемесячно,скидки,"Основные функции подразделения: обработка , исследование биопсийного и операционного материала. В Ваши обязанности будет входить: - ежедневно проводить влажную уборку в лаборатории. - ",https://hh.ru/vacancy/124641700
Санитарка/санитар,Центр глазной хирургии,65.0,,,,,От 1 года до 3 лет,ТК,"2/2, 3/3",,,"проведение регулярных уборок, в соответствии с санитарными нормативами. участие в генеральных уборках помещений медучреждения. сопровождение пациентов по указанию старшего медперсонала. Сбор и утилизация отходов.",https://hh.ru/vacancy/125168602
Санитарка/санитар,Лидер-Мед СМП,,90.0,,,,От 1 года до 3 лет,ТК,"1/3, 2/2",2 раза в месяц,транспорт,"Физическая помощь пациентам (транспортировка); Смена нательного, постельного белья; Описание ценных вещей, поступающих на госпитализацию; Поддержание санитарно-гигиенических условий в палате (надзор за пациентами); Помощь в кормлении пациентов; Сопровождение пациентов на процедуры; Контроль состояния пациента и своевременное информирование медицинского персонала об изменениях.",https://hh.ru/vacancy/124512523
Санитарка-уборщица/Санитар-уборщик клиники эстетической медицины,Клиника эстетической медицины Витаура,80.0,90.0,,,,От 1 года до 3 лет,ТК,"2/2, 9/30",2 раза в месяц,,"Уборка кабинетов, подсобных помещений, холла, коридоров",https://hh.ru/vacancy/124730195
Санитарка-уборщица/Санитар-уборщик в стоматологию,ЦПС 3,90.0,,,,,Нет опыта,ТК,6/1,Ежемесячно,обучение,Мытье оборудования и поверхностей. Уборка мусора и поддержание чистоты в помещениях. Соблюдение санитарных норм и правил.,https://hh.ru/vacancy/125437115
Санитарка-уборщица /санитар-уборщик отделения (операционный блок),Московский клинический научно-исследовательский центр больница 52 ДЗМ,85.0,90.0,,,,Нет опыта,ТК,"2/2, 19/30, 1/3, 10/15",2 раза в месяц,"форма, униформа, обучение","Проводить уборку перед/после операциями и генеральные уборки закрепленных помещений в операционном блоке (общая хирургия) Проводить текущие уборки помещений, обеспечивать бережное хранение уборочного инвентаря и оборудования Осуществлять приготовление моющего и дезинфицирующего растворов",https://hh.ru/vacancy/125326098
Санитарка/санитар (отделение педиатрии),Олимп Клиник,87.4,87.4,,,,От 1 года до 3 лет,ТК,2/2,,"скидки, транспорт","Проведение генеральной и текущей уборки в помещениях, согласно требованиям санитарных правил; Осуществление сбора, транспортировки и утилизации медицинских отходов класса А и Б; Приготовление дезинфицирующих растворов, знание правил обращения с ними; Соблюдение инфекционной безопасности; Соблюдение требований к профилактике профессиональных заражений; Осуществление мероприятий по соблюдению санитарно-гигиенического режима, правил асептики и антисептики; Знание норм санитарно-эпидемиологического режима.",https://hh.ru/vacancy/124809655
Санитарка/Санитар,ГБУЗ г. Москвы Бюро судебно-медицинской экспертизы ДЗМ,60.0,70.0,,,,Нет опыта,ТК,"5/2, 6/1",,обучение,"ежедневно два раза в день проводить влажную уборку структурного подразделения дезинфицирующими или специальными моющими средствами; содержать в чистоте санитарно-техническое оборудование; производить генеральную уборку помещений согласно графику генеральных уборок; проводить дезинфекцию посуды, очистку и мытье лабораторной посуды спомощью дезинфицирующих и моющих средств; Осуществлять доставку химреактивов, оборудования, расходных материалов необходимых для работы;",https://hh.ru/vacancy/124769283
Санитарка/санитар (м. Филатов луг),ФКУ Дом-интернат,80.0,100.0,,,,Нет опыта,ТК,2/2,,"обучение, транспорт","уход за больными, в том числе &quot;лежачими&quot; проведение текущих и генеральных уборок сопровождение пациентов и т.п.",https://hh.ru/vacancy/124602863
Санитарка/санитар/уборщица/уборщик в стоматологию,Центр Дентальной Имплантации,60.0,64.0,,,,Нет опыта,ТК,2/2,2 раза в месяц,,"Ежедневная уборка помещений клиники (коридоры, санузлы, кабинеты) Контроль чистоты в течение дня Генеральная уборка 2 раза в неделю Обработка инструментов не входит в обязанности санитарки",https://hh.ru/vacancy/125475134
Санитарка/санитар,НСД клиник,75.0,,,,,От 1 года до 3 лет,ТК,2/2,,,"Поддержание чистоты и порядка в клинике (кабинеты, холлы, санузлы, служебные помещения) • Своевременная уборка • Соблюдение санитарно-эпидемиологических норм и правил • Вынос мусора и замена мешков в урнах • Соблюдение графика уборки",https://hh.ru/vacancy/125168299
Санитарка/санитар (уборщица/уборщик),Nogerov Clinic,4.0,,,,,От 3 до 6 лет,ТК,2/2,2 раза в месяц,форма,"поддержание чистоты входной группы, зоны ресепшен, холла и коридоров; -⁠соблюдение чистоты полов на территории клиники - уборка санузлов (пациентского и для сотрудников); - уход за стенами, дверями, осветительными приборами (отсутствие пыли, пятен); - уборка кабинетов; - поддержание чистоты полов во всех зонах; - уход за посудой и кухонной зоной; - уход за текстилем (стирка, глажка и упаковка халатов, полотенец, чехлов от кушеток); - поддержание чистоты стиральной машины, шкафов с посудой; - вынос мусора; - участие в генеральных уборках; - информирование ответственного сотрудника о необходимости заказа товаров или неисправности",https://hh.ru/vacancy/125313160
Операционная санитарка / Операционный санитар (для уборки операционных),ФГБУ ФНКЦ специализированных видов медицинской помощи и медицинских технологий ФМБА России,80.0,80.0,,,,От 1 года до 3 лет,ТК,1/3,,скидки,"Проведение уборок: текущих и генеральных операционной с применением моющих - дезинфицирующих средств; Помощь операционным медицинским сестрам, хирургическим бригадам; Подготовка операционных к работе; Обработка хирургических инструментов; Соблюдение правил асептики и антисептики; Ведение медицинской документации.",https://hh.ru/vacancy/125230901
Санитарка / Санитар в операционный блок,Институт пластической хирургии и косметологии,85.0,95.0,,,,Нет опыта,ТК,"2/2, 5/7, 15/20",2 раза в месяц,,"Производит уборку помещений, БЕЗ УХОДА за пациентами . Обеспечивает правильное хранение и использование хозяйственного инвентаря и моющих средств.",https://hh.ru/vacancy/125475430
