Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Начинающий бариста в кофейню (м. Войковская/МЦК Коптево),FAVORIT MOTORS,70.0,,,,,Нет опыта,ТК,2/2,Ежемесячно,кофе,Прием и выкладка товаров. Поддержание чистоты в кофейне. Помощь гостю при выборе в меню. Приготовление самых вкусных напитков.,https://hh.ru/vacancy/118276046
Бариста в кофейню (м. Парк Культуры),rockets.coffee,85.0,,,,,Нет опыта,ТК,5/2,2 раза в месяц,"питание, бесплатное питание, форма, обучение, кофе","Консультировать гостей в выборе кофейного зерна или другой продукции. Вакансия подходит для <highlighttext>бариста</highlighttext>, <highlighttext>бариста</highlighttext> в сеть кофеен, сотрудник бара, сотрудник...",https://hh.ru/vacancy/124812160
Бариста,Мир,90.0,120.0,,,,Нет опыта,ГПХ,"2/2, 3/3, 4/2",,"премии, скидки, обучение, кофе","Учиться варить идеальный кофе и другие напитки по нашим рецептурам. Общаться с гостями, помогать им с выбором, делиться хорошим настроением. ",https://hh.ru/vacancy/124978196
Бариста OnePriceCoffee в ТЦ Ривьера,Академия Максимус,59.0,,,,,Нет опыта,ТК,"2/2, 3/2, 4/2",,"форма, кофе","ONE PRICE COFFEE - самая быстро развивающаяся сеть кофеен формата &quot;Coffee to Go&quot;. Работая у нас, Вы сможете получить бесценный опыт приготовления напитков, который пригодится не только в работе, но и в повседневной жизни ✅Мы предлагаем: Официальное трудоустройство Обучения мастерству бариста (оплачиваемое с нашей стороны) График 2/2; 3/2; 4/2 на ваш выбор по 6,8,9 часов Полностью &quot;белая&quot; заработная плата Реальная возможность роста до старшего бариста и управляющего! Подбираем ближайшую к месту жительства кофейню Дружный коллектив ✅Что нужно делать? Готовить самые вкусные напитки Консультировать наших гостей по ассортименту Соблюдать стандарты обслуживания Работать с кассой Поддерживать чистоту в кофейне",https://hh.ru/vacancy/121502242
Бариста в Cream Soda,Эрфольг,75.0,95.0,4560.0,380.0,12.0,От 1 года до 3 лет,ТК,2/2,2 раза в месяц,"питание, бесплатное питание, форма, кофе","Приготовление напитков (фреши, авторские напитки, кофейные напитки и тд.); Расчет гостей, работа с кассой за баром (обучаем); Соблюдение правил внутреннего порядка; Соблюдение норм СанПин; Подготовка бара к открытию и закрытию смены; Консультировать гостей по меню при необходимости и поддерживать атмосферу заведения.",https://hh.ru/vacancy/125328380
Шеф-бариста,Турт Де Франс,96.0,120.0,,,,От 3 до 6 лет,ТК,5/2,,"питание, форма, униформа, премии, обучение",Создание и обновление барной карты. - обучение сотрудников. - контроль настроек помола и работа по весам. - контроль сроков годности кондитерских изделий и...,https://hh.ru/vacancy/125425349
Бариста,Elmix Coffee,0.4,0.4,,,,Нет опыта,ТК,5/2,,"кофе, чай","Соблюдение стандартов обслуживания и сервиса Приготовление кофейных и чайных напитков по тех. карте Работа с продукцией витрины (выпечка, готовые полуфабрикаты, десерты) Работа с кассой Соблюдение чистоты и правил безопасности питания",https://hh.ru/vacancy/125381847
Бариста в Artplay,Криптон,5.0,5.0,,,,Нет опыта,ТК,2/2,,кофе,Приготовление потрясающе вкусных кофейных напитков - Любезное общение с гостями - Поддержание порядка на точке - Активное участие в жизни проекта - Приемка продукции - Поддержание чистоты в баре и уютной атмосферы,https://hh.ru/vacancy/125326103
Старший бариста,Alex&Milana,100.0,120.0,,,,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,"обучение, кофе, чай",Обслуживание гостей. Работать за кассой. Составление графика. Обучение <highlighttext>бариста</highlighttext>. Сдавать ежедневные отчеты по должностной инструкции. Поддерживать дружелюбную атмосферу в нашей...,https://hh.ru/vacancy/125377235
Бариста,Yumbaker,91.5,113.5,,,'8-12,От 1 года до 3 лет,ТК,"4/3, 8/12",,"питание, обучение, кофе","варить действительно вкусный кофе, вываривать из каждого сорта зерна максимум вкуса, делиться своими открытиями и эмоциями с нашими гостями и помогать им погружаться в кофейный мир, поддерживать порядок и чистоту на своем рабочем месте, развиваться самому и помогать команде становиться еще лучше.",https://hh.ru/vacancy/124967558
Флорист бариста,Chalet Green,2.5,3.5,,,,Нет опыта,ТК,82/2,,"форма, кофе, чай",Сборка и упаковка букетов по четким стандартам. - Продажа цветов и сопутствующих товаров с дружелюбным подходом к клиентам. - Ведение кассы и...,https://hh.ru/vacancy/125277892
"Бариста Surf Coffee, Москва",Surf Coffee,60.0,80.0,,,,Нет опыта,ТК,5/2,,"питание, форма, униформа, премии, бонус, обучение, кофе","Приготовление напитков по стандартам компании Общение с гостями в формате дружеской беседы Работа с кассой и соблюдение чек-листов Участие в жизни кофейни, командных встречах и предложениях по улучшению Surf Coffee® — это больше, чем работа. Это сообщество, стиль жизни и возможности. Если хочешь расти, развиваться и быть частью команды, которая двигается вперёд — мы ждём именно тебя. We Are Greater Than I",https://hh.ru/vacancy/125050680
Бариста/Старший Бариста,Ильин Тимофей Альбертович,80.0,,,,,От 1 года до 3 лет,ТК,5/2,,"премии, обучение, кофе","Полный функционал бариста, включая поддержание чистоты и порядка, оформление заказов, ротация продуктов. -Подбор и обучение персонала, контроль качества работы кофеен. -Составление графиков -Контроль и поддержание дисциплины среди сотрудников",https://hh.ru/vacancy/125283618
Бариста,Культурный код,80.0,,,,,От 1 года до 3 лет,ТК,"5/2, 7/30, 23/30",2 раза в месяц,"питание, бесплатное питание, кофе","Варить кофе, готовить наши фирменные напитки, наливать пиво и вино. Коммуницировать с гостями и поддерживать уникальную атмосферу концепции КК. ",https://hh.ru/vacancy/123323860
Бариста,MURPH,68.0,85.0,,,,Нет опыта,ТК,2/2,2 раза в месяц,"форма, кофе",Настройка эспрессо. Приготовление напитков по тех.картам. Предоставление хорошего сервиса в условиях to-go формата. Соблюдение рецептур и стандартов specialty. ,https://hh.ru/vacancy/124687400
Бариста,Кофейня termos,95.0,110.0,4800.0,400.0,'16-17,От 1 года до 3 лет,ТК,"5/2, 16/17",,"питание, бонус, кофе","Приготовление напитков. Общение с гостями, контроль чистоты в зале. Работа с залом. Контроль соблюдения стандартов сервиса (friendly-сервис).",https://hh.ru/vacancy/124669631
Бариста,Парсян Камо,80.0,90.0,,,,От 1 года до 3 лет,ТК,5/2,,кофе,"Приготовление горячих и холодных напитков ( капучино, латте , американо и тд) Быстрая и корректная работа с рожковой кофемашиной Поддержание чистоты рабочего места Прием и обслуживание заказов",https://hh.ru/vacancy/124893814
Шеф-бариста,"Хорсъ, Кофейный дом",,,,,,От 1 года до 3 лет,ТК,5/2,,кофе,Управлять корпоративной кофейней и руководить командой бариста; Разрабатывать и внедрять в меню новые позиции и сезонные предложения; Вести внутреннюю отчетность и документооборот; Организовывать и проводить тренинги для сотрудников.,https://hh.ru/vacancy/124833057
