Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Продакт-менеджер,Национальная система платежных карт,,,,,,От 3 до 6 лет,ТК,5/2,,"страхование, форма, премии, кофе","Формирование стратегии развития сервисов и технологий в платежной сфере Мониторинг инноваций в области платежей и переводов и нетранзакционных сервисов Участие в формировании стратегии развития сервисов платформы мобильных платежей и других выбранных направлений и инициатив в рамках подразделения Формулирование и проверка продуктовых гипотез, перспективных идей и направлений развития сервисов и продуктов Организация пилотирования сервисов по результатам проверки гипотез, формирование отчетности о результатах проверки и пилотирования гипотез Анализ данных и мониторинг ключевых показателей стратегии, внесение изменений в случае необходимости Формирование продуктового видения для запуска маркетинговых кампаний, PR коммуникации и поиска потенциальных партнеров для реализации сервисов и продуктов Формирование бэклога задач, гипотез, перспективных идей и направлений развития сопровождаемых сервисов и продуктов 2. Реализация новых сервисов и продуктов, поддержка реализованных сервисов и продуктов в рамках стратегии развития компании: Координация и организация работы команд, приемка результатов реализации Поддержка актуальной информации по сервисам и продуктам на ресурсах компании Управление рисками Контроль сроков реализации, ведение статуса реализации Ведение договорной документации Анализ данных и мониторинг ключевых показателей развития и состояния сервисов и продуктов Управление правилами, тарифами и стандартами Управление закупками и контрактами, планирование и исполнение бюджета Формирование отчетности о результатах текущей деятельности Мы ожидаем: Высшее образование Опыт работы в финансовом/финтех секторе по направлению разработки или сопровождения продуктов или проектов в роли руководителя проектов/портфеля проектов или владельца продукта/продуктов от 5-ти лет Опыт разработки и внедрения карточных/финансовых/транзакционных продуктов Опыт работы в продуктах или проектах различной направленности (внедрение ИТ систем, запуск новых функций в компании, запуск новых бизнес-сервисов, трансформации внутри компании и тому подобное) Опыт подготовки отчетов и презентаций Навыки организации работы продуктовой команды Навыки работы с большим объемом информации (аналитика) Коммуникационные навыки, опыт проведения встреч и переговоров Уверенный пользователь MS Office/ аналогов Проактивность, настойчивость и умение добиваться результата в сложных условиях",https://hh.ru/vacancy/125436763
Продакт-менеджер,Wolta,,,,,,От 3 до 6 лет,ТК,5/2,,"ДМС, форма, обучение","Ведение полного жизненного цикла продукта от идеи и запуска производства до вывода из ассортимента; Управление товарной категорией, выполнение плановых показателей по категории (выручка, рентабельность, оборачиваемость, дефицит, качеству и сервису); Разработка и формирование ассортиментной матрицы, определение позиционирования продукта на рынке; Разработка и реализация стратегии продвижения продуктов; Анализ динамики продаж, выявление факторов прироста или спада, анализ продаж в разрезе каналов сбыта и типов клиентов. Составление прогнозов и планирование закупок на основании факторного анализа продаж. Краткосрочное и долгосрочное планирование; Проведение маркетинговых исследований: оценка емкости рынка, конкурентов, анализ клиентской базы. Формирование конкурентных преимуществ; Проведение обучений для торговой команды компании и торговых команд клиентов. Определение целевого перечня, себестоимости и цены продажи продукции, переговоры с поставщиками и производственными площадками по их достижению; Ценообразование: постоянный мониторинг цен конкурентов, оперативная корректировка цен, предоставление клиентам индивидуальных скидок и условий; Поиск поставщиков и переговоров с ними, заказ образцов, организация тестирования; Взаимодействие с производством по вопросам качества продукции; Контроль за нормативами товарного запаса: поддержание согласованного уровня товарного запаса во избежание дефицитов и оверстоков, оперативное принятие мер по их ликвидации. Взаимодействие с отделом логистики по вопросам отгрузок. Техническая и маркетинговая поддержка продаж и совместная работа по проектам с отделом продаж; Разработка маркетинговых материалов (презентации, каталоги, демообразцы и т.д.); Участие в отраслевых семинарах, конференциях, выставках; Обеспечение актуальной информации о продукции внутри и вне компании; Подготовка отчетности. Ожидания от кандидата: Релевантный опыт работы в сфере светотехники от 2-х лет; Высшее образование. Желательно техническое; Отличное знание правил и методик управления продуктовым направлением в полном объеме; Опыт формирования ассортимента, его продвижения, участия в разработке и выводе на рынок новых изделий; Знание основ бизнес-планирования: подготовка, презентация и защита. Умение строить и обосновывать прогнозы; Отличные презентационные навыки; Английский язык - способность читать и писать деловые письма; Нацеленность на результат, настойчивость, активная жизненная позиция, умение договариваться, аналитичность мышления, системность, самоорганизованность, способность работать с большими массивами данных для достижения конкретных целей анализа.",https://hh.ru/vacancy/125519481
Продакт-менеджер в отдел создания изделий бренда 2MYmoods (женская одежда),Грачева Ксения Сергеевна,130.0,,,,,От 1 года до 3 лет,ГПХ,5/2,,,"Бренд женской одежды 2MYmoods в поисках продакт-менеджера в отдел создания вязаных изделий. Москва. Резюме рассматривается только с фотографией. - Полный процесс создания продукта (создание АМ, рабочего производственного календаря, выпуск коллекции в нужный срок и в нужном количестве) ответственность за сроки, выход коллекции, ведение разработчиков - составление и принятие у них плана изделий - Анализ текущих изделий и заказов - понимание рентабельности (понимание рентабельности каждого, работа над ними, составление отчетности) уменьшение и работа над снижением себестоимости изделий (для увеличения маржинальности) - Работа в программе Мой склад и Честный знак (знание и опыт) - Создание Потребности и работа на наличие изделий - Работа нам масштабированием бренда (у бренда преимущественно ручная работа, но мы уже работаем над сотрудничествами с производствами как трикотажа, так и текстиля, работа над увеличением АМ и Количества на артикул) - увеличение подрядчиков, поиск вязальщиц ручной работы, понимание сколько людей не хватает Опыт и связи в этой области будут вашим преимуществом. - Коллаборации и их создание с полным включением (просчеты расходов и прибыли от данных коллекций) - Курирование наших вязальщиц (сведение к минимуму) !работа в связке с маркетингом для достижения целей роста и развития бренда! - Ответственность за команду (разработчкики, дизайнеры, полный контроль описаний) - Поиск и подбор материалов - Постоянная работа с производствами и периодические выезды туда (текстиль и трикотаж) работа с Китаем и Италией (поиск и привлечение новых подрядчиков: производства, материалы)",https://hh.ru/vacancy/125364458
Руководитель отдела продаж с функцией продакт - менеджера / Коммерческий директор,Бон-Групп,200.0,300.0,,,'1-1,От 3 до 6 лет,ТК,1/1,Ежемесячно,"форма, бонус",Управление продажами: — Организация и координация работы отдела продаж. — Работа с ключевыми метриками отдела: регулярный анализ данных и принятие решений на...,https://hh.ru/vacancy/125521228
Product manager / Продакт менеджер (швейное производство) Fashion,Miss X,150.0,,,,,От 1 года до 3 лет,ГПХ,5/2,,форма,"Разработка новых продуктов в соответствии с исследованиями рынка и трендами. Полное ведение процесса от идеи до вывода в продажу Взаимодействие с подрядчиками и производственным отделом для обеспечения соответствия продуктов стандартам качества и требованиям рынка Анализ трендов в актуальных сферах: одежда, нижнее белье, домашняя одежда Разработка календаря сезонности, контроль соблюдения сроков выпуска в продажу сезонных моделей Анализ деятельности конкурентов на маркетплейсах и розничном рынке (рф и зарубежные) Анализ продаж новых моделей для улучшения регламента ввода товаров в продажу Анализ отзывов на новые модели для их улучшения Мы ждем от кандидата: Опыт работы с созданием новинок на маркетплейсы и выводом их в продажу Опыт работы с брендами в нише «одежда» Опыт работы с швейным производством, экспериментальным цехом (понимание процесса, умение различать ткани и тд) Опыт управления задачами и командой Мы предлагаем : Работу на производстве (м. Полежаевская) - гибрид по согласованию Классную заряженную команду и коллектив профессионалов Рост и развитие вместе с ТОП-овым бредом",https://hh.ru/vacancy/125431574
Продакт менеджер / Product manager (одежда),Попова Рузалина Наильевна,100.0,170.0,,,,От 1 года до 3 лет,ТК,5/2,,,Ценовой анализ конкурентных позиций. Предложение вариантов по расширению ассортимента. Работа с товарной матрицей. Ввод новинок. Анализ трендов и конкурентов. ,https://hh.ru/vacancy/125507120
Менеджер по закупкам ВЭД (продакт-менеджер),Карин,150.0,190.0,,,,От 3 до 6 лет,ТК,5/2,,,формирование и размещение заказов у зарубежных поставщиков обработка и сравнение полученных предложений получение выгодных условий по заказам и поиск новых поставщиков полное сопровождение закупки товара (от заказ до получения) претензионная работа с поставщиками формирование и отслеживание ассортимента и цен по закрепленным группам товаров выполнение поручений руководства,https://hh.ru/vacancy/125329283
Продакт-менеджер Nature's Bounty,Solgar,,,,,,От 1 года до 3 лет,ТК,5/2,,"ДМС, форма, бонус, обучение","Подготовка и проведение презентаций/тренингов по продукции (для внутренних сотрудников и внешних партнеров) Работа с агентствами по разработке материалов и маркетинговых мероприятий, включая разработку креативных концепций Разработка, изготовление и улучшение информационных материалов Содействие в разработке и непосредственно выполнение маркетинговых стратегий по категориям продуктов Операционное планирование, разработка и внедрение маркетинговых активностей Работа с портфелем, включая анализ, планирование, подготовку и выведение на рынок новинок, обновление существующей линейки Эффективное взаимодействие с кросс-функциональными командами по бизнесу и ключевым проектам (Sales, Finance, Marketing, Medical, E-Com, Digital) Полевые визиты совместно с медицинскими представителями для развития бизнеса Разработка, защита и исполнение бренд-планов по категории Разработка и проведение работы бизнес-подразделения на цикловых совещаниях Мы ждем: Образование и опыт: Обязательно законченное высшее медицинское/фармацевтическое образование. Дополнительное образование в сфере маркетинга будет сильным преимуществом. Аналогичный опыт работы не менее 2х лет в отделе маркетинга фармацевтической или медицинской компании. Опыт управления проектами от идеи до реализации. Навыки и знания: Знание английского языка на уровне чтения профессиональной литературы и ведения переписки. Аналитические способности: умение работать с данными, анализировать продажи и на основе этого делать выводы и предлагать решения. Финансовая грамотность: понимание принципов составления и управления бюджетом (P&amp;L, планирование, исполнение, отчетность). Хорошие презентационные навыки, грамотная речь, умение работать с большой аудиторией 50+ человек MS Excel, MS PowerPoint – уверенный пользователь (сводные таблицы, построение диаграмм и графиков, создание презентаций). Знание Power BI будет плюсом. Личные качества: Ответственность, нацеленность на результат, организованность. Проактивная позиция, инициативность. Развитые лидерские качества и навыки работы в команде. Креативное мышление и способность генерировать новые идеи. Готовность к командировочной активности. Готовность работать в режиме многозадачности, высокая работоспособность и стрессоустойчивость. Желание учиться и развиваться в сфере маркетинга. Дополненные условия работы: Оформление по ТК РФ. Конкурентная заработная плата Ежеквартальная премия/бонус по результатам работы (KPI). ДМС после прохождения испытательного срока. Частичная компенсация питания/мобильной связи. Предоставляется корпоративный автомобиль, компенсация ГСМ. Оплачиваемые командировки. Обучение и развитие за счет компании (внутренние и внешние тренинги). Карьерный и профессиональный рост в международной компании. Молодая и профессиональная команда, современный офис Кандидаты без профильного образования (медицинское/фармацевтическое) не рассматриваются",https://hh.ru/vacancy/125436102
Продакт-менеджер,Polaris,260.0,,,,,От 1 года до 3 лет,ТК,5/2,,"ДМС, подарки, обучение","Ведение всей цепочки от разработки товара до приема на склад; Стимулирование продаж в разных каналах сбыта; Формирование ассортимента и управление ассортиментом; Работа с поставщиками (Китай), контроль и управление поставками; Анализ и мониторинг рынка (цены, ассортимент, коммерческая политика и маркетинговая активность конкурентов); Переговоры с поставщиками и ключевыми клиентами; Ценообразование; Проведение обучения, презентаций; Контроль качества продукции.",https://hh.ru/vacancy/124188780
Продакт-менеджер,Арттекс,,,,,,От 3 до 6 лет,ТК,5/2,,форма,"Понимать, как клиенты используют наш продукт, чтобы создавать решения, которые реально улучшают их опыт. Анализировать конкурентов и придумывать, как наши...",https://hh.ru/vacancy/125492707
